timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.390152,30.111548,27.186696,-26.001654,8.2
0.05,-2.382603,30.120137,27.192338,-25.966107,8.2
0.1,-2.349927,30.138161,27.211837,-25.894831,8.2
0.15,-2.262251,30.174384,27.261202,-25.840859,8.2
0.2,-2.078557,30.241797,27.363071,-25.85722,8.2
0.25,-1.748272,30.35883,27.547188,-25.996947,8.2
0.3,-1.214923,30.551366,27.851223,-26.313092,8.2
0.35,-0.423791,30.85577,28.322227,-26.858742,8.2
0.4,0.563058,31.320082,29.01811,-27.687027,8.2
0.45,1.181105,31.996642,30.007404,-28.851139,8.2
0.5,1.394655,32.987569,31.38862,-30.404342,8.2
0.55,1.26642,34.45022,33.30514,-32.289593,8.2
0.6,0.870284,36.623518,35.985952,-34.217696,8.2
0.65,0.303748,39.886124,39.850133,-35.887546,8.2
0.7,-0.10863,43.171676,44.09851,-37.130526,8.2
0.75,-0.306773,45.423383,47.510958,-38.18051,8.2
0.8,-0.412917,47.009264,50.195122,-39.268856,8.2
0.85,-0.472566,48.139879,52.262695,-40.322645,8.2
0.9,-0.506706,48.944001,53.814174,-41.248484,8.2
0.95,-0.525024,49.506884,54.940058,-41.975955,8.2
1.0,-0.531429,49.889832,55.723308,-42.568985,8.2
1.05,-0.52648,50.139894,56.240015,-43.10406,8.2
1.1,-0.508535,50.294599,56.558616,-43.568636,8.2
1.15,-0.474352,50.384008,56.738503,-43.950467,8.2
1.2,-0.419428,50.431795,56.828945,-44.238047,8.2
1.25,-0.33818,50.455872,56.868437,-44.421067,8.2
1.3,-0.224068,50.468909,56.88459,-44.490764,8.2
1.35,-0.069669,50.478763,56.894255,-44.523536,8.2
1.4,0.134301,50.480932,56.896519,-44.594981,8.2
1.45,0.3965,50.477546,56.8868,-44.696809,8.2
1.5,0.709231,50.454665,56.83404,-44.820507,8.2
1.55,0.974679,50.38526,56.682909,-44.956163,8.200001
1.6,1.186419,50.23622,56.361719,-45.090228,8.2
1.65,1.356651,49.965432,55.781436,-45.199881,8.2
1.7,1.498938,49.520768,54.838517,-45.747876,8.2
1.75,1.629999,48.839005,53.419931,-46.905588,8.2
1.8,1.773375,47.841055,51.407557,-47.996367,8.2
1.85,1.967547,46.418359,48.678869,-48.728241,8.2
1.9,2.286878,44.400629,45.10177,-49.112579,8.2
1.95,2.908352,41.4847,40.528825,-49.219192,8.2
2.0,4.411176,37.074961,34.82382,-49.10905,8.2
2.05,7.054192,32.616183,29.717267,-49.343259,8.2
2.1,9.787281,29.701236,26.256339,-50.154536,8.199999
2.15,12.224705,27.797475,23.829234,-51.285749,8.200001
2.2,14.130724,26.563135,22.118575,-52.583746,8.199999
2.25,15.472643,25.770982,20.930005,-53.918618,8.2
2.3,16.336387,25.269279,20.128247,-55.118566,8.2
2.35,16.830157,24.956148,19.610959,-55.998468,8.2
2.4,17.033961,24.762345,19.297311,-56.581818,8.2
2.45,16.98664,24.639763,19.122514,-56.901361,8.2
2.5,16.689004,24.554254,19.035202,-56.989843,8.199999
2.55,16.110055,24.481085,18.996002,-56.879973,8.2
2.6,15.191209,24.40233,18.976852,-56.604457,8.2
2.65,13.847239,24.305572,18.960744,-56.19598,8.2
2.7,11.949483,24.188249,18.942024,-55.687227,8.2
2.75,9.370912,24.041462,18.92059,-55.110875,8.2
2.8,5.921734,23.867149,18.901148,-54.499612,8.2
2.85,1.630284,23.684138,18.893657,-53.968688,8.2
2.9,-2.115495,23.56132,18.917881,-53.562746,8.2
2.95,-5.098377,23.501404,18.986283,-53.208585,8.2
3.0,-7.385639,23.500736,19.113397,-52.832992,8.2
3.05,-9.061901,23.561555,19.317618,-52.362767,8.200001
3.1,-10.213315,23.692241,19.621272,-51.724691,8.2
3.15,-10.917329,23.90786,20.050819,-50.947129,8.2
3.2,-11.236547,24.231419,20.637398,-49.832324,8.2
3.25,-11.21629,24.695797,21.417727,-47.96703,8.2
3.3,-10.886659,25.346785,22.435836,-44.934388,8.2
3.35,-10.271283,26.247519,23.746089,-40.310671,8.2
3.4,-9.403638,27.485304,25.419233,-33.624527,8.2
3.45,-8.698689,28.698096,27.125109,-26.712759,8.2
3.5,-8.321618,29.560797,28.504551,-21.666897,8.2
3.55,-8.055904,30.186657,29.602385,-18.272632,8.2
3.6,-7.189642,30.654,30.463006,-16.116905,8.2
3.65,-3.972338,31.044175,31.135469,-14.794568,8.2
3.7,-0.863461,31.356045,31.644034,-13.904883,8.2
3.75,-0.166783,31.540456,31.998752,-13.538433,8.2
3.8,-0.127451,31.653584,32.239434,-13.552024,8.2
3.85,-0.132259,31.726273,32.396379,-13.726927,8.2
3.9,-0.1362,31.77078,32.491906,-13.999379,8.2
3.95,-0.142249,31.795846,32.544637,-14.340443,8.2
4.0,-0.154668,31.808279,32.569787,-14.734365,8.2
4.05,-0.179105,31.813185,32.579173,-15.171772,8.2
4.1,-0.222662,31.814073,32.581229,-15.646962,8.2
4.15,-0.29393,31.812951,32.580978,-16.156749,8.2
4.2,-0.402878,31.809701,32.579418,-16.700044,8.2
4.25,-0.561431,31.801629,32.568396,-17.278185,8.2
4.3,-0.782851,31.779424,32.524567,-17.896383,8.2
4.35,-1.082052,31.727883,32.409158,-18.569301,8.2
4.4,-1.449981,31.62706,32.168641,-19.335273,8.2
4.45,-1.750176,31.455998,31.736466,-20.194618,8.2
4.5,-1.973008,31.188629,31.033037,-21.12146,8.2
4.55,-2.133043,30.801963,29.969909,-22.087627,8.2
4.6,-2.242788,30.432324,28.922084,-23.061657,8.2
4.65,-2.313992,30.195731,28.245598,-24.007428,8.2
4.7,-2.357156,30.05391,27.83729,-24.703365,8.2
4.75,-2.380878,29.976558,27.613537,-25.194514,8.2
4.8,-2.392125,29.940061,27.507624,-25.59189,8.2
4.85,-2.396302,29.926576,27.468326,-25.927921,8.2
4.9,-2.397266,29.923512,27.459269,-26.214727,8.2
4.95,-2.39733,29.923347,27.458677,-26.451919,8.2
5.0,-2.390152,30.111548,27.186696,-26.598346,8.2
