timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-1.729819,13.650794,15.897436,39.265713,10.064565
0.05,-1.894563,13.601954,15.897436,39.265713,10.064565
0.1,-2.388797,13.601954,15.848596,39.390168,10.064565
0.15,-3.459638,13.553114,15.799756,39.390168,10.064565
0.2,-5.354201,13.455433,15.702076,39.390168,10.064565
0.25,-8.566722,13.357753,15.555556,39.514624,10.064565
0.3,-13.509061,13.260073,15.360195,39.390168,10.064565
0.35,-20.428336,13.211233,15.067155,38.643435,9.988606
0.4,-29.489292,13.455433,14.774115,37.398880,9.988606
0.45,-39.291598,14.188034,14.432234,36.154325,9.988606
0.5,-45.799012,14.969475,14.041514,35.283136,9.988606
0.55,-49.752883,15.555556,13.406593,35.283136,9.988606
0.6,-52.224053,15.897436,12.478632,35.407592,9.988606
0.65,-53.706755,16.092796,11.306471,35.283136,9.988606
0.7,-54.612850,16.092796,9.841270,34.411948,9.988606
0.75,-55.107084,16.043956,8.620269,32.794026,9.988606
0.8,-55.354201,15.995116,7.594628,32.420660,9.988606
0.85,-55.436573,15.946276,6.813187,32.420660,9.988606
0.9,-55.436573,15.897436,6.178266,32.420660,9.988606
0.95,-55.436573,15.897436,5.689866,31.922838,10.672237
1.0,-55.436573,15.848596,5.347985,30.056005,13.558678
1.05,-55.436573,15.848596,5.103785,24.455507,21.230536
1.1,-55.436573,15.848596,4.908425,13.005600,37.485758
1.15,-55.436573,15.848596,4.810745,2.053516,63.539689
1.2,-55.436573,15.848596,4.713065,-1.555694,80.402583
1.25,-55.436573,15.848596,4.713065,-3.049160,88.530194
1.3,-55.436573,15.848596,4.664225,-3.920348,91.568553
1.35,-55.518946,15.848596,4.664225,-4.418171,92.252184
1.4,-55.518946,15.848596,4.664225,-4.667082,92.328143
1.45,-55.436573,15.897436,4.664225,-4.791537,92.328143
1.5,-55.189456,15.946276,4.713065,-4.293715,92.328143
1.55,-54.530478,16.190476,4.810745,-3.173615,92.328143
1.6,-53.212521,16.630037,5.054945,-1.182327,92.328143
1.65,-50.906096,17.460317,5.641026,2.053516,92.404102
1.7,-47.364086,18.778999,6.666667,6.658370,92.480061
1.75,-42.751236,20.879121,8.522589,13.005600,92.631979
1.8,-37.397035,23.907204,11.599512,21.841942,92.859856
1.85,-33.113674,26.935287,15.653236,32.296204,93.163692
1.9,-30.724876,29.084249,20.488400,41.505912,93.163692
1.95,-29.406919,30.989011,26.691087,46.981954,93.163692
2.0,-28.583196,32.893773,33.089133,48.350965,93.163692
2.05,-28.171334,34.456654,37.924298,50.093342,93.163692
2.1,-28.006590,35.579976,41.440781,51.835719,93.011774
2.15,-27.924217,36.361416,43.785104,53.204729,92.783897
2.2,-27.924217,36.849817,45.250305,53.951462,91.948348
2.25,-27.924217,37.142857,46.080586,54.449284,89.821496
2.3,-27.924217,37.289377,46.471306,54.324829,85.339916
2.35,-27.924217,37.338217,46.617827,53.702551,77.212305
2.4,-27.924217,37.338217,46.666667,52.084630,63.995442
2.45,-27.924217,37.338217,46.666667,48.102054,43.942271
2.5,-27.924217,37.338217,46.666667,42.501556,24.116977
2.55,-27.924217,37.338217,46.666667,38.021157,11.279909
2.6,-27.924217,37.338217,46.666667,35.034225,3.456134
2.65,-27.924217,37.338217,46.666667,33.291848,-0.873528
2.7,-27.924217,37.338217,46.666667,32.420660,-2.924421
2.75,-27.759473,37.289377,46.617827,32.296204,-3.684011
2.8,-27.429984,37.240537,46.568987,32.420660,-3.835929
2.85,-26.688633,37.094017,46.471306,32.918482,-3.835929
2.9,-25.288303,36.898657,46.324786,33.789670,-3.835929
2.95,-22.899506,36.556777,46.080586,35.034225,-3.911888
3.0,-19.110379,36.117216,45.787546,36.776602,-4.291682
3.05,-13.344316,35.677656,45.494505,39.016801,-5.279149
3.1,-5.683690,35.482295,45.396825,41.879278,-7.254083
3.15,0.329489,35.628816,45.543346,44.617299,-10.824155
3.2,4.448105,35.921856,45.787546,47.977598,-16.748956
3.25,7.084020,36.166056,46.031746,52.209085,-25.864033
3.3,8.649094,36.312576,46.178266,57.311761,-39.080896
3.35,9.472817,36.459096,46.324786,62.912259,-51.993923
3.4,9.884679,36.507937,46.422466,66.645924,-60.653247
3.45,10.049423,36.556777,46.471306,68.761668,-66.122294
3.5,10.049423,36.556777,46.520147,70.130678,-69.464489
3.55,10.049423,36.556777,46.568987,71.126322,-71.135587
3.6,10.049423,36.556777,46.568987,71.997511,-71.895177
3.65,10.049423,36.556777,46.568987,72.619788,-72.123054
3.7,10.049423,36.605617,46.617827,73.117610,-72.123054
3.75,10.049423,36.605617,46.617827,73.490977,-72.047095
3.8,10.049423,36.605617,46.617827,73.615432,-71.971136
3.85,10.049423,36.605617,46.617827,73.864343,-71.971136
3.9,10.049423,36.605617,46.617827,73.864343,-71.971136
3.95,10.049423,36.605617,46.617827,73.988799,-71.895177
4.0,10.049423,36.605617,46.617827,73.988799,-71.895177
4.05,10.049423,36.605617,46.617827,74.113255,-71.895177
4.1,10.049423,36.605617,46.617827,74.113255,-71.895177
4.15,10.049423,36.605617,46.617827,74.113255,-71.819218
4.2,9.967051,36.605617,46.617827,74.113255,-71.819218
4.25,9.967051,36.605617,46.617827,74.113255,-71.819218
4.3,9.967051,36.556777,46.617827,73.988799,-71.743259
4.35,9.884679,36.556777,46.617827,73.988799,-71.743259
4.4,9.884679,36.507937,46.520147,73.739888,-71.743259
4.45,9.802306,36.410256,46.275946,73.490977,-71.819218
4.5,9.802306,36.117216,45.836386,72.868699,-71.819218
4.55,9.884679,35.677656,45.006105,71.873055,-71.895177
4.6,9.967051,34.945055,43.687424,70.379589,-72.047095
4.65,10.214168,33.870574,41.684982,68.139390,-72.274972
4.7,10.626030,32.307692,38.901099,64.903547,-72.502848
4.75,11.285008,30.256410,35.238095,60.547604,-72.654766
4.8,12.355848,27.570208,30.500611,54.698195,-72.350930
4.85,14.003295,24.151404,24.737485,46.857498,-71.135587
4.9,16.721582,20.244200,18.144078,39.887990,-67.717433
4.95,19.686985,17.020757,13.015873,35.780958,-61.640714
5.0,22.652389,14.627595,9.304029,32.171749,-52.601595
5.05,25.370675,12.869353,6.568987,27.193528,-39.612609
5.1,27.677100,11.648352,4.713065,19.352831,-21.914166
5.15,29.489292,10.818071,3.394383,10.143124,-4.443600
5.2,30.724876,10.280830,2.564103,2.924704,8.013673
5.25,31.548600,9.987790,2.075702,-2.053516,16.597038
5.3,32.042834,9.792430,1.782662,-5.289359,22.142043
5.35,32.207578,9.694750,1.684982,-7.156192,25.560197
5.4,32.289951,9.694750,1.636142,-8.151836,27.383213
5.45,32.372323,9.645910,1.636142,-8.649658,28.294721
5.5,32.372323,9.645910,1.636142,-8.774113,28.598557
5.55,32.372323,9.645910,1.636142,-8.898569,28.674516
5.6,32.289951,9.645910,1.636142,-8.774113,28.674516
5.65,32.207578,9.645910,1.636142,-8.774113,28.674516
