timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.463885,29.831942,27.068058,-26.268058,8.263885
0.05,-2.426699,29.849879,27.105915,-26.261846,8.226708
0.1,-2.400002,29.936885,27.289557,-26.231716,8.200004
0.15,-2.400001,30.490962,28.064339,-26.084032,8.199994
0.2,-2.400001,30.801283,28.496024,-25.983369,8.199991
0.25,-2.4,31.970325,30.18976,-25.537755,8.199968
0.3,-2.399998,35.069467,34.886746,-24.065053,8.199914
0.35,-2.399998,37.93831,39.479014,-22.425281,8.19986
0.4,-2.399995,40.082159,43.064041,-21.049538,8.199821
0.45,-2.399995,41.777643,45.958104,-19.923437,8.199787
0.5,-2.399995,43.539736,49.031375,-18.711404,8.199673
0.55,-2.399994,45.317399,52.182495,-17.530705,8.199457
0.6,-2.399994,45.883929,53.197528,-17.236739,8.199341
0.65,-2.399994,46.009791,53.42333,-17.194744,8.199157
0.7,-2.399994,46.172481,53.715915,-17.295649,8.198757
0.75,-2.399994,46.182006,53.733054,-17.429811,8.198439
0.8,-2.399994,46.183363,53.735506,-17.534634,8.198241
0.85,-2.399994,46.183344,53.735443,-17.623732,8.198057
0.9,-2.399994,46.183197,53.734997,-17.798175,8.197597
0.95,-2.399994,46.180669,53.727334,-18.080594,8.196809
1.0,-2.399994,46.178688,53.721335,-18.222166,8.196398
1.05,-2.399994,46.169718,53.694147,-18.392796,8.195867
1.1,-2.399994,46.140352,53.604981,-18.753828,8.19476
1.15,-2.399994,46.10786,53.515905,-19.017078,8.193949
1.2,-2.399994,46.092465,53.450986,-19.17104,8.19348
1.25,-2.399994,46.09163,53.407327,-19.312796,8.193029
1.3,-2.399994,46.091512,53.381851,-19.558767,8.19202
1.35,-2.399994,46.115022,53.372751,-19.917971,8.190376
1.4,-2.399994,46.127938,53.373921,-20.09513,8.18953
1.45,-2.399994,46.13255,53.37905,-20.261426,8.188546
1.5,-2.399994,46.142218,53.385382,-20.601226,8.186533
1.55,-2.399994,46.135188,53.365428,-20.85654,8.185118
1.6,-2.399994,46.124914,53.336266,-20.972306,8.184338
1.65,-2.399994,46.08473,53.235997,-21.085867,8.183575
1.7,-2.399994,45.816415,52.570972,-21.769783,8.181969
1.75,-2.399995,44.580891,49.428559,-24.017365,8.179434
1.8,-2.399995,43.436171,46.360365,-25.788366,8.178145
1.85,-2.399997,41.883837,41.986358,-29.101792,8.176747
1.9,-2.399999,39.276937,35.189064,-33.62865,8.17392
1.95,-2.399999,37.16088,32.047404,-33.816429,8.171993
2.0,-2.4,35.423132,31.452885,-33.843255,8.170971
2.05,-2.4,33.571992,30.636595,-33.253171,8.169959
2.1,-2.400001,31.95217,29.773571,-32.378208,8.167921
2.15,-2.400001,31.178041,29.522499,-32.174709,8.164791
2.2,-2.400001,31.133805,29.510875,-32.241809,8.163215
2.25,-2.400001,31.127485,29.509215,-32.44854,8.161607
2.3,-2.400001,31.129787,29.516041,-32.745263,8.158394
2.35,-2.400001,31.1346,29.53193,-32.924557,8.156266
2.4,-2.400001,31.138478,29.545273,-33.01469,8.155181
2.45,-2.400001,31.1416,29.556957,-33.104862,8.154093
2.5,-2.400001,31.158984,29.623243,-33.234524,8.152
2.55,-2.4,31.198054,29.78671,-33.373333,8.148881
2.6,-2.4,31.228417,29.915253,-33.397722,8.147328
2.65,-2.4,31.249425,30.041557,-33.417568,8.145859
2.7,-2.4,31.266931,30.199953,-33.507482,8.142966
2.75,-2.4,31.274207,30.263967,-33.59087,8.141129
2.8,-2.4,31.275492,30.275249,-33.653242,8.140238
2.85,-2.4,31.276973,30.288098,-33.713961,8.139313
2.9,-2.4,31.278719,30.303245,-33.821238,8.13771
2.95,-2.4,31.279467,30.30971,-33.987162,8.135416
3.0,-2.4,31.27949,30.309916,-34.091814,8.134054
3.05,-2.4,31.279492,30.309932,-34.13037,8.133579
3.1,-2.4,31.279516,30.310138,-34.135878,8.13339
3.15,-2.4,31.376736,30.476524,-34.086302,8.133002
3.2,-2.4,31.810279,31.240264,-33.803255,8.132396
3.25,-2.399998,32.79312,32.999511,-33.085262,8.131667
3.3,-2.399998,34.396284,35.890171,-31.852937,8.130918
3.35,-2.399995,36.123003,38.999168,-30.515267,8.130277
3.4,-2.399995,37.497038,41.449167,-29.469965,8.129839
3.45,-2.399995,38.692056,43.554785,-28.581263,8.129534
