timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-4.853581,26.374233,16.705079,-61.642104,10.610933
0.05,-4.853577,26.374208,16.704963,-61.642387,10.610897
0.1,-4.853519,26.373827,16.703154,-61.646461,10.610327
0.15,-4.853266,26.372168,16.695293,-61.664189,10.607858
0.2,-4.852589,26.367713,16.674145,-61.711898,10.601218
0.25,-4.851171,26.358354,16.629569,-61.812626,10.587222
0.3,-4.848632,26.341425,16.548526,-61.996081,10.561795
0.35,-4.844549,26.313801,16.415063,-62.298925,10.519988
0.4,-4.83853,26.272017,16.21036,-62.765345,10.45602
0.45,-4.830313,26.21261,15.91271,-63.447811,10.363359
0.5,-4.819924,26.132456,15.497511,-64.408323,10.23481
0.55,-4.807954,26.029512,14.937295,-65.720481,10.062735
0.6,-4.793222,25.903967,14.201971,-67.47125,9.836856
0.65,-4.77534,25.760064,13.260428,-69.758875,9.54642
0.7,-4.75839,25.60865,12.078433,-72.707573,9.183409
0.75,-4.744352,25.471944,10.61991,-76.472404,8.736327
0.8,-4.734064,25.391167,8.848864,-81.245689,8.190556
0.85,-4.726285,25.417303,7.099994,-86.180391,7.63991
0.9,-4.743287,25.238048,7.105711,-83.481763,7.237227
0.95,-4.769609,25.123211,7.099999,-81.426863,6.922788
1.0,-4.799947,25.048967,7.099994,-79.818511,6.681709
1.05,-4.828869,25.001746,7.099994,-78.591696,6.498804
1.1,-4.849767,24.971934,7.099989,-77.672189,6.358277
1.15,-4.865459,24.953214,7.099994,-76.99866,6.254273
1.2,-4.875832,24.941569,7.099994,-76.519943,6.178817
1.25,-4.882412,24.934424,7.099994,-76.192732,6.126362
1.3,-4.886417,24.930132,7.099994,-75.980224,6.091872
1.35,-4.888727,24.927673,7.099999,-75.851537,6.070804
1.4,-4.889955,24.926371,7.099994,-75.780858,6.059176
1.45,-4.890528,24.925751,7.09999,-75.747329,6.053652
1.5,-4.890738,24.925535,7.099994,-75.734908,6.051596
1.55,-4.890787,24.92549,7.099994,-75.732087,6.05112
1.6,-4.890791,24.92547,7.099994,-75.731828,6.05109
1.65,-4.890784,24.925631,7.099994,-75.732651,6.0511
1.7,-4.890691,24.927783,7.099994,-75.744323,6.051249
1.75,-4.890287,24.937114,7.099994,-75.794949,6.051895
1.8,-4.889198,24.962291,7.099994,-75.931327,6.053627
1.85,-4.886887,25.015551,7.099994,-76.219575,6.05724
1.9,-4.882646,25.113034,7.099994,-76.745738,6.063688
1.95,-4.875565,25.275334,7.099994,-77.618152,6.073971
2.0,-4.86453,25.528699,7.099989,-78.971325,6.088975
2.05,-4.848276,25.907004,7.099994,-80.973304,6.109271
2.1,-4.830045,26.4554,7.099994,-83.839658,6.139527
2.15,-4.803142,27.236944,7.099994,-87.860276,6.172821
2.2,-4.795121,28.16866,7.710577,-90.339642,6.25493
2.25,-4.811836,29.563706,7.980588,-96.445517,6.369497
2.3,-4.868021,30.686734,10.252654,-94.170879,6.620865
2.35,-4.934562,32.117685,13.056381,-91.685729,6.933414
2.4,-5.01107,33.919574,16.478058,-89.119422,7.317306
2.45,-5.144334,36.066677,20.456524,-86.687075,7.836736
2.5,-5.242027,38.005714,23.971324,-85.026192,8.280549
2.55,-5.324317,39.65602,26.921639,-83.939359,8.6604
2.6,-5.392912,41.040274,29.359904,-83.282509,8.979705
2.65,-5.449585,42.178426,31.353023,-82.8576,9.243438
2.7,-5.495363,43.094587,32.936921,-82.641199,9.455808
2.75,-5.531404,43.812078,34.165952,-82.543162,9.622192
2.8,-5.557938,44.355362,35.098577,-82.47389,9.746869
2.85,-5.576773,44.75148,35.778975,-82.428702,9.836806
2.9,-5.589861,45.027577,36.251104,-82.409301,9.899301
2.95,-5.598453,45.209257,36.560886,-82.401709,9.940329
3.0,-5.603694,45.320254,36.749827,-82.399038,9.965357
3.05,-5.606583,45.38153,36.853995,-82.398208,9.979159
3.1,-5.607955,45.410642,36.903476,-82.397966,9.985711
3.15,-5.608465,45.421462,36.921861,-82.397915,9.988146
3.2,-5.608583,45.42396,36.926103,-82.397887,9.988709
3.25,-5.608591,45.424128,36.926388,-82.397887,9.988745
3.3,-5.60859,45.423995,36.926219,-82.397754,9.988751
3.35,-5.608568,45.422022,36.923689,-82.395749,9.988818
3.4,-5.608473,45.413512,36.912762,-82.387034,9.989104
3.45,-5.608218,45.390588,36.883367,-82.363583,9.989879
3.5,-5.607677,45.342316,36.821478,-82.314224,9.991506
3.55,-5.606682,45.254696,36.709267,-82.224551,9.99446
3.6,-5.605008,45.11096,36.525524,-82.077309,9.9993
3.65,-5.602357,44.891744,36.246064,-81.852418,10.006664
3.7,-5.598329,44.575485,35.844553,-81.527417,10.01725
3.75,-5.59237,44.139134,35.29377,-81.078004,10.031804
3.8,-5.58373,43.558551,34.56664,-80.478795,10.051096
3.85,-5.571205,42.809072,33.638821,-79.698904,10.075641
3.9,-5.551778,41.865376,32.497531,-78.667368,10.103801
3.95,-5.524604,40.703012,31.11669,-77.393899,10.138334
4.0,-5.486874,39.295564,29.481789,-75.852425,10.180245
4.05,-5.434777,37.613334,27.581979,-74.017464,10.231033
4.1,-5.36139,35.620314,25.420813,-71.815233,10.290931
4.15,-5.275817,33.648548,23.381001,-69.61556,10.350969
4.2,-5.196356,32.017089,21.762412,-67.81654,10.403741
4.25,-5.12532,30.676378,20.481042,-66.353192,10.449887
4.3,-5.062504,29.587865,19.478714,-65.153999,10.488087
4.35,-5.008952,28.717658,18.701329,-64.192646,10.519323
4.4,-4.96534,28.035088,18.105127,-63.443942,10.544814
4.45,-4.930994,27.512108,17.656484,-62.873498,10.564979
4.5,-4.904899,27.122578,17.326956,-62.450429,10.58038
4.55,-4.885854,26.842243,17.092257,-62.146954,10.591672
4.6,-4.872595,26.648907,16.931611,-61.93811,10.599566
4.65,-4.863876,26.522599,16.827182,-61.801889,10.604771
4.7,-4.858555,26.445811,16.763895,-61.719134,10.607954
4.75,-4.855618,26.403551,16.72913,-61.673618,10.60971
4.8,-4.854225,26.383486,16.712662,-61.652031,10.610547
4.85,-4.853706,26.376033,16.706533,-61.644019,10.610856
4.9,-4.853587,26.374326,16.705135,-61.642179,10.610929
4.95,-4.853579,26.374208,16.705034,-61.642049,10.610932
