timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.052025,29.777784,27.008975,-26.310545,8.199989
0.05,-1.869787,29.759818,26.945974,-26.263757,8.199989
0.1,-1.574333,29.738386,26.861156,-26.116831,8.199989
0.15,-0.935311,29.710897,26.722021,-25.859922,8.199989
0.2,0.187334,29.676511,26.509512,-25.494214,8.199989
0.25,1.572473,29.64141,26.258357,-25.065014,8.199989
0.3,2.965984,29.611369,26.004195,-24.61243,8.199989
0.35,4.342953,29.583534,25.732536,-24.111643,8.199989
0.4,5.735764,29.55289,25.416362,-23.521607,8.199989
0.45,7.176805,29.514424,25.028648,-22.801274,8.199989
0.5,8.698463,29.463122,24.542376,-21.909597,8.199989
0.55,10.305893,29.396566,23.946992,-20.832807,8.199989
0.6,11.895321,29.322716,23.297815,-19.666245,8.199989
0.65,13.335745,29.252132,22.666631,-18.532531,8.199989
0.7,14.523028,29.19356,22.113508,-17.534205,8.199989
0.75,15.460511,29.148522,21.651618,-16.69347,8.199989
0.8,16.178408,29.116727,21.282416,-16.012453,8.199989
0.85,16.707598,29.096915,21.003191,-15.487277,8.199989
0.9,17.081648,29.083936,20.794585,-15.090086,8.199989
0.95,17.33304,29.072797,20.636269,-14.790987,8.199989
1.0,17.487257,29.063014,20.520702,-14.575923,8.199989
1.05,17.568031,29.05523,20.443535,-14.434803,8.199989
1.1,17.599089,29.050088,20.400425,-14.357531,8.199989
1.15,17.604173,29.048231,20.387019,-14.334018,8.199989
1.2,17.541504,29.049303,20.404019,-14.371455,8.199989
1.25,17.36048,29.056801,20.488999,-14.533127,8.199989
1.3,17.071582,29.077155,20.692927,-14.893084,8.199989
1.35,16.681108,29.133874,21.070665,-15.528501,8.199989
1.4,16.178683,29.26064,21.692646,-16.529085,8.199989
1.45,15.549746,29.479139,22.633195,-17.987667,8.199989
1.5,14.799494,29.810568,23.949705,-19.967077,8.199989
1.55,14.01211,30.27415,25.631834,-22.410128,8.19999
1.6,13.250141,30.877074,27.634721,-25.216824,8.19999
1.65,12.41064,31.580352,29.843172,-28.235948,8.19999
