timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.400655,29.799983,27.100027,-26.300506,8.200913
0.05,-2.405301,29.799723,27.099949,-26.301496,8.2034
0.1,-2.407875,29.799575,27.099905,-26.302771,8.2072
0.15,-2.417912,29.799024,27.099749,-26.30428,8.212149
0.2,-2.442472,29.797665,27.099349,-26.306001,8.218142
0.25,-2.456334,29.796897,27.099126,-26.307926,8.225107
0.3,-2.482965,29.795427,27.098707,-26.310052,8.233003
0.35,-2.537907,29.7924,27.097833,-26.312382,8.241803
0.4,-2.564544,29.790933,27.097406,-26.314922,8.251499
0.45,-2.578416,29.790174,27.097185,-26.317679,8.262094
0.5,-2.60299,29.78883,27.096801,-26.320666,8.273604
0.55,-2.613036,29.788275,27.096644,-26.323895,8.286055
0.6,-2.61561,29.788136,27.096603,-26.327384,8.299489
0.65,-2.620259,29.787887,27.096526,-26.331154,8.313957
0.7,-2.620923,29.787847,27.096514,-26.335231,8.329527
0.75,-2.658459,29.785821,27.095927,-26.339645,8.346285
0.8,-2.921209,29.771643,27.09182,-26.344435,8.364341
0.85,-5.031232,29.668775,27.061651,-26.349648,8.383832
0.9,-7.339964,29.572962,27.032898,-26.355344,8.404933
0.95,-9.655395,29.509949,27.012296,-26.361601,8.427872
1.0,-11.777773,29.467625,26.99717,-26.368521,8.45295
1.05,-12.0426,29.46373,26.995614,-26.376247,8.480581
1.1,-12.080434,29.463173,26.995392,-26.384981,8.511351
1.15,-11.962842,29.464856,26.996067,-26.395034,8.54614
1.2,-11.139009,29.478327,27.001224,-26.406928,8.586382
1.25,-10.682438,29.487695,27.004544,-26.421667,8.634713
1.3,-8.898929,29.529691,27.018824,-26.44179,8.697151
1.35,-4.541803,29.690934,27.068215,-26.484485,8.797605
1.4,-1.521019,29.812915,27.104173,-26.543803,9.392878
1.45,2.515662,30.126658,27.193152,-26.629934,10.942708
1.5,9.254132,30.758103,27.372134,-26.84326,13.628851
1.55,12.13782,31.064191,27.459349,-27.255387,17.8271
1.6,13.125889,31.227142,27.506908,-27.960061,24.475366
1.65,15.042015,31.491083,27.58379,-29.12234,38.202924
1.7,15.623824,31.575795,27.60864,-31.133203,51.74944
1.75,15.735066,31.592064,27.613416,-35.97476,59.26049
1.8,15.833508,31.606651,27.617707,-40.874652,64.628605
1.85,15.731497,31.591544,27.613274,-42.829367,67.649557
1.9,15.616203,31.574692,27.608329,-43.759796,64.5958
1.95,15.013164,31.486941,27.582576,-43.998031,58.674056
2.0,13.02587,31.213966,27.503093,-43.599991,51.518675
2.05,11.974147,31.041841,27.453066,-42.39968,43.668523
