timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-1.647446,12.918193,15.555556,36.776602,10.064565
0.05,-1.647446,12.332112,15.604396,28.313628,10.064565
0.1,-1.647446,8.620269,16.190476,20.597386,10.140524
0.15,-1.647446,5.299145,17.264957,8.151836,10.444360
0.2,-1.647446,4.859585,17.460317,-6.658370,10.672237
0.25,-1.647446,4.859585,17.460317,-16.365899,10.900114
0.3,-1.647446,4.859585,17.460317,-19.601742,10.976073
0.35,-1.647446,4.859585,17.460317,-17.112632,10.900114
0.4,-1.647446,4.859585,17.460317,-9.645302,10.748196
0.45,-1.647446,4.859585,17.411477,2.675793,10.520319
0.5,-1.647446,4.957265,17.313797,18.481643,10.292442
0.55,-1.647446,5.103785,17.020757,30.056005,10.140524
0.6,-1.647446,5.396825,16.532357,36.029869,10.064565
0.65,-1.647446,5.982906,15.750916,35.780958,10.064565
0.7,-1.647446,5.982906,15.750916,32.545115,10.064565
0.75,-1.647446,5.982906,15.750916,23.210952,10.216483
0.8,-1.647446,5.836386,15.799756,7.778469,10.368401
0.85,-1.647446,5.445665,16.092796,-6.658370,10.596278
0.9,-1.647446,4.468864,16.923077,-12.507778,10.824155
0.95,-1.647446,4.468864,16.923077,-15.619166,10.900114
1.0,-1.647446,4.468864,16.923077,-14.250156,10.824155
1.05,-1.647446,4.468864,16.923077,-10.018668,10.748196
1.1,-1.647446,4.468864,16.923077,-3.049160,10.596278
1.15,-1.647446,4.468864,16.923077,6.782825,10.444360
1.2,-1.647446,4.468864,16.923077,18.606098,10.292442
1.25,-1.647446,4.468864,16.923077,28.438083,10.216483
1.3,-1.647446,4.468864,16.923077,35.407592,10.140524
1.35,-1.647446,4.468864,16.923077,39.639079,10.064565
1.4,-1.647446,4.468864,16.923077,41.008090,10.064565
1.45,-1.647446,4.420024,16.923077,37.025513,10.140524
1.5,-1.647446,4.420024,16.923077,24.704418,10.216483
1.55,-1.647446,4.420024,16.923077,6.285003,10.444360
1.6,-1.647446,4.420024,16.971917,-5.911637,10.672237
1.65,-1.647446,4.420024,16.971917,-10.018668,10.748196
1.7,-1.647446,4.371184,16.971917,-7.031736,10.672237
1.75,-1.647446,4.371184,17.020757,1.555694,10.520319
1.8,-1.647446,4.371184,17.020757,15.868077,10.292442
1.85,-1.647446,4.322344,17.069597,30.180460,10.140524
1.9,-1.647446,4.273504,17.118437,38.892346,10.064565
1.95,-1.647446,4.224664,17.167277,42.003734,10.064565
2.0,-1.647446,4.175824,17.264957,40.261357,10.064565
2.05,-1.647446,4.126984,17.362637,34.660859,10.140524
2.1,-1.647446,4.029304,17.460317,25.077785,10.216483
2.15,-1.647446,3.931624,17.606838,12.756689,10.368401
2.2,-1.647446,3.833944,17.753358,3.298071,10.596278
2.25,-1.647446,3.687424,17.899878,-2.053516,10.672237
2.3,-1.647446,3.540904,18.095238,-3.298071,10.672237
2.35,-1.647446,3.540904,18.095238,0.560050,10.596278
2.4,-1.647446,3.540904,18.095238,12.134412,10.444360
2.45,-1.647446,3.589744,18.095238,29.558183,10.216483
2.5,-1.647446,3.638584,18.046398,41.008090,10.140524
2.55,-1.647446,3.736264,17.851038,44.243933,10.064565
2.6,-1.647446,3.980464,17.509158,40.759179,10.064565
2.65,-1.647446,4.517705,16.776557,31.549471,10.140524
2.7,-1.647446,5.543346,15.653236,15.992533,10.292442
2.75,-1.647446,5.543346,15.653236,4.667082,10.444360
2.8,-1.647446,5.543346,15.653236,-2.177971,10.520319
2.85,-1.647446,5.494505,15.799756,-4.044804,10.596278
2.9,-1.647446,5.299145,16.239316,-0.808961,10.520319
2.95,-1.647446,4.859585,17.460317,8.649658,10.444360
3.0,-1.647446,4.859585,17.460317,18.979465,10.292442
3.05,-1.647446,4.859585,17.460317,32.296204,10.140524
3.1,-1.647446,4.859585,17.460317,42.626011,10.064565
3.15,-1.647446,4.859585,17.460317,48.724331,10.064565
3.2,-1.647446,4.859585,17.460317,50.840075,10.064565
3.25,-1.647446,4.859585,17.460317,48.848787,10.064565
3.3,-1.647446,4.908425,17.460317,43.248289,10.064565
3.35,-1.647446,4.957265,17.411477,33.789670,10.140524
3.4,-1.647446,5.006105,17.362637,24.331052,10.216483
3.45,-1.647446,5.103785,17.313797,18.357187,10.292442
3.5,-1.647446,5.299145,17.264957,15.992533,10.292442
3.55,-1.647446,5.543346,17.167277,16.614810,10.292442
3.6,-1.647446,5.934066,17.020757,19.601742,10.216483
3.65,-1.647446,6.422466,16.825397,24.828874,10.140524
3.7,-1.647446,7.106227,16.581197,32.296204,10.064565
3.75,-1.647446,7.985348,16.336996,39.265713,10.064565
3.8,-1.647446,9.206349,16.043956,42.999378,10.064565
3.85,-1.647446,10.818071,15.750916,43.248289,10.064565
3.9,-1.647446,12.918193,15.555556,40.012446,9.988606
3.95,-1.647446,12.918193,15.555556,39.887990,10.064565
