timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.4,29.839365,27.123011,-26.3,8.200037
0.05,-2.4,29.878729,27.123366,-26.3,8.200599
0.1,-2.4,29.879047,27.128695,-26.3,8.20303
0.15,-2.4,29.883819,27.151789,-26.3,8.209577
0.2,-2.401133,29.904496,27.213964,-26.3,8.223382
0.25,-2.418124,29.960166,27.345064,-26.3,8.248485
0.3,-2.491751,30.077549,27.58346,-26.3,8.273587
0.35,-2.689979,30.291001,27.97605,-26.3,8.287392
0.4,-3.107957,30.642514,28.578258,-26.3,8.293939
0.45,-3.86802,31.181713,29.454035,-26.301861,8.296371
0.5,-5.119688,31.965857,30.67586,-26.329773,8.296932
0.55,-7.039668,33.059843,32.324737,-26.450726,8.296969
0.6,-9.831849,34.536197,34.349195,-26.776369,8.298324
0.65,-12.624032,36.012551,35.998072,-27.46301,8.318642
0.7,-14.544011,37.106535,37.219895,-28.711617,8.406689
0.75,-15.795679,37.89068,38.095673,-30.76782,8.643737
0.8,-16.555741,38.429879,38.697881,-33.921904,9.14357
0.85,-16.97372,38.781392,39.090472,-38.508816,10.052481
0.9,-17.171947,38.994844,39.328868,-44.404115,11.54927
0.95,-17.245573,39.112228,39.459968,-48.991026,13.845253
1.0,-17.262565,39.167897,39.522144,-52.145108,17.184245
1.05,-17.263699,39.188574,39.545236,-54.201313,21.842582
1.1,-17.263699,39.193346,39.550566,-55.449919,26.50092
1.15,-17.263699,39.193664,39.550922,-56.136561,29.839912
1.2,-17.263699,39.193665,39.550925,-56.462204,32.135893
1.25,-17.263699,39.193677,39.550988,-56.583157,33.632682
1.3,-17.263699,39.19373,39.55126,-56.611068,34.541594
1.35,-17.263699,39.193872,39.551993,-56.612926,35.041428
1.4,-17.263699,39.19417,39.553539,-56.612923,35.278475
1.45,-17.263699,39.194715,39.55635,-56.612841,35.366521
1.5,-17.263699,39.195611,39.560979,-56.612485,35.386841
1.55,-17.263699,39.196987,39.568081,-56.611526,35.388196
1.6,-17.263699,39.198987,39.578406,-56.609504,35.388184
1.65,-17.263699,39.201776,39.592812,-56.605829,35.388026
1.7,-17.263699,39.205542,39.612255,-56.599774,35.387337
1.75,-17.263699,39.210486,39.637787,-56.590485,35.385483
1.8,-17.263699,39.216835,39.670567,-56.576985,35.381575
1.85,-17.263699,39.22483,39.711852,-56.558148,35.374466
1.9,-17.263699,39.234735,39.762996,-56.532722,35.362761
1.95,-17.263699,39.246831,39.82546,-56.499333,35.344806
2.0,-17.263699,39.258929,39.887926,-56.456467,35.318694
2.05,-17.263699,39.268834,39.939069,-56.413597,35.282264
2.1,-17.263699,39.276829,39.980353,-56.380204,35.233102
2.15,-17.263699,39.283177,40.013133,-56.354782,35.168539
2.2,-17.263699,39.288121,40.038666,-56.335941,35.103972
2.25,-17.263699,39.291887,40.058109,-56.322438,35.054811
2.3,-17.263699,39.294678,40.072515,-56.313156,35.018379
2.35,-17.263699,39.296676,40.082842,-56.307101,34.992267
2.4,-17.263699,39.298053,40.089941,-56.303426,34.974313
2.45,-17.263699,39.298949,40.094571,-56.301404,34.962607
2.5,-17.263699,39.299493,40.097381,-56.300445,34.955499
2.55,-17.263699,39.299793,40.098928,-56.30009,34.95159
2.6,-17.263504,39.299934,40.099661,-56.300008,34.949736
2.65,-17.260601,39.299986,40.099934,-56.300001,34.949048
2.7,-17.248027,39.299999,40.099996,-56.299277,34.948889
2.75,-17.214173,39.3,40.1,-56.288427,34.948879
2.8,-17.142787,39.299771,40.099687,-56.241408,34.947965
2.85,-17.012978,39.296334,40.094985,-56.114814,34.934264
2.9,-16.799208,39.281444,40.07461,-55.84789,34.874885
2.95,-16.471298,39.241358,40.019753,-55.362499,34.715025
3.0,-15.994427,39.156832,39.904085,-54.563166,34.377948
3.05,-15.329127,39.003125,39.69375,-53.337037,33.764992
3.1,-14.431293,38.750002,39.347372,-51.553907,32.755584
3.15,-13.252172,38.361728,38.816049,-49.066206,31.207214
3.2,-11.73837,37.797071,38.04336,-45.709,28.955456
3.25,-9.831849,37.009298,36.965354,-41.3,25.813955
3.3,-7.925331,35.946182,35.510565,-36.890999,21.574439
3.35,-6.411525,34.55,33.6,-33.5338,17.334923
3.4,-5.232406,33.153816,31.689433,-31.046094,14.193424
3.45,-4.334572,32.090703,30.234645,-29.262964,11.941663
3.5,-3.669273,31.302929,29.156641,-28.036834,10.393293
3.55,-3.1924,30.738272,28.383951,-27.237502,9.383885
3.6,-2.86449,30.349998,27.852628,-26.752111,8.770934
3.65,-2.650721,30.096875,27.50625,-26.485184,8.433854
3.7,-2.52091,29.943168,27.295915,-26.358593,8.273993
3.75,-2.449526,29.858642,27.180247,-26.311574,8.214615
3.8,-2.41567,29.818555,27.12539,-26.300724,8.200914
3.85,-2.403096,29.803665,27.105016,-26.3,8.2
3.9,-2.400193,29.80023,27.100314,-26.3,8.2
3.95,-2.4,29.8,27.1,-26.3,8.2
