timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-1.647446,12.918193,15.555556,39.887990,10.064565
0.05,-3.212521,14.334554,17.069597,34.785314,9.912647
0.1,-4.036244,15.018315,17.851038,32.420660,9.912647
0.15,-4.859967,15.702076,18.730159,29.807094,9.988606
0.2,-5.766063,16.385836,19.609280,27.442439,10.216483
0.25,-6.672158,16.971917,20.537241,25.202240,10.520319
0.3,-7.578254,17.460317,21.465201,23.086497,10.900114
0.35,-8.484349,17.899878,22.393162,21.344119,11.355868
0.4,-9.472817,18.241758,23.223443,19.726198,11.887581
0.45,-10.461285,18.534799,24.053724,18.357187,12.495253
0.5,-11.449753,18.778999,24.737485,17.112632,13.178883
0.55,-12.520593,18.925519,25.372405,16.116988,13.862514
0.6,-13.509061,19.072039,25.860806,15.370255,14.546145
0.65,-14.579901,19.120879,26.251526,14.747978,15.229776
0.7,-15.568369,19.169719,26.446886,14.250156,15.913407
0.75,-16.556837,19.169719,26.593407,13.876789,16.597038
0.8,-17.380560,19.120879,26.593407,13.503423,17.204709
0.85,-18.204283,19.072039,26.446886,13.254512,17.736422
0.9,-18.945634,19.023199,26.300366,13.130056,18.192176
0.95,-19.604613,18.974359,26.056166,13.005600,18.571971
1.0,-20.098847,18.925519,25.811966,13.005600,18.875807
1.05,-20.510708,18.876679,25.616606,12.881145,19.179643
1.1,-20.757825,18.876679,25.421245,12.756689,19.331561
1.15,-20.840198,18.876679,25.323565,12.756689,19.407520
1.2,-20.840198,18.876679,25.372405,12.632234,19.407520
1.25,-20.675453,18.876679,25.470085,12.507778,19.331561
1.3,-20.428336,18.925519,25.763126,12.383323,19.255602
1.35,-19.934102,18.974359,26.153846,12.258867,19.027725
1.4,-19.357496,19.023199,26.739927,12.009956,19.027725
1.45,-18.616145,19.120879,27.374847,11.885501,18.647930
1.5,-17.710049,19.169719,28.205128,11.636590,18.192176
1.55,-16.721582,19.267399,29.084249,11.512134,17.660463
1.6,-15.485997,19.365079,29.816850,11.263223,16.976833
1.65,-14.168040,19.462759,31.086691,11.138768,16.217243
1.7,-12.685338,19.560440,32.210012,11.014312,15.229776
1.75,-11.120264,19.609280,33.040293,11.014312,14.090391
1.8,-9.472817,19.706960,33.577534,11.014312,12.799088
1.85,-7.742998,19.755800,33.675214,11.014312,11.431827
1.9,-5.930807,19.853480,33.675214,11.138768,9.988606
1.95,-4.118616,19.853480,33.235653,11.387679,8.621344
2.0,-2.224053,20.048840,32.551893,11.636590,7.330042
2.05,-0.411862,19.951160,31.623932,11.885501,6.190657
2.1,1.894563,19.853480,30.549451,12.258867,5.203190
2.15,3.294893,19.706960,29.328449,12.756689,4.291682
2.2,4.530478,19.462759,28.009768,13.254512,3.532093
2.25,5.683690,19.218559,26.593407,13.876789,2.848462
2.3,6.672158,18.876679,25.177045,14.374611,2.164831
2.35,7.578254,18.534799,23.711844,15.121344,1.557159
2.4,8.401977,18.144078,22.246642,15.494711,0.949487
2.45,9.060956,17.753358,20.781441,16.490355,0.493733
2.5,9.555189,17.313797,19.365079,17.361543,0.189897
2.55,9.884679,16.874237,17.948718,18.232732,-0.113938
2.6,9.884679,16.532357,16.630037,19.103920,-0.189897
2.65,9.884679,16.141636,15.360195,19.975109,-0.189897
2.7,9.802306,15.799756,14.285714,20.721842,-0.189897
2.75,9.637562,15.555556,13.455433,21.219664,-0.113938
2.8,9.390445,15.409035,12.918193,21.593030,0.037979
2.85,8.978583,15.457875,12.967033,21.593030,0.265856
2.9,8.401977,15.555556,13.113553,21.468575,0.645651
2.95,7.660626,15.750916,13.455433,21.219664,1.177364
3.0,6.589786,16.092796,14.041514,20.846297,1.860995
3.05,5.354201,16.532357,15.067155,20.099564,2.620585
3.1,3.953871,17.069597,16.336996,19.228376,3.608052
3.15,2.388797,17.606838,17.704518,18.232732,4.595518
3.2,0.658979,18.095238,19.023199,17.361543,5.658944
3.25,-1.153213,18.485958,20.146520,16.490355,6.798329
3.3,-3.047776,18.827839,21.123321,15.868077,8.013673
3.35,-5.024712,19.023199,21.758242,15.370255,9.304975
3.4,-7.001647,19.120879,22.197802,15.121344,10.444360
3.45,-8.813839,19.120879,22.148962,15.121344,11.583745
3.5,-10.461285,19.072039,22.100122,15.245800,12.647171
3.55,-11.943987,18.974359,21.953602,15.245800,13.482719
3.6,-13.097199,18.778999,21.465201,15.619166,14.166350
3.65,-14.003295,18.583639,20.879121,15.992533,14.698063
3.7,-14.744646,18.388278,20.244200,16.490355,15.153817
3.75,-15.238880,18.144078,19.560440,16.863721,15.457653
3.8,-15.568369,17.948718,18.876679,17.361543,15.609571
3.85,-15.815486,17.753358,18.241758,17.734910,15.685530
3.9,-15.815486,17.606838,17.704518,18.108276,15.761489
3.95,-15.733114,17.509158,17.362637,18.357187,15.685530
4.0,-15.485997,17.509158,17.216117,18.481643,15.457653
4.05,-15.074135,17.557998,17.411477,18.357187,15.229776
4.1,-14.497529,17.753358,17.851038,17.983821,14.925940
4.15,-13.920923,17.997558,18.583639,17.485999,14.622104
4.2,-13.344316,18.290598,19.560440,16.863721,14.242309
4.25,-12.767710,18.632479,20.683761,16.116988,13.938473
4.3,-12.191104,18.974359,22.002442,15.245800,13.634637
4.35,-11.614498,19.316239,23.369963,14.374611,13.330801
4.4,-11.037891,19.609280,24.835165,13.378967,13.026965
4.45,-10.378913,19.853480,26.300366,12.507778,12.647171
4.5,-9.555189,20.048840,27.716728,11.636590,12.191417
4.55,-8.566722,20.195360,29.035409,10.889857,11.583745
4.6,-7.413509,20.244200,30.207570,10.143124,10.900114
4.65,-5.930807,20.244200,31.135531,9.645302,10.064565
4.7,-4.365733,20.195360,31.770452,9.396391,9.077098
4.75,-2.635914,20.146520,31.916972,9.271935,8.013673
4.8,-0.906096,20.048840,31.965812,9.396391,6.950247
4.85,0.823723,19.902320,31.916972,9.396391,5.886821
4.9,2.306425,19.755800,31.868132,9.520846,4.975313
4.95,3.706755,19.658120,31.526252,9.769757,4.139765
5.0,4.859967,19.511600,30.989011,10.143124,3.380175
5.05,5.848435,19.365079,30.451770,10.516490,2.772503
5.1,6.672158,19.267399,29.865690,10.889857,2.240790
5.15,7.413509,19.169719,29.230769,11.263223,1.709077
5.2,8.072488,19.023199,28.547009,11.636590,1.329282
5.25,8.649094,18.876679,27.863248,12.134412,0.949487
5.3,9.225700,18.778999,27.179487,12.507778,0.569692
5.35,9.637562,18.632479,26.495726,13.005600,0.341815
5.4,10.049423,18.485958,25.811966,13.378967,0.037979
5.45,10.378913,18.339438,25.225885,13.752334,-0.189897
5.5,10.708402,18.192918,24.590965,14.125700,-0.417774
5.55,10.955519,18.046398,23.907204,14.623522,-0.645651
5.6,11.202636,17.899878,23.272283,14.996889,-0.797569
5.65,11.449753,17.753358,22.588523,15.494711,-0.949487
5.7,11.614498,17.606838,21.904762,15.868077,-1.101405
5.75,11.614498,17.460317,21.318681,16.241444,-1.101405
5.8,11.614498,17.362637,20.879121,16.490355,-1.101405
5.85,11.532125,17.313797,20.586081,16.614810,-1.025446
5.9,11.367381,17.313797,20.439560,16.739266,-0.949487
5.95,11.037891,17.362637,20.390720,16.739266,-0.797569
6.0,10.626030,17.460317,20.586081,16.614810,-0.493733
6.05,9.967051,17.655678,21.025641,16.365899,-0.113938
6.1,9.308072,17.899878,21.709402,15.868077,0.341815
6.15,8.566722,18.192918,22.539683,15.370255,0.873528
6.2,7.742998,18.485958,23.516484,14.623522,1.405241
6.25,6.919275,18.778999,24.688645,13.876789,1.936954
6.3,6.095552,19.072039,25.958486,13.130056,2.544626
6.35,5.189456,19.365079,27.326007,12.258867,3.152298
6.4,4.118616,19.560440,28.742369,11.387679,3.835929
6.45,2.883031,19.755800,30.109890,10.516490,4.595518
6.5,1.482702,19.853480,31.428571,9.645302,5.507026
6.55,-0.082372,19.951160,32.600733,9.023024,6.418534
6.6,-1.812191,19.951160,33.577534,8.525202,7.481960
6.65,-3.542010,19.902320,34.310134,8.027380,8.621344
6.7,-5.354201,19.853480,34.798535,7.778469,9.684770
6.75,-7.001647,19.853480,34.945055,7.654014,10.672237
6.8,-8.566722,19.853480,34.847375,7.654014,11.583745
6.85,-9.884679,19.853480,34.603175,7.778469,12.419294
6.9,-11.037891,19.853480,34.114774,8.027380,13.102924
6.95,-12.026359,19.902320,33.479853,8.400747,13.710596
7.0,-12.767710,19.951160,32.747253,8.774113,14.166350
7.05,-13.344316,19.951160,31.868132,9.271935,14.546145
7.1,-13.838550,19.951160,31.037851,9.769757,14.774022
7.15,-14.168040,19.951160,30.207570,10.267579,14.925940
7.2,-14.168040,19.902320,29.426129,10.640946,14.925940
7.25,-14.168040,19.902320,28.644689,11.138768,14.925940
7.3,-14.168040,19.853480,27.960928,11.512134,14.925940
7.35,-14.085667,19.755800,27.326007,11.885501,14.925940
7.4,-14.003295,19.706960,26.691087,12.258867,14.849981
7.45,-13.920923,19.658120,26.105006,12.632234,14.774022
7.5,-13.838550,19.560440,25.616606,13.005600,14.698063
7.55,-13.426689,19.560440,25.372405,13.130056,14.394227
7.6,-12.767710,19.609280,25.372405,13.130056,14.090391
7.65,-12.108731,19.706960,25.665446,12.881145,13.634637
7.7,-11.285008,19.853480,26.398046,12.507778,13.178883
7.75,-10.461285,20.000000,27.277167,11.885501,12.723130
7.8,-9.555189,20.097680,28.302808,11.885501,12.115458
7.85,-8.566722,20.195360,29.328449,11.761045,11.583745
7.9,-7.495881,20.244200,30.256410,11.512134,10.976073
7.95,-6.342669,20.244200,31.037851,11.387679,10.216483
8.0,-4.859967,20.244200,31.575092,11.263223,9.456893
8.05,-3.542010,20.048840,31.672772,11.263223,8.545385
8.1,-2.306425,19.951160,31.672772,11.263223,7.633878
8.15,-1.235585,19.804640,31.330891,11.512134,6.874288
8.2,-0.164745,19.706960,31.086691,11.636590,6.114698
8.25,0.906096,19.560440,30.793651,11.885501,5.355108
8.3,1.894563,19.413919,30.354090,12.009956,4.671477
8.35,2.883031,19.316239,29.768010,12.258867,4.063806
8.4,3.706755,19.169719,28.986569,12.507778,3.532093
8.45,4.530478,19.023199,28.107448,12.881145,3.000380
8.5,5.189456,18.876679,27.081807,13.130056,2.544626
8.55,5.848435,18.730159,25.958486,13.503423,2.164831
8.6,6.342669,18.583639,24.835165,13.876789,1.860995
8.65,6.836903,18.437118,23.760684,14.125700,1.633118
8.7,7.166392,18.290598,22.783883,14.499067,1.405241
8.75,7.495881,18.192918,21.953602,14.747978,1.177364
8.8,7.660626,18.095238,21.269841,15.121344,1.101405
8.85,7.825371,17.997558,20.683761,15.370255,1.025446
8.9,7.907743,17.948718,20.293040,15.619166,0.949487
8.95,7.907743,17.899878,20.048840,15.868077,0.949487
9.0,8.072488,17.753358,19.511600,16.116988,0.873528
9.05,7.907743,17.802198,19.560440,16.241444,1.025446
9.1,7.660626,17.802198,19.706960,16.365899,1.177364
9.15,7.413509,17.851038,20.000000,16.490355,1.329282
9.2,7.084020,17.948718,20.341880,16.490355,1.557159
9.25,6.672158,17.997558,20.781441,16.614810,1.785036
9.3,6.177924,18.095238,21.269841,16.863721,2.088872
9.35,5.683690,18.144078,21.807082,17.112632,2.392708
9.4,5.107084,18.144078,22.246642,17.485999,2.772503
9.45,4.448105,18.144078,22.637363,18.108276,3.228257
9.5,3.789127,18.095238,22.930403,18.730554,3.684011
9.55,3.130148,17.997558,23.028083,19.726198,4.215724
9.6,2.388797,17.851038,22.979243,20.846297,4.823395
9.65,1.647446,17.557998,22.686203,22.215308,5.431067
9.7,0.988468,17.216117,22.197802,23.833230,6.038739
