timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-1.647446,12.820513,15.164835,39.763535,9.988606
0.05,-3.212521,12.625153,14.383394,39.265713,10.672237
0.1,-4.036244,12.380952,13.553114,39.141257,10.976073
0.15,-4.942339,12.087912,12.722833,38.892346,11.355868
0.2,-5.848435,11.599512,11.941392,38.643435,11.659704
0.25,-6.754530,11.159951,11.257631,38.518979,12.039499
0.3,-7.742998,10.866911,10.622711,38.518979,12.343335
0.35,-8.731466,10.573871,10.036630,38.394524,12.723130
0.4,-9.802306,10.280830,9.743590,38.394524,13.102924
0.45,-10.790774,10.036630,9.792430,38.394524,13.406760
0.5,-11.943987,9.743590,10.134310,38.394524,13.786555
0.55,-13.014827,9.499389,10.622711,38.394524,14.090391
0.6,-14.085667,9.255189,11.208791,38.518979,14.470186
0.65,-15.238880,9.010989,11.892552,38.518979,14.774022
0.7,-16.309720,8.766789,12.576313,38.518979,15.153817
0.75,-17.380560,8.522589,13.308913,38.518979,15.457653
0.8,-18.369028,8.278388,14.090354,38.518979,15.761489
0.85,-19.275124,8.083028,14.822955,38.518979,15.989366
0.9,-20.098847,7.838828,15.555556,38.394524,16.217243
0.95,-20.840198,7.643468,16.239316,38.394524,16.445120
1.0,-21.416804,7.399267,16.874237,38.270068,16.597038
1.05,-21.911038,7.203907,17.460317,38.270068,16.748956
1.1,-22.158155,6.959707,17.997558,38.145613,16.824915
1.15,-22.322900,6.764347,18.534799,38.145613,16.900874
1.2,-22.405272,6.568987,18.925519,38.145613,16.900874
1.25,-22.322900,6.373626,19.316239,38.145613,16.900874
1.3,-22.075783,6.129426,19.560440,38.270068,16.824915
1.35,-21.746293,5.934066,19.804640,38.270068,16.748956
1.4,-21.334432,5.738706,19.902320,38.394524,16.597038
1.45,-21.334432,5.592186,19.951160,38.394524,16.597038
1.5,-20.510708,5.396825,19.951160,38.767890,16.369161
1.55,-19.522241,5.201465,19.902320,39.016801,16.065325
1.6,-18.286656,5.054945,19.755800,39.390168,15.761489
1.65,-16.803954,4.859585,19.560440,39.639079,15.305735
1.7,-15.074135,4.713065,19.316239,40.012446,14.849981
1.75,-13.014827,4.566545,18.974359,40.261357,14.242309
1.8,-10.708402,4.420024,18.534799,40.385812,13.558678
1.85,-8.237232,4.322344,17.997558,40.385812,12.799088
1.9,-5.683690,4.224664,17.362637,40.385812,12.039499
1.95,-3.212521,4.224664,16.630037,40.261357,11.279909
2.0,-0.906096,4.322344,15.799756,40.012446,10.596278
2.05,1.070840,4.468864,14.920635,39.763535,9.988606
2.1,2.800659,4.615385,13.992674,39.390168,9.456893
2.15,4.283361,4.761905,13.113553,39.141257,9.001139
2.2,5.601318,4.908425,12.185592,38.767890,8.621344
2.25,6.836903,5.103785,11.306471,38.394524,8.241550
2.3,7.907743,5.250305,10.476190,38.021157,7.937714
2.35,8.896211,5.445665,9.645910,37.647791,7.633878
2.4,9.719934,5.641026,8.864469,37.274424,7.406001
2.45,10.461285,5.787546,8.083028,36.901058,7.178124
2.5,10.955519,5.934066,7.594628,36.527691,7.026206
2.55,11.285008,6.080586,7.301587,36.278780,6.874288
2.6,11.285008,6.227106,7.057387,35.905414,6.874288
2.65,11.285008,6.324786,6.813187,35.656503,6.874288
2.7,11.202636,6.373626,6.617827,35.532047,6.950247
2.75,11.037891,6.422466,6.422466,35.283136,6.950247
2.8,10.708402,6.422466,6.227106,35.158681,7.026206
2.85,10.296540,6.422466,6.031746,35.283136,7.178124
2.9,9.719934,6.324786,5.885226,35.283136,7.330042
2.95,8.896211,6.227106,5.738706,35.407592,7.633878
3.0,7.742998,6.080586,5.592186,35.532047,7.937714
3.05,6.425041,5.885226,5.445665,35.905414,8.317509
3.1,4.942339,5.787546,5.299145,36.154325,8.773262
3.15,3.294893,5.689866,5.152625,36.527691,9.304975
3.2,1.482702,5.592186,5.006105,36.901058,9.836688
3.25,-0.494234,5.494505,4.859585,37.149969,10.368401
3.3,-2.553542,5.445665,4.761905,37.398880,11.052032
3.35,-4.695222,5.347985,4.713065,37.647791,11.659704
3.4,-6.836903,5.299145,4.908425,37.772246,12.267376
3.45,-8.813839,5.201465,5.299145,37.772246,12.875047
3.5,-10.626030,5.152625,5.787546,37.772246,13.406760
3.55,-12.108731,5.103785,6.422466,37.647791,13.862514
3.6,-13.426689,5.006105,7.106227,37.523335,14.242309
3.65,-14.415157,4.957265,7.887668,37.398880,14.546145
3.7,-15.156507,4.908425,8.620269,37.274424,14.698063
3.75,-15.733114,4.859585,9.401709,37.149969,14.849981
3.8,-16.062603,4.810745,10.085470,37.025513,15.001899
3.85,-16.227348,4.761905,10.720391,36.776602,15.001899
3.9,-16.309720,4.664225,11.208791,36.652147,15.001899
3.95,-16.144975,4.615385,11.599512,36.652147,15.001899
4.0,-15.897858,4.566545,11.794872,36.652147,14.925940
4.05,-15.485997,4.517705,11.746032,36.652147,14.774022
4.1,-14.909390,4.517705,11.501832,36.776602,14.622104
4.15,-14.250412,4.468864,11.062271,36.901058,14.470186
4.2,-13.673806,4.420024,10.476190,37.149969,14.242309
4.25,-13.014827,4.371184,9.792430,37.398880,14.090391
4.3,-12.355848,4.322344,9.059829,37.647791,13.938473
4.35,-11.779242,4.273504,8.229548,38.021157,13.786555
4.4,-11.202636,4.273504,7.496947,38.270068,13.634637
4.45,-10.461285,4.224664,6.764347,38.643435,13.406760
4.5,-9.637562,4.175824,6.129426,39.016801,13.178883
4.55,-8.566722,4.175824,5.592186,39.265713,12.875047
4.6,-7.248764,4.175824,5.299145,39.514624,12.495253
4.65,-5.683690,4.126984,5.152625,39.763535,12.039499
4.7,-3.953871,4.126984,5.201465,39.887990,11.507786
4.75,-2.059308,4.175824,5.299145,39.887990,10.976073
4.8,-0.247117,4.224664,5.445665,39.887990,10.368401
4.85,1.565074,4.322344,5.689866,39.763535,9.836688
4.9,3.294893,4.420024,5.982906,39.763535,9.304975
4.95,4.695222,4.517705,6.275946,39.639079,8.925180
5.0,6.013180,4.615385,6.666667,39.390168,8.545385
5.05,7.084020,4.713065,7.106227,39.265713,8.165591
5.1,7.990115,4.859585,7.545788,39.016801,7.937714
5.15,8.813839,5.006105,8.034188,38.892346,7.709837
5.2,9.472817,5.103785,8.522589,38.643435,7.481960
5.25,10.049423,5.250305,9.059829,38.518979,7.254083
5.3,10.626030,5.396825,9.548230,38.270068,7.102165
5.35,11.120264,5.494505,10.085470,38.145613,6.950247
5.4,11.532125,5.641026,10.573871,38.021157,6.874288
5.45,11.861614,5.738706,11.062271,37.772246,6.722370
5.5,12.191104,5.836386,11.501832,37.647791,6.646411
5.55,12.520593,5.934066,11.941392,37.523335,6.570452
5.6,12.767710,6.031746,12.332112,37.274424,6.494493
5.65,13.014827,6.080586,12.625153,37.149969,6.418534
5.7,13.179572,6.129426,12.918193,37.025513,6.342575
5.75,13.179572,6.129426,13.162393,36.901058,6.342575
5.8,13.179572,6.178266,13.308913,36.776602,6.342575
5.85,13.097199,6.129426,13.406593,36.776602,6.342575
5.9,12.850082,6.080586,13.455433,36.652147,6.418534
5.95,12.602965,6.031746,13.260073,36.652147,6.494493
6.0,12.108731,5.934066,12.722833,36.776602,6.646411
6.05,11.449753,5.836386,12.039072,36.901058,6.874288
6.1,10.708402,5.689866,11.208791,37.149969,7.102165
6.15,9.967051,5.543346,10.280830,37.274424,7.330042
6.2,9.060956,5.445665,9.304029,37.523335,7.557919
6.25,8.237232,5.299145,8.327228,37.896702,7.861755
6.3,7.331137,5.201465,7.301587,38.145613,8.089632
6.35,6.260297,5.103785,6.275946,38.518979,8.393468
6.4,5.189456,5.006105,5.250305,38.892346,8.773262
6.45,3.871499,4.908425,4.273504,39.265713,9.153057
6.5,2.388797,4.810745,3.345543,39.639079,9.608811
6.55,0.658979,4.713065,2.564103,40.012446,10.140524
6.6,-1.153213,4.664225,1.831502,40.261357,10.672237
6.65,-3.130148,4.566545,1.343101,40.510268,11.279909
6.7,-5.024712,4.517705,1.098901,40.634723,11.811622
6.75,-6.836903,4.420024,1.196581,40.634723,12.419294
6.8,-8.484349,4.371184,1.489621,40.634723,12.875047
6.85,-9.967051,4.322344,1.978022,40.634723,13.330801
6.9,-11.202636,4.273504,2.612943,40.510268,13.710596
6.95,-12.273476,4.224664,3.492063,40.385812,14.014432
7.0,-13.097199,4.175824,4.468864,40.136901,14.242309
7.05,-13.756178,4.175824,5.641026,39.887990,14.470186
7.1,-14.250412,4.126984,6.813187,39.763535,14.546145
7.15,-14.579901,4.078144,8.034188,39.514624,14.698063
7.2,-14.579901,4.078144,9.157509,39.390168,14.622104
7.25,-14.579901,4.078144,10.134310,39.141257,14.622104
7.3,-14.579901,4.029304,11.013431,39.016801,14.622104
7.35,-14.497529,4.029304,11.648352,38.892346,14.622104
7.4,-14.415157,4.029304,12.039072,38.767890,14.622104
7.45,-14.332784,4.029304,12.234432,38.643435,14.546145
7.5,-14.168040,4.029304,12.234432,38.518979,14.470186
7.55,-13.756178,4.029304,12.039072,38.394524,14.394227
7.6,-13.097199,4.078144,11.550672,38.394524,14.166350
7.65,-12.355848,4.078144,10.818071,38.518979,13.938473
7.7,-11.532125,4.078144,9.987790,38.643435,13.710596
7.75,-10.543657,4.126984,9.108669,38.892346,13.406760
7.8,-9.555189,4.126984,8.229548,39.141257,13.178883
7.85,-8.484349,4.175824,7.399267,39.390168,12.875047
7.9,-7.331137,4.175824,6.666667,39.514624,12.495253
7.95,-6.095552,4.224664,6.129426,39.763535,12.115458
8.0,-4.695222,4.273504,5.934066,39.887990,11.735663
8.05,-3.130148,4.322344,6.031746,39.887990,11.279909
8.1,-1.482702,4.371184,6.275946,39.763535,10.748196
8.15,0.164745,4.420024,6.568987,39.763535,10.292442
8.2,1.812191,4.468864,6.910867,39.763535,9.760729
8.25,3.212521,4.517705,7.399267,39.639079,9.304975
8.3,4.530478,4.566545,7.936508,39.514624,8.925180
8.35,5.601318,4.615385,8.522589,39.390168,8.621344
8.4,6.013180,4.664225,9.157509,39.141257,8.469427
8.45,6.836903,4.761905,9.792430,39.016801,8.241550
8.5,7.495881,4.810745,10.476190,38.767890,8.089632
8.55,8.072488,4.859585,11.062271,38.643435,7.861755
8.6,8.566722,4.957265,11.599512,38.518979,7.709837
8.65,9.060956,5.006105,12.136752,38.270068,7.557919
8.7,9.308072,5.103785,12.527473,38.145613,7.481960
8.75,9.555189,5.250305,12.918193,38.021157,7.406001
8.8,9.719934,5.445665,13.162393,37.896702,7.406001
8.85,9.719934,5.641026,13.308913,37.896702,7.406001
8.9,9.719934,5.836386,13.308913,37.772246,7.406001
8.95,9.637562,6.080586,13.064713,37.772246,7.406001
9.0,9.390445,6.324786,12.673993,37.772246,7.481960
9.05,9.143328,6.568987,12.136752,37.772246,7.557919
9.1,8.896211,6.813187,11.501832,37.896702,7.633878
9.15,8.484349,7.057387,10.769231,37.896702,7.709837
9.2,8.072488,7.301587,10.036630,38.021157,7.861755
9.25,7.578254,7.594628,9.304029,38.145613,8.013673
9.3,7.084020,7.838828,8.669109,38.145613,8.165591
9.35,6.507414,8.131868,8.131868,38.270068,8.317509
9.4,5.930807,8.376068,7.692308,38.394524,8.469427
9.45,5.271829,8.669109,7.448107,38.518979,8.697303
9.5,4.612850,8.962149,7.399267,38.643435,8.849221
9.55,3.953871,9.255189,7.448107,38.643435,9.001139
9.6,3.294893,9.548230,8.083028,38.767890,9.229016
9.65,2.635914,9.841270,8.913309,38.892346,9.380934
9.7,1.976936,10.134310,9.792430,38.892346,9.532852
9.75,1.317957,10.427350,10.769231,39.016801,9.608811
9.8,0.741351,10.769231,11.746032,39.141257,9.760729
9.85,0.164745,11.111111,12.722833,39.265713,9.836688
9.9,-0.329489,11.501832,13.699634,39.390168,9.912647
9.95,-0.823723,12.039072,14.676435,39.514624,9.988606
10.0,-1.647446,12.918193,15.555556,39.887990,10.064565
