timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.788003,-13.104757,0.112499,-10.477041,-0.203357
0.05,1.260917,-11.893761,0.021427,-13.471443,-0.327659
0.1,1.752122,-10.655469,0.010729,-17.630702,-0.460316
0.15,2.234442,-9.457534,0.0092,-22.050841,-0.596061
0.2,2.644132,-8.465222,0.129563,-25.428972,-0.72017
0.25,2.979283,-7.685658,0.435833,-27.871222,-0.834047
0.3,3.252086,-7.089018,0.863829,-29.815948,-0.942555
0.35,3.469281,-6.655826,1.421537,-31.227973,-1.048259
0.4,3.638314,-6.361888,2.119537,-32.360555,-1.152971
0.45,3.77363,-6.15686,2.911296,-33.495548,-1.257588
0.5,3.886468,-5.996945,3.755376,-34.853052,-1.362008
0.55,3.985879,-5.848076,4.622252,-36.647646,-1.466093
0.6,4.079711,-5.67945,5.475514,-38.797165,-1.569134
0.65,4.17193,-5.46669,6.244001,-41.253882,-1.667966
0.7,4.265232,-5.187302,6.868141,-43.94235,-1.759178
0.75,4.361124,-4.819925,7.369481,-46.641828,-1.840823
0.8,4.460876,-4.341858,7.658573,-49.194646,-1.911739
0.85,4.565484,-3.727084,7.632671,-51.785238,-1.971873
0.9,4.673962,-2.960766,7.451347,-54.475482,-2.019269
0.95,4.784023,-2.040164,6.934379,-57.181347,-2.053837
1.0,4.889702,-0.998136,6.167395,-59.815634,-2.073958
1.05,4.983489,0.122484,5.182895,-63.124697,-2.072477
1.1,5.062271,1.274697,4.02633,-66.17159,-2.064453
1.15,5.124159,2.410466,2.762859,-67.508866,-2.044514
1.2,5.166709,3.476766,1.460107,-66.83418,-2.009845
1.25,5.187526,4.404455,0.195863,-65.440958,-1.966462
1.3,5.192629,5.134882,-0.948451,-63.564179,-1.917314
1.35,5.175079,5.61382,-1.949014,-61.27694,-1.864538
1.4,5.13795,5.787087,-2.718308,-58.827791,-1.81285
1.45,5.082084,5.596382,-2.928922,-56.502515,-1.767757
1.5,5.008416,5.040843,-3.006517,-54.415632,-1.732581
1.55,4.91963,4.145322,-3.017602,-52.636283,-1.710051
1.6,4.817757,2.938743,-2.345285,-51.456357,-1.702415
1.65,4.703817,1.46971,-1.210129,-51.151273,-1.710735
