timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,1.317957,16.239316,10.622711,8.013673,23.957685
0.0333,3.130148,18.388278,10.622711,8.241550,24.331052
0.0667,4.859967,18.827839,10.622711,8.545385,24.704418
0.1,6.589786,18.974359,9.597070,8.773262,24.953329
0.1333,8.319605,18.974359,9.597070,9.001139,25.202240
0.1667,8.319605,16.923077,9.597070,9.229016,25.202240
0.2,8.319605,16.923077,9.597070,9.380934,25.202240
0.2333,8.319605,16.923077,9.597070,9.608811,24.953329
0.2667,8.319605,16.923077,9.597070,9.760729,24.704418
0.3,8.319605,16.923077,9.597070,9.836688,24.331052
0.3333,8.319605,16.923077,9.597070,9.988606,23.957685
0.3667,8.319605,16.923077,9.597070,10.064565,23.459863
0.4,8.319605,16.923077,9.597070,10.140524,23.086497
0.4333,8.319605,16.923077,9.597070,10.140524,22.837586
0.4667,8.319605,16.923077,9.597070,10.140524,22.588675
0.5,8.319605,16.923077,9.597070,10.140524,22.588675
0.5333,8.319605,16.923077,9.597070,10.064565,22.588675
0.5667,8.319605,16.923077,9.597070,9.988606,22.837586
0.6,8.319605,16.923077,9.597070,9.912647,23.086497
0.6333,8.319605,16.923077,9.597070,9.760729,23.459863
0.6667,1.317957,16.239316,10.622711,9.608811,23.957685
0.7,3.130148,18.388278,10.622711,9.456893,24.331052
0.7333,4.859967,18.827839,10.622711,9.304975,24.704418
0.7667,6.589786,18.974359,9.597070,9.077098,24.953329
0.8,8.319605,16.923077,9.597070,8.849221,25.202240
0.8333,8.319605,16.923077,9.597070,8.621344,25.202240
0.8667,8.319605,16.923077,9.597070,8.317509,25.202240
0.9,8.319605,16.923077,9.597070,8.089632,24.953329
0.9333,8.319605,16.923077,9.597070,7.785796,24.704418
0.9667,8.319605,16.923077,9.597070,7.481960,24.331052
1.0,8.319605,16.923077,9.597070,7.178124,23.957685
1.0333,8.319605,16.923077,9.597070,6.874288,23.459863
1.0667,8.319605,16.923077,9.597070,6.494493,23.086497
1.1,8.319605,16.923077,9.597070,6.190657,22.837586
1.1333,8.319605,16.923077,9.597070,5.886821,22.588675
1.1667,8.319605,16.923077,9.597070,5.507026,22.588675
1.2,8.319605,16.923077,9.597070,5.203190,22.588675
1.2333,8.319605,16.923077,9.597070,4.899354,22.837586
1.2667,8.319605,16.923077,9.597070,4.595518,23.086497
1.3,8.319605,16.923077,9.597070,4.291682,23.459863
1.3333,8.319605,16.923077,9.597070,3.987847,23.957685
1.3667,-0.411862,18.388278,10.622711,3.684011,24.331052
1.4,-2.141680,18.827839,10.622711,3.456134,24.704418
1.4333,-3.871499,18.974359,10.622711,3.228257,24.953329
1.4667,-5.683690,16.923077,9.597070,3.000380,25.202240
1.5,-5.683690,16.923077,9.597070,2.772503,25.202240
1.5333,-5.683690,16.923077,9.597070,2.544626,25.202240
1.5667,-5.683690,16.923077,9.597070,2.392708,24.953329
1.6,-5.683690,16.923077,9.597070,2.240790,24.704418
1.6333,-5.683690,16.923077,9.597070,2.088872,24.331052
1.6667,-5.683690,16.923077,9.597070,2.012913,23.957685
1.7,-5.683690,16.923077,9.597070,1.936954,23.459863
1.7333,-5.683690,16.923077,9.597070,1.860995,23.086497
1.7667,-5.683690,16.923077,9.597070,1.860995,22.837586
1.8,-5.683690,16.923077,9.597070,1.860995,22.588675
1.8333,-5.683690,16.923077,9.597070,1.860995,22.588675
1.8667,-5.683690,16.923077,9.597070,1.936954,22.588675
1.9,-5.683690,16.923077,9.597070,1.936954,22.837586
1.9333,-5.683690,16.923077,9.597070,2.088872,23.086497
1.9667,-5.683690,16.923077,9.597070,2.164831,23.459863
2.0,1.317957,16.239316,10.622711,2.316749,23.957685
2.0333,-0.411862,18.388278,10.622711,2.468667,24.331052
2.0667,-2.141680,18.827839,10.622711,2.696544,24.704418
2.1,-3.871499,18.974359,9.597070,2.924421,24.953329
2.1333,-5.683690,18.974359,9.597070,3.152298,25.202240
2.1667,-5.683690,16.923077,9.597070,3.380175,25.202240
