timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.4,38.748342,21.581426,-26.3,8.726262
0.05,-2.265163,39.663207,20.852075,-28.962221,8.715926
0.1,-1.997615,39.949021,20.571822,-30.625124,8.689923
0.15,-1.572407,40.413607,19.996499,-31.604605,8.61129
0.2,-0.950344,40.853589,19.224156,-32.457072,8.452321
0.25,-0.298551,41.292539,18.34083,-33.166621,8.273146
0.3,0.331398,41.745406,17.350367,-33.731191,8.062086
0.35,1.556439,41.965668,15.939869,-34.517637,7.432377
0.4,3.868339,41.617758,14.63704,-35.600318,6.256495
0.45,6.465845,41.065948,14.824804,-36.054088,5.328287
0.5,8.151451,40.203603,15.619595,-36.456313,4.112947
0.55,9.169239,39.277046,16.548703,-36.842133,2.708903
0.6,10.158435,38.464497,17.371176,-37.115582,1.400268
0.65,11.77341,37.031815,19.710231,-37.737948,0.089984
0.7,14.053765,34.783528,24.019743,-38.877333,-0.859168
0.75,15.263206,33.728952,26.004304,-39.589322,-0.822497
0.8,15.840121,33.195127,26.902102,-40.966631,-0.565801
0.85,16.554364,32.502589,28.135754,-43.800142,0.809991
0.9,16.962159,32.536609,28.015775,-45.974548,2.933904
0.95,17.267796,32.570629,27.895795,-47.538147,4.758299
1.0,17.759715,32.541096,27.924696,-49.268354,5.710456
1.05,18.048019,32.334364,28.127004,-51.776245,6.388881
1.1,17.603193,31.89823,28.821142,-54.803518,7.308765
1.15,17.041109,31.917338,29.082468,-56.107328,7.781865
1.2,16.237916,32.051096,29.119801,-56.293584,7.947964
1.25,15.10068,32.358196,28.941544,-56.188098,8.076627
1.3,14.652764,32.497748,28.833876,-56.072538,8.05978
1.35,14.423058,32.609613,28.748671,-55.659196,8.018219
1.4,13.467491,33.012104,28.441003,-54.492058,7.96541
1.45,10.907651,34.172568,27.502592,-51.213334,7.677141
1.5,8.435009,35.457861,26.15054,-46.471712,6.640262
1.55,7.259201,36.235581,25.276566,-43.934772,6.081765
1.6,5.635861,36.896942,24.086277,-40.658053,5.213243
1.65,2.519799,37.797889,21.962132,-34.47272,3.91233
1.7,1.032847,38.438131,20.326113,-31.398367,3.926147
1.75,0.510428,38.747636,19.066938,-30.585813,4.022866
1.8,-0.999541,38.828186,17.528485,-28.808307,4.285391
1.85,-4.525161,38.014991,15.649213,-24.522557,5.092246
1.9,-7.723478,37.659599,14.960722,-22.242753,5.514731
1.95,-9.260892,37.581728,14.744147,-22.246949,5.801512
2.0,-10.663807,37.410176,14.677767,-22.276322,6.381428
2.05,-13.255776,37.183541,14.848297,-24.581612,7.523849
2.1,-15.379884,38.494871,15.639838,-28.737235,9.011441
2.15,-16.263001,38.619781,16.793944,-30.496524,9.753292
2.2,-16.522639,38.665801,18.159721,-31.265822,9.979073
2.25,-17.032453,38.672375,19.66741,-33.993224,10.325893
2.3,-18.148632,38.593511,20.98161,-39.483491,11.083165
2.35,-18.661195,38.556662,21.278697,-42.339217,11.467247
2.4,-18.857529,38.456441,21.766834,-44.504491,11.617645
2.45,-19.238619,37.493889,23.51398,-48.659087,11.915984
2.5,-19.360813,36.968998,24.291145,-51.801307,12.261548
2.55,-19.357758,36.793172,24.556742,-53.020829,12.312034
2.6,-19.336371,36.583724,24.859695,-53.309507,12.317891
2.65,-19.278328,36.110785,25.494734,-53.895701,12.361966
2.7,-19.033729,35.354383,26.496131,-54.912952,12.442677
2.75,-18.847886,34.892222,27.158659,-54.898729,12.410175
2.8,-18.629414,34.544294,27.726006,-54.799179,12.28527
