timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-1.647446,12.918193,15.555556,39.887990,10.064565
0.05,-1.647446,12.918193,15.506716,39.141257,10.064565
0.1,-1.647446,12.918193,15.457875,38.518979,10.140524
0.15,-1.647446,12.918193,15.360195,37.772246,10.140524
0.2,-1.647446,12.918193,15.164835,37.149969,10.140524
0.25,-1.647446,12.918193,14.969475,36.527691,10.064565
0.3,-1.647446,12.918193,14.774115,36.029869,9.912647
0.35,-1.647446,12.918193,14.529915,35.407592,9.608811
0.4,-1.647446,12.918193,14.236874,34.909770,9.229016
0.45,-1.647446,13.015873,13.943834,34.536403,8.621344
0.5,-1.647446,13.357753,13.601954,34.038581,7.861755
0.55,-1.647446,13.894994,13.260073,33.665215,6.950247
0.6,-1.647446,14.529915,12.918193,33.416304,5.734903
0.65,-1.647446,15.311355,12.576313,33.167393,4.291682
0.7,-1.647446,16.190476,12.234432,32.918482,2.620585
0.75,-1.647446,17.118437,11.892552,32.794026,0.645651
0.8,-1.647446,18.046398,11.550672,32.794026,-1.481200
0.85,-1.647446,18.974359,11.208791,32.918482,-3.684011
0.9,-1.647446,19.804640,10.915751,33.416304,-6.038739
0.95,-1.647446,20.586081,10.573871,34.287492,-8.317509
1.0,-1.647446,21.269841,10.329670,35.407592,-10.596278
1.05,-1.647446,21.807082,10.036630,37.025513,-12.799088
1.1,-1.647446,22.100122,9.841270,38.892346,-14.849981
1.15,-1.647446,22.246642,9.645910,41.132545,-16.672997
1.2,-1.647446,22.148962,9.499389,43.621655,-18.192176
1.25,-1.647446,21.904762,9.352869,46.359676,-19.483479
1.3,-1.647446,21.562882,9.304029,48.848787,-20.319028
1.35,-1.647446,21.074481,9.255189,50.840075,-20.774782
1.4,-1.647446,20.488400,9.401709,51.462352,-20.698823
1.45,-1.647446,19.853480,9.743590,50.840075,-20.091151
1.5,-1.647446,19.169719,10.329670,49.471064,-18.875807
1.55,-1.647446,18.437118,11.013431,47.479776,-17.052791
1.6,-1.647446,17.704518,11.794872,45.239577,-14.470186
1.65,-1.647446,16.971917,12.625153,42.750467,-11.279909
1.7,-1.647446,16.288156,13.455433,40.136901,-7.557919
1.75,-1.647446,15.653236,14.285714,37.647791,-3.380175
1.8,-1.647446,15.067155,14.969475,35.283136,1.025446
1.85,-1.647446,14.578755,15.506716,33.167393,5.582985
1.9,-1.647446,14.188034,15.897436,31.425016,10.292442
1.95,-1.647446,13.992674,15.995116,30.180460,14.925940
2.0,-1.647446,13.894994,15.702076,29.807094,19.483479
2.05,-1.647446,14.139194,14.920635,30.056005,23.737182
2.1,-1.647446,14.822955,13.748474,30.802738,27.763008
2.15,-1.647446,15.799756,12.380952,32.047293,31.257121
2.2,-1.647446,16.971917,10.915751,33.665215,34.295480
2.25,-1.647446,18.192918,9.548230,35.532047,36.726168
2.3,-1.647446,19.365079,8.376068,37.647791,38.397265
2.35,-1.647446,20.341880,7.594628,39.763535,39.004937
2.4,-1.647446,21.025641,7.252747,41.879278,38.549183
2.45,-1.647446,21.269841,7.496947,43.995022,37.105963
2.5,-1.647446,20.927961,8.083028,45.861854,34.979111
2.55,-1.647446,20.000000,8.913309,47.355320,32.244588
2.6,-1.647446,18.681319,9.938950,48.475420,29.054311
2.65,-1.647446,17.167277,11.013431,48.973242,25.712115
2.7,-1.647446,15.653236,12.039072,48.724331,22.293961
2.75,-1.647446,14.334554,12.869353,48.226509,19.027725
2.8,-1.647446,13.406593,13.455433,47.230865,16.065325
2.85,-1.647446,13.015873,13.699634,45.986310,13.558678
2.9,-1.647446,13.015873,13.650794,44.243933,11.735663
2.95,-1.647446,13.015873,13.553114,42.003734,10.596278
3.0,-1.647446,12.967033,13.455433,39.390168,9.684770
3.05,-1.647446,12.967033,13.260073,36.403236,9.153057
3.1,-1.647446,12.967033,13.064713,33.167393,8.849221
3.15,-1.647446,12.967033,12.820513,29.931549,8.697303
3.2,-1.647446,12.967033,12.527473,27.317984,8.621344
3.25,-1.647446,12.967033,12.234432,26.197884,8.621344
3.3,-1.647446,12.967033,11.892552,26.695706,8.621344
3.35,-1.647446,12.967033,11.550672,27.815806,8.545385
3.4,-1.647446,12.967033,11.208791,29.184816,8.317509
3.45,-1.647446,13.064713,10.818071,30.927194,7.861755
3.5,-1.647446,13.357753,10.476190,32.794026,7.178124
