timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-3.236302,24.031469,17.441978,-25.761801,8.666522
0.05,-3.098637,22.386146,14.967725,-25.27009,8.655232
0.1,-3.008271,22.017164,14.378151,-25.073939,8.644662
0.15,-2.891951,21.61939,13.882784,-24.944298,8.613014
0.2,-2.517225,21.140704,12.39295,-24.450313,8.522272
0.25,-0.497524,20.588916,9.656499,-22.653816,7.810491
0.3,1.177146,20.274107,7.769316,-21.202742,7.178071
0.35,3.106222,20.329897,6.634552,-19.529198,6.380675
0.4,4.6046,20.478222,6.675402,-18.208229,5.765678
0.45,5.791022,20.821049,6.961348,-17.17951,5.17548
0.5,7.204388,21.497637,7.737484,-16.047118,4.231125
0.55,9.231059,22.587812,9.918763,-14.660639,2.752137
0.6,11.483999,23.84778,12.926861,-13.905404,1.330895
0.65,13.070544,24.797427,15.362311,-13.983921,0.51753
0.7,14.134097,25.537208,17.487105,-14.48011,0.215242
0.75,15.117878,26.334191,19.964749,-15.784927,0.170762
0.8,16.267529,27.288928,22.998861,-18.060427,0.523872
0.85,17.169604,27.978763,25.32262,-20.516363,1.401242
0.9,17.740706,28.38294,26.73124,-22.281953,2.371803
0.95,18.038909,28.611454,27.570907,-23.630099,3.39124
1.0,18.124836,28.771274,28.233269,-25.128793,4.531523
1.05,18.020988,28.940645,28.970315,-27.145983,5.747333
1.1,17.576165,29.047276,29.548305,-29.214553,6.67239
1.15,16.790588,28.995574,29.814197,-30.309456,7.331783
1.2,16.143192,28.898525,29.78376,-30.307388,7.673875
1.25,15.542905,28.723329,29.596882,-30.292911,7.799909
1.3,14.715457,28.402933,29.11021,-30.253615,7.817914
1.35,13.445595,27.8764,28.173492,-29.113406,7.707218
1.4,11.909309,27.196579,26.818326,-27.40725,7.453745
1.45,10.70777,26.6619,25.629203,-25.966703,7.171307
1.5,9.580234,26.188952,24.288032,-24.436136,6.809328
1.55,8.011703,25.576535,22.198714,-22.261269,6.273295
1.6,5.728405,24.769097,19.102757,-19.202648,5.533294
1.65,3.108542,24.10559,15.689463,-16.05242,4.911504
1.7,0.039607,23.593273,11.980593,-13.19578,4.803348
1.75,-2.295463,23.469305,9.457056,-11.281259,4.858369
1.8,-4.076974,23.423633,7.965483,-10.085698,5.026847
1.85,-5.955985,23.417109,6.792562,-9.120747,5.313905
1.9,-8.323443,23.514415,5.533473,-8.199182,5.747419
1.95,-10.57111,23.591625,4.939144,-7.96864,6.342197
2.0,-12.178929,23.587866,4.986537,-8.105428,6.833366
2.05,-13.40096,23.561556,5.286075,-8.644053,7.307533
2.1,-14.674477,23.490141,6.073787,-9.776912,7.96519
2.15,-16.219467,23.203892,7.668429,-11.638408,8.893648
2.2,-17.501849,23.06042,10.153047,-13.915387,9.761898
2.25,-18.295807,23.063827,11.984032,-15.720682,10.337056
2.3,-18.751749,23.087678,13.278907,-17.337362,10.715359
2.35,-19.085355,23.152414,14.712119,-19.394962,11.066722
2.4,-19.423888,23.39871,16.717773,-22.172251,11.477229
2.45,-19.616793,23.837351,18.83719,-24.816434,11.786296
2.5,-19.689248,24.285988,20.654958,-27.057416,12.046507
2.55,-19.674356,24.64486,21.969627,-28.482705,12.201097
