timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_roll.pos,wrist_pitch.pos
0.0,-3.871499,10.818071,15.360195,10.824155,29.807094
0.05,-4.036244,10.769231,15.555556,10.748196,29.682638
0.1,-4.448105,10.622711,15.946276,10.672237,29.433727
0.15,-4.777595,10.525031,16.336996,10.520319,29.184816
0.2,-5.189456,10.378510,16.776557,10.444360,28.935905
0.25,-5.601318,10.231990,17.264957,10.292442,28.562539
0.3,-6.177924,10.036630,17.851038,10.064565,28.189172
0.35,-6.919275,9.890110,18.485958,9.836688,27.691350
0.4,-7.660626,9.743590,19.120879,9.608811,27.317984
0.45,-8.649094,9.645910,19.755800,9.304975,26.944617
0.5,-9.719934,9.548230,20.293040,8.925180,26.571251
0.55,-10.873147,9.450549,20.830281,8.545385,26.197884
0.6,-12.191104,9.450549,21.221001,8.165591,25.948973
0.65,-13.509061,9.450549,21.514042,7.785796,25.824518
0.7,-14.827018,9.499389,21.758242,7.330042,25.700062
0.75,-16.144975,9.548230,21.807082,6.950247,25.700062
0.8,-17.380560,9.597070,21.758242,6.570452,25.700062
0.85,-18.533773,9.694750,21.660562,6.266616,25.824518
0.9,-19.522241,9.792430,21.514042,5.962780,25.948973
0.95,-20.428336,9.841270,21.221001,5.734903,26.073429
1.0,-21.087315,9.938950,20.927961,5.507026,26.197884
1.05,-21.663921,10.036630,20.634921,5.355108,26.446795
1.1,-22.158155,10.085470,20.293040,5.203190,26.695706
1.15,-22.322900,10.183150,20.048840,5.127231,26.820162
1.2,-22.322900,10.183150,19.804640,5.127231,26.944617
1.25,-22.322900,10.231990,19.658120,5.127231,27.069073
1.3,-22.240527,10.231990,19.609280,5.203190,27.069073
1.35,-22.075783,10.183150,19.658120,5.203190,27.069073
1.4,-21.663921,10.134310,19.902320,5.355108,26.944617
1.45,-21.087315,10.036630,20.293040,5.507026,26.695706
1.5,-20.428336,9.938950,20.781441,5.734903,26.322340
1.55,-19.686985,9.792430,21.367521,5.962780,25.948973
1.6,-18.698517,9.694750,22.051282,6.190657,25.575607
1.65,-17.545305,9.597070,22.686203,6.570452,25.202240
1.7,-16.227348,9.499389,23.321123,6.950247,24.828874
