timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.05,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.1,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.15,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.2,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.25,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.3,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.35,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.4,-2.458727,29.793297,27.082739,-26.330574,8.252494
0.45,-2.458727,29.793297,27.089971,-26.330574,8.252494
0.5,-2.458727,29.793297,27.111902,-26.330574,8.252494
0.55,-2.46515,29.791492,27.110875,-26.335804,8.258104
0.6,-2.474098,29.788978,27.109847,-26.343089,8.265919
0.65,-2.482136,30.392731,28.725902,-28.278772,8.257904
0.7,-2.4902,31.114814,30.409467,-30.326222,8.249557
0.75,-2.499241,32.07396,32.384136,-32.760062,8.239943
0.8,-2.515196,34.267034,36.231743,-37.581949,8.22181
0.85,-2.518893,34.898563,37.266803,-38.882465,8.216891
0.9,-2.520475,35.227098,37.763623,-39.513549,8.214554
0.95,-2.521357,35.551697,38.125193,-40.003515,8.213051
1.0,-2.521278,35.755283,38.232355,-40.188833,8.212877
1.05,-2.521181,35.833774,38.262176,-40.248518,8.212884
1.1,-2.521078,35.931692,38.298607,-40.322191,8.212899
1.15,-2.520975,36.009407,38.325061,-40.378143,8.212924
1.2,-2.52107,35.999309,38.32376,-40.373045,8.212856
1.25,-2.521165,35.928626,38.314645,-40.337342,8.212787
1.3,-2.514834,34.358791,36.217171,-37.601996,8.222097
1.35,-2.506476,32.819188,33.968018,-34.693663,8.232223
1.4,-2.495182,31.044244,31.220957,-31.148804,8.244913
1.45,-2.481764,29.244271,28.189421,-27.261037,8.25942
1.5,-2.467052,27.570984,25.047947,-23.294195,8.274808
1.55,-2.451884,26.145899,21.957793,-19.486345,8.2901
1.6,-2.437107,25.028347,19.065999,-16.00233,8.304334
1.65,-2.412976,23.626217,14.501813,-10.648236,8.326225
1.7,-2.406268,23.077526,13.165934,-9.083514,8.332536
1.75,-2.403983,22.489936,12.597113,-8.164502,8.334806
1.8,-2.406288,21.094403,12.487495,-7.359938,8.334076
1.85,-2.407539,20.414922,12.452851,-7.000698,8.33356
1.9,-2.408621,19.798752,12.412279,-6.631661,8.332983
1.95,-2.410538,18.843701,12.388585,-6.122574,8.331833
2.0,-2.41072,18.623341,12.390568,-6.028082,8.331716
2.05,-2.410867,18.526341,12.398014,-5.99124,8.331606
2.1,-2.411563,18.471106,12.426828,-5.972309,8.331103
2.15,-2.421727,19.960337,14.711628,-9.12021,8.321715
2.2,-2.431836,21.618641,17.017526,-12.342163,8.311902
2.25,-2.443568,23.64434,19.680534,-16.047922,8.300008
2.3,-2.46485,27.782671,24.75685,-23.072053,8.276573
2.35,-2.471593,29.228147,26.458846,-25.435445,8.268828
2.4,-2.474098,29.788978,27.109847,-26.343089,8.265919
2.45,-2.458727,29.793297,27.111902,-26.330574,8.252494
2.5,-2.453658,29.794721,27.099813,-26.326447,8.248067
2.55,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.6,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.65,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.7,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.75,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.8,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.85,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.9,-2.458727,29.793297,27.089971,-26.330574,8.252494
2.95,-2.458727,29.793297,27.089971,-26.330574,8.252494
