timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-1.647446,12.918193,15.653236,39.141257,10.216483
0.05,4.777595,14.432234,16.092796,37.274424,10.824155
0.1,7.907743,14.920635,16.434676,34.287492,11.735663
0.15,11.285008,15.409035,16.630037,30.429371,12.875047
0.2,14.579901,15.799756,16.581197,25.948973,14.318268
0.25,17.874794,16.141636,16.385836,21.095208,15.989366
0.3,20.922570,16.434676,15.946276,16.116988,17.736422
0.35,23.805601,16.678877,15.409035,11.138768,19.635397
0.4,26.523888,16.874237,14.725275,6.409459,21.610330
0.45,28.995058,17.020757,13.943834,2.053516,23.585264
0.5,31.219110,17.118437,13.113553,-1.555694,25.560197
0.55,33.113674,17.216117,12.283272,-4.293715,27.459172
0.6,34.761120,17.264957,11.501832,-6.160548,29.206229
0.65,35.996705,17.313797,10.769231,-6.782825,30.877326
0.7,36.985173,17.362637,10.134310,-6.533914,32.320547
0.75,37.479407,17.362637,9.694750,-5.787181,33.459932
0.8,37.644152,17.362637,9.352869,-4.667082,34.371439
0.85,37.314662,17.411477,9.255189,-2.924704,34.979111
0.9,36.573311,17.411477,9.352869,-0.684505,35.206988
0.95,35.337727,17.411477,9.645910,1.929060,34.827193
1.0,33.525535,17.460317,10.134310,4.915993,33.687809
1.05,31.054366,17.460317,10.818071,8.276291,32.016711
1.1,28.088962,17.460317,11.599512,11.885501,29.737942
1.15,24.382208,17.509158,12.478632,15.619166,27.079377
1.2,20.181219,17.557998,13.308913,19.352831,24.041018
1.25,15.321252,17.557998,14.041514,22.837586,20.698823
1.3,9.884679,17.606838,14.676435,26.197884,17.204709
1.35,3.953871,17.655678,15.018315,29.309272,13.482719
1.4,-2.388797,17.704518,15.115995,31.922838,9.760729
1.45,-7.001647,17.753358,14.920635,34.163037,6.038739
1.5,-16.639209,17.802198,14.481074,35.905414,2.392708
1.55,-24.794069,17.851038,13.846154,37.149969,-1.101405
1.6,-30.971993,17.851038,13.015873,38.021157,-4.367641
1.65,-35.172982,17.899878,12.136752,38.270068,-7.330042
1.7,-37.726524,17.948718,11.257631,38.021157,-9.912647
1.75,-38.962109,17.948718,10.476190,37.149969,-12.039499
1.8,-39.538715,17.997558,9.841270,35.656503,-13.634637
1.85,-39.621087,17.997558,9.450549,33.789670,-14.622104
1.9,-39.621087,17.997558,9.352869,31.549471,-15.001899
1.95,-39.621087,17.997558,9.499389,28.935905,-14.622104
2.0,-39.538715,17.997558,9.938950,26.073429,-13.634637
2.05,-38.962109,17.948718,10.671551,23.086497,-12.039499
2.1,-37.726524,17.948718,11.648352,19.975109,-9.912647
2.15,-35.172982,17.899878,12.820513,16.863721,-7.330042
2.2,-30.971993,17.851038,14.090354,13.876789,-4.367641
2.25,-24.794069,17.851038,16.727717,10.889857,-1.101405
2.3,-16.639209,17.802198,18.339438,8.027380,2.392708
2.35,-7.001647,17.753358,19.462759,5.538270,6.038739
2.4,3.459638,17.704518,19.902320,3.298071,9.760729
2.45,13.673806,17.655678,19.511600,1.555694,13.482719
2.5,22.817133,17.606838,18.437118,0.186683,17.204709
2.55,30.148270,17.557998,16.874237,-0.560050,20.698823
2.6,35.502471,17.557998,15.115995,-0.560050,24.041018
2.65,38.962109,17.509158,13.308913,0.062228,27.079377
2.7,41.021417,17.460317,11.648352,1.306783,29.737942
2.75,42.009885,17.460317,10.280830,2.924704,32.016711
2.8,42.339374,17.460317,9.206349,4.915993,33.687809
2.85,42.339374,17.411477,8.571429,7.280647,34.827193
2.9,42.339374,17.411477,8.327228,9.894213,35.206988
2.95,42.339374,17.411477,8.571429,12.756689,34.827193
3.0,42.339374,17.362637,9.206349,15.743622,33.687809
3.05,42.009885,17.362637,10.280830,18.855009,32.016711
3.1,41.021417,17.411477,11.648352,22.090853,29.737942
3.15,38.962109,17.411477,13.308913,25.326696,27.079377
3.2,35.502471,17.411477,15.115995,28.562539,24.041018
3.25,30.148270,17.411477,16.874237,31.673927,20.698823
3.3,22.817133,17.411477,18.437118,34.536403,17.204709
3.35,13.673806,17.460317,19.511600,37.149969,13.482719
3.4,3.459638,17.557998,19.902320,39.390168,9.760729
3.45,-7.001647,17.655678,19.462759,41.008090,6.038739
3.5,-16.639209,17.802198,18.339438,41.505912,2.392708
3.55,-24.794069,17.899878,16.727717,41.132545,-1.101405
3.6,-30.971993,18.046398,14.822955,40.385812,-4.367641
3.65,-35.172982,18.144078,12.869353,39.016801,-7.330042
3.7,-37.726524,18.192918,11.062271,37.274424,-9.912647
3.75,-38.962109,18.192918,9.597070,34.909770,-12.039499
3.8,-39.538715,18.192918,8.473748,32.296204,-13.634637
3.85,-39.621087,18.192918,7.741148,29.184816,-14.622104
3.9,-39.621087,18.192918,7.496947,25.700062,-15.001899
3.95,-39.621087,18.192918,7.741148,22.090853,-14.622104
4.0,-39.538715,18.192918,8.473748,18.108276,-13.634637
4.05,-38.962109,18.192918,9.597070,14.125700,-12.039499
4.1,-37.726524,18.192918,11.062271,10.267579,-9.912647
4.15,-35.172982,18.144078,12.869353,6.533914,-7.330042
4.2,-30.971993,18.046398,14.822955,3.173615,-4.367641
4.25,-24.794069,17.899878,16.727717,0.311139,-1.101405
4.3,-16.639209,17.802198,18.339438,-1.804605,2.392708
4.35,-7.001647,17.655678,19.462759,-3.049160,6.038739
4.4,3.459638,17.557998,19.902320,-3.422526,9.760729
4.45,13.673806,17.460317,19.511600,-2.800249,13.482719
4.5,22.817133,17.411477,18.437118,-1.306783,17.204709
4.55,30.148270,17.411477,16.874237,0.684505,20.698823
4.6,35.502471,17.411477,15.115995,3.049160,24.041018
4.65,38.962109,17.411477,13.308913,5.538270,27.079377
4.7,41.021417,17.411477,11.648352,8.276291,29.737942
4.75,42.009885,17.362637,10.280830,11.014312,32.016711
4.8,42.339374,17.362637,9.206349,13.876789,33.687809
4.85,42.339374,17.362637,8.571429,16.863721,34.827193
4.9,42.339374,17.362637,8.327228,19.850653,35.206988
4.95,42.339374,17.362637,8.571429,22.713130,34.827193
5.0,42.339374,17.362637,9.206349,25.575607,33.687809
5.05,42.009885,17.362637,10.280830,28.438083,32.016711
5.1,41.021417,17.411477,11.648352,31.176105,29.737942
5.15,38.962109,17.411477,13.308913,33.665215,27.079377
5.2,35.502471,17.411477,15.115995,36.029869,24.041018
5.25,30.148270,17.411477,16.874237,37.896702,20.698823
5.3,22.817133,17.411477,18.437118,39.390168,17.204709
5.35,13.673806,17.460317,19.511600,39.887990,13.482719
5.4,3.459638,17.557998,19.902320,39.265713,9.760729
5.45,-7.001647,17.655678,19.462759,37.647791,6.038739
5.5,-16.639209,17.802198,18.339438,35.283136,2.392708
5.55,-24.794069,17.899878,16.727717,32.420660,-1.101405
5.6,-30.971993,18.046398,14.822955,28.935905,-4.367641
5.65,-35.172982,18.144078,12.869353,25.202240,-7.330042
5.7,-37.726524,18.192918,11.062271,21.468575,-9.912647
5.75,-38.962109,18.192918,9.597070,17.734910,-12.039499
5.8,-39.538715,18.192918,8.473748,14.250156,-13.634637
5.85,-39.621087,18.192918,7.741148,10.889857,-14.622104
5.9,-39.621087,18.192918,7.496947,7.902925,-15.001899
5.95,-39.621087,18.192918,7.741148,5.289359,-14.622104
6.0,-39.538715,18.192918,8.473748,3.049160,-13.634637
6.05,-38.962109,18.192918,9.597070,1.306783,-12.039499
6.1,-37.726524,18.192918,11.062271,-0.186683,-9.912647
6.15,-35.172982,18.144078,12.869353,-1.182327,-7.330042
6.2,-30.971993,18.046398,14.822955,-1.929060,-4.367641
6.25,-24.794069,17.899878,16.727717,-2.177971,-1.101405
6.3,-16.639209,17.802198,18.339438,-2.177971,2.392708
6.35,-7.001647,17.655678,19.462759,-1.804605,6.038739
6.4,3.459638,17.557998,19.902320,-1.057872,9.760729
6.45,13.673806,17.460317,19.511600,-0.062228,13.482719
6.5,22.817133,17.411477,18.437118,1.306783,17.204709
6.55,30.148270,17.411477,16.874237,3.049160,20.698823
6.6,35.502471,17.411477,15.115995,4.791537,24.041018
6.65,38.962109,17.411477,13.308913,6.782825,27.079377
6.7,41.021417,17.411477,11.648352,9.023024,29.737942
6.75,42.009885,17.362637,10.280830,11.263223,32.016711
6.8,42.339374,17.362637,9.206349,13.503423,33.687809
6.85,42.339374,17.362637,8.571429,15.868077,34.827193
6.9,42.339374,17.362637,8.327228,18.232732,35.206988
6.95,42.339374,17.362637,8.571429,20.597386,34.827193
7.0,42.339374,17.362637,9.206349,22.962041,33.687809
7.05,42.009885,17.362637,10.280830,25.202240,32.016711
7.1,41.021417,17.411477,11.648352,27.317984,29.737942
7.15,38.962109,17.411477,13.308913,29.309272,27.079377
7.2,35.502471,17.509158,15.115995,31.051649,24.041018
7.25,30.148270,17.557998,16.874237,32.669571,20.698823
7.3,22.817133,17.606838,18.437118,33.789670,17.204709
7.35,13.673806,17.655678,19.511600,34.660859,13.558678
7.4,3.459638,17.704518,19.902320,35.034225,9.836688
7.45,-7.001647,17.753358,19.462759,34.909770,6.114698
7.5,-16.639209,17.753358,18.339438,34.287492,2.468667
7.55,-24.794069,17.802198,16.727717,33.291848,-1.025446
7.6,-30.971993,17.851038,14.822955,31.798382,-4.291682
7.65,-35.172982,17.899878,12.869353,29.931549,-7.254083
7.7,-37.726524,17.948718,11.062271,27.691350,-9.836688
7.75,-38.962109,17.948718,9.597070,25.077785,-12.039499
7.8,-39.538715,17.997558,8.473748,21.966397,-13.634637
7.85,-39.621087,17.997558,7.741148,18.606098,-14.622104
7.9,-39.621087,17.997558,7.496947,14.996889,-15.001899
7.95,-39.621087,17.997558,7.741148,11.263223,-14.622104
8.0,-39.538715,17.997558,8.473748,7.280647,-13.558678
8.05,-38.962109,17.948718,9.597070,3.422526,-11.887581
8.1,-37.726524,17.948718,11.062271,-0.311139,-9.684770
8.15,-35.172982,17.899878,12.869353,-3.546982,-7.026206
8.2,-30.971993,17.851038,14.822955,-6.285003,-3.987847
8.25,-24.794069,17.851038,16.727717,-8.276291,-0.721610
8.3,-16.639209,17.802198,18.339438,-9.023024,2.696544
8.35,-7.001647,17.753358,19.462759,-8.400747,6.266616
8.4,-2.388797,17.704518,19.902320,-6.160548,9.912647
8.45,4.036244,17.655678,19.511600,-2.675793,13.558678
8.5,9.884679,17.606838,18.437118,1.929060,17.204709
8.55,15.321252,17.557998,16.874237,7.031736,20.698823
8.6,20.181219,17.557998,14.334554,12.258867,24.041018
8.65,24.464580,17.509158,13.113553,17.237088,27.079377
8.7,28.088962,17.460317,11.990232,21.841942,29.737942
8.75,31.136738,17.460317,11.013431,25.824518,32.016711
8.8,33.607908,17.460317,10.231990,29.309272,33.687809
8.85,35.420099,17.411477,9.645910,32.171749,34.827193
8.9,36.820428,17.411477,9.304029,34.536403,35.206988
8.95,37.644152,17.411477,9.157509,36.154325,34.979111
9.0,37.973641,17.411477,9.255189,37.398880,34.447398
9.05,37.973641,17.362637,9.499389,38.021157,33.611850
9.1,37.561779,17.362637,9.938950,38.270068,32.472465
9.15,36.738056,17.362637,10.525031,38.270068,31.105203
9.2,35.667216,17.362637,11.208791,38.394524,29.586024
9.25,34.266886,17.313797,11.990232,38.394524,27.838967
9.3,32.619440,17.264957,12.820513,38.518979,26.015951
9.35,30.724876,17.216117,13.601954,38.643435,24.116977
9.4,28.583196,17.118437,14.383394,38.767890,22.142043
9.45,26.276771,17.020757,15.164835,38.892346,20.167110
9.5,23.805601,16.874237,15.799756,39.016801,18.268135
9.55,21.252059,16.678877,16.336996,39.141257,16.445120
9.6,18.616145,16.434676,16.776557,39.265713,14.698063
9.65,15.897858,16.141636,17.020757,39.390168,13.178883
9.7,13.261944,15.799756,17.118437,39.514624,11.811622
9.75,10.543657,15.360195,17.020757,39.639079,10.672237
9.8,7.907743,14.920635,16.727717,39.763535,9.836688
9.85,5.354201,14.432234,16.288156,39.763535,9.304975
9.9,3.047776,13.943834,15.750916,39.763535,9.077098
9.95,-1.647446,12.918193,15.555556,39.887990,10.064565
