timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.528948,29.783989,27.1,-26.626266,8.285605
0.05,-2.569122,29.893154,28.921953,-26.919954,8.311269
0.1,-2.586137,30.002318,32.332734,-27.257198,8.320727
0.15,-2.611423,29.957607,33.950633,-27.620331,8.334988
0.2,-2.641925,29.855718,34.668363,-27.953519,8.351899
0.25,-2.668367,29.734843,35.742938,-27.976501,8.365145
0.3,-2.691089,29.592496,37.009812,-28.019985,8.37493
0.35,-2.712254,29.419172,38.089708,-28.065868,8.382689
0.4,-2.731701,29.217994,39.13311,-28.105697,8.388257
0.45,-2.748868,28.994437,40.323884,-28.134145,8.391267
0.5,-2.763929,28.750783,41.449654,-28.147079,8.392135
0.55,-2.777193,28.488247,42.282221,-28.140769,8.390957
0.6,-2.788792,28.206964,42.926342,-28.111449,8.387732
0.65,-2.798829,27.907479,43.530973,-28.054998,8.382877
0.7,-2.80748,27.593041,44.088981,-27.966633,8.376608
0.75,-2.814926,27.264576,44.564935,-27.840532,8.369104
0.8,-2.821302,26.91102,44.966346,-27.669304,8.360592
0.85,-2.826729,26.525921,45.307766,-27.443164,8.351302
0.9,-2.831316,26.13327,45.589003,-27.148532,8.341442
0.95,-2.835169,25.752,45.808949,-26.765439,8.331209
1.0,-2.838371,25.350376,45.977666,-26.262129,8.320783
1.05,-2.840993,24.902876,46.099979,-25.581975,8.310336
1.1,-2.843079,24.459529,46.148598,-24.60233,8.300014
1.15,-2.844673,24.070846,46.144424,-23.525228,8.289955
1.2,-2.845856,23.713716,46.115204,-22.626931,8.280273
1.25,-2.846671,23.357409,46.03088,-21.841465,8.27107
1.3,-2.846982,23.01437,45.890718,-21.138956,8.262432
1.35,-2.84693,22.699549,45.710129,-20.503025,8.254433
1.4,-2.846651,22.394751,45.490336,-19.923708,8.247131
1.45,-2.846004,22.082652,45.230023,-19.394569,8.240578
1.5,-2.845017,21.782551,44.931942,-18.911324,8.234811
1.55,-2.84375,21.5167,44.599583,-18.471112,8.229864
1.6,-2.842213,21.282518,44.235456,-18.072083,8.225765
1.65,-2.840411,21.053277,43.841839,-17.71314,8.222539
1.7,-2.838356,20.730472,43.421113,-17.393793,8.220194
1.75,-2.836064,20.267124,42.975608,-17.114067,8.218747
1.8,-2.833545,19.894131,42.50736,-16.874458,8.21825
1.85,-2.830807,19.779104,42.018214,-16.675896,8.218694
1.9,-2.827858,19.742336,41.509592,-16.519766,8.220069
1.95,-2.824703,19.61395,40.982843,-16.407924,8.222428
2.0,-2.82135,19.42697,40.439509,-16.342748,8.225785
2.05,-2.817801,19.258288,39.880733,-16.327219,8.230146
2.1,-2.814063,19.157333,39.305887,-16.365029,8.235523
2.15,-2.810141,19.131769,38.715262,-16.460742,8.241928
2.2,-2.806043,19.122066,38.114579,-16.620017,8.249364
2.25,-2.801776,19.085781,37.505042,-16.84993,8.257827
2.3,-2.797355,19.043606,36.864362,-17.159436,8.267303
2.35,-2.792793,19.023579,36.184076,-17.560069,8.277771
2.4,-2.788111,19.020034,35.534529,-18.067059,8.289193
2.45,-2.783331,19.120459,34.973977,-18.701094,8.301523
2.5,-2.778481,19.321547,34.433499,-19.49149,8.314695
2.55,-2.773594,19.506937,33.828865,-20.482096,8.328637
2.6,-2.768704,19.695932,33.141775,-21.743822,8.343253
2.65,-2.763851,19.93538,32.353281,-23.405951,8.358441
2.7,-2.759078,20.24665,31.375885,-25.759062,8.374083
2.75,-2.754425,20.635592,30.143452,-28.411771,8.390053
2.8,-2.749938,21.071407,28.743836,-30.831127,8.406215
2.85,-2.74566,21.52395,27.289648,-33.15708,8.422431
2.9,-2.74163,22.00228,25.838535,-35.439113,8.43856
2.95,-2.737887,22.524169,24.43005,-37.703411,8.454462
3.0,-2.734462,23.10306,23.086336,-39.967643,8.470007
3.05,-2.731383,23.739367,21.822215,-42.246318,8.485069
3.1,-2.728669,24.385742,20.640632,-44.553607,8.499541
3.15,-2.726334,24.992648,19.538399,-46.905615,8.513324
3.2,-2.724384,25.54958,18.499649,-49.323309,8.526346
3.25,-2.72282,26.056404,17.505545,-51.837702,8.538545
3.3,-2.721613,26.515445,16.537997,-54.501894,8.549886
3.35,-2.720741,26.927713,15.577308,-57.427972,8.560346
3.4,-2.72024,27.286495,14.596608,-60.982379,8.569947
3.45,-2.720066,27.5845,13.588016,-64.349874,8.578711
3.5,-2.720041,27.819829,12.626781,-66.67445,8.586632
3.55,-2.720236,28.005852,11.782076,-68.43778,8.59375
3.6,-2.720713,28.211617,11.015617,-69.831408,8.600316
3.65,-2.721318,28.488258,10.290681,-70.954595,8.606457
3.7,-2.721907,28.759576,9.684297,-71.86649,8.61157
