timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.458727,29.791063,27.079941,-26.330574,8.252494
0.05,-2.458693,29.822275,27.086246,-26.344174,8.252495
0.1,-2.458604,29.915471,27.116893,-26.40068,8.252467
0.15,-2.458392,30.072235,27.199912,-26.562396,8.252357
0.2,-2.457734,30.292611,27.365475,-26.961715,8.25215
0.25,-2.455885,30.572236,27.631728,-27.824555,8.251877
0.3,-2.451545,30.907818,27.992458,-29.496183,8.251494
0.35,-2.442826,31.319064,28.409434,-32.472906,8.250493
0.4,-2.427604,31.899539,28.818462,-37.443942,8.247
0.45,-2.404976,32.918122,29.179703,-45.348764,8.236004
0.5,-2.381734,34.854993,29.728877,-56.261168,8.209233
0.55,-2.373228,37.107798,30.942131,-64.389192,8.178074
0.6,-2.3716,39.061398,32.35798,-69.543215,8.152286
0.65,-2.371872,40.539602,33.6117,-72.607969,8.133999
0.7,-2.372427,41.555128,34.549658,-74.296439,8.122413
0.75,-2.372876,42.197384,35.159534,-75.138923,8.11579
0.8,-2.373174,42.572303,35.502002,-75.505786,8.112401
0.85,-2.373349,42.773109,35.662362,-75.63766,8.110881
0.9,-2.373435,42.867964,35.720748,-75.674215,8.110303
0.95,-2.37346,42.895889,35.733459,-75.680796,8.11016
1.0,-2.406137,42.871649,35.723526,-75.675789,8.040349
1.05,-2.502884,42.800454,35.694373,-75.661039,7.833817
1.1,-2.662042,42.685196,35.647333,-75.637182,7.494579
1.15,-2.882258,42.529498,35.584127,-75.60497,7.026234
1.2,-3.162454,42.337641,35.506749,-75.56529,6.431989
1.25,-3.501785,42.114531,35.417492,-75.519176,5.71467
1.3,-3.899598,41.865602,35.318826,-75.467721,4.876737
1.35,-4.355398,41.596816,35.213456,-75.412117,3.920274
1.4,-4.868796,41.314551,35.104103,-75.353579,2.84701
1.45,-5.439482,41.025659,34.993645,-75.293418,1.658279
1.5,-6.06716,40.737304,34.884923,-75.232886,0.355049
1.55,-6.751523,40.457078,34.780906,-75.173234,-1.062121
1.6,-7.492192,40.192834,34.684456,-75.115721,-2.59308
1.65,-8.288672,39.952805,34.598528,-75.061499,-4.238124
1.7,-9.140308,39.745365,34.525946,-75.011618,-5.997988
1.75,-10.046233,39.579216,34.469611,-74.966993,-7.873925
1.8,-11.005333,39.463203,34.43234,-74.928379,-9.867729
1.85,-12.016218,39.406411,34.417066,-74.896311,-11.981853
1.9,-13.077191,39.418,34.42663,-74.871039,-14.219447
1.95,-14.186241,39.50729,34.46404,-74.852499,-16.584595
2.0,-15.341059,39.683803,34.532385,-74.840283,-19.082477
2.05,-16.539119,39.957119,34.634882,-74.833402,-21.719654
2.1,-17.818172,40.337863,34.775903,-74.829488,-24.46761
2.15,-19.144767,40.835584,34.956362,-74.832476,-27.362842
2.2,-20.516537,41.460762,35.180069,-74.840628,-30.417087
2.25,-21.949752,42.22455,35.452061,-74.84992,-33.626982
2.3,-23.768797,43.133755,35.787403,-74.84168,-36.652391
2.35,-25.683919,44.191948,36.179868,-74.830075,-39.772773
2.4,-27.656168,45.405363,36.634463,-74.809677,-43.030896
2.45,-29.883996,46.758735,37.167001,-74.749264,-46.146128
2.5,-32.330012,48.234066,37.776346,-74.655697,-49.077174
2.55,-34.768543,49.842108,38.457567,-74.542548,-52.103802
2.6,-37.462291,51.499704,39.226895,-74.356139,-54.660594
2.65,-40.169782,53.217076,40.067333,-74.147418,-57.049767
2.7,-42.953965,54.922377,40.982002,-73.88547,-58.979917
2.75,-45.667503,56.630091,41.958725,-73.608274,-60.679828
2.8,-48.290784,58.314829,42.996927,-73.293085,-62.123566
2.85,-50.799462,59.968754,44.086353,-72.969552,-63.32794
2.9,-53.141902,61.616589,45.224592,-72.641618,-64.467824
2.95,-55.374739,63.19162,46.405233,-72.269407,-65.300861
3.0,-57.439826,64.755365,47.620158,-71.922546,-66.098791
3.05,-59.365659,66.266377,48.862931,-71.551137,-66.749571
3.1,-61.150241,67.747619,50.138821,-71.186217,-67.320514
3.15,-62.793045,69.188017,51.424155,-70.828807,-67.836623
3.2,-64.317188,70.555035,52.709828,-70.453925,-68.200577
3.25,-65.712268,71.898913,54.011425,-70.110507,-68.555016
3.3,-66.99245,73.166159,55.288322,-69.754941,-68.812753
3.35,-68.160365,74.38712,56.557093,-69.423438,-69.032323
3.4,-69.2225,75.535671,57.783774,-69.117793,-69.184397
3.45,-70.182968,76.607642,58.965257,-68.812798,-69.284555
3.5,-71.043961,77.618626,60.107429,-68.530001,-69.368812
3.55,-71.808908,78.542344,61.172962,-68.264737,-69.420128
3.6,-72.484332,79.368851,62.152466,-68.017423,-69.417416
3.65,-73.065902,80.113455,63.043085,-67.802589,-69.427115
3.7,-73.558338,80.772831,63.845496,-67.617426,-69.437305
3.75,-73.965151,81.306501,64.510913,-67.446911,-69.404159
3.8,-74.283165,81.732015,65.046608,-67.310484,-69.375076
3.85,-74.511799,82.044103,65.441598,-67.211464,-69.355063
3.9,-74.650308,82.235823,65.685344,-67.151068,-69.34309
3.95,-74.697033,82.301134,65.768914,-67.130618,-69.338869
4.0,-74.651394,82.268198,65.728729,-67.153595,-69.318617
4.05,-74.515794,82.170168,65.607831,-67.221566,-69.260499
4.1,-74.291955,82.010106,65.40967,-67.332894,-69.168947
4.15,-73.981025,81.792332,65.138901,-67.486109,-69.051113
4.2,-73.585912,81.514525,64.797621,-67.67245,-68.895876
4.25,-73.109499,81.165229,64.374907,-67.8849,-68.68162
4.3,-72.552306,80.775051,63.906315,-68.141575,-68.436724
4.35,-71.911928,80.343714,63.388016,-68.426588,-68.182743
4.4,-71.19861,79.856602,62.812091,-68.760735,-67.843672
4.45,-70.4118,79.306915,62.176993,-69.103245,-67.428649
4.5,-69.546265,78.738261,61.525181,-69.47073,-67.009583
4.55,-68.607216,78.132795,60.839243,-69.861389,-66.543293
4.6,-67.597762,77.48067,60.113552,-70.25643,-66.010552
4.65,-66.517076,76.814381,59.386181,-70.66241,-65.449998
4.7,-65.36455,76.128449,58.647384,-71.070155,-64.864562
4.75,-64.142977,75.417566,57.892474,-71.473013,-64.240378
4.8,-62.86328,74.695684,57.141125,-71.902943,-63.54344
4.85,-61.526817,73.951193,56.38934,-72.308468,-62.774975
4.9,-60.138628,73.191017,55.630644,-72.733566,-61.925771
4.95,-58.695625,72.444583,54.896268,-73.171459,-61.049116
5.0,-57.220679,71.675135,54.168268,-73.579215,-60.043466
5.05,-55.707041,70.911578,53.458272,-73.985106,-58.975969
5.1,-54.144892,70.173839,52.777606,-74.384043,-57.912816
5.15,-52.56275,69.437166,52.124749,-74.737127,-56.755502
5.2,-50.942363,68.737098,51.505477,-75.094376,-55.60482
5.25,-49.310306,68.058611,50.915329,-75.447408,-54.382127
5.3,-47.691261,67.388273,50.360508,-75.749784,-53.030863
5.35,-46.048426,66.768836,49.849946,-76.04242,-51.706606
5.4,-44.403648,66.193471,49.376696,-76.339414,-50.355622
5.45,-42.791751,65.645898,48.940621,-76.614349,-48.894542
5.5,-41.219623,65.131804,48.545008,-76.864249,-47.333157
5.55,-39.665642,64.670858,48.195707,-77.097917,-45.757251
5.6,-38.117959,64.272699,47.895233,-77.320195,-44.21314
5.65,-36.573052,63.940851,47.642653,-77.537856,-42.718913
5.7,-35.064577,63.659741,47.439747,-77.723074,-41.197417
5.75,-33.580288,63.438412,47.282159,-77.901403,-39.690489
5.8,-32.139945,63.270259,47.165629,-78.075395,-38.158625
5.85,-30.713508,63.165754,47.093676,-78.247687,-36.68035
5.9,-29.343163,63.110163,47.057145,-78.42383,-35.161948
5.95,-28.0667,63.092169,47.048124,-78.608898,-33.524669
6.0,-26.825166,63.128127,47.076529,-78.795386,-31.907544
6.05,-25.622838,63.213989,47.140648,-78.981761,-30.301684
6.1,-24.469113,63.344008,47.239547,-79.162109,-28.686778
6.15,-23.379829,63.512366,47.365117,-79.349126,-27.028702
6.2,-22.359044,63.715397,47.515388,-79.541471,-25.318535
6.25,-21.365941,63.959084,47.694685,-79.735261,-23.641806
6.3,-20.398942,64.239586,47.900689,-79.930598,-21.998739
6.35,-19.456459,64.553048,48.13102,-80.127444,-20.389364
6.4,-18.536969,64.895459,48.383269,-80.325601,-18.813613
6.45,-17.638958,65.262858,48.654936,-80.524698,-17.271322
6.5,-16.762887,65.650792,48.943971,-80.722442,-15.75808
6.55,-15.908285,66.054975,49.248096,-80.916993,-14.271512
6.6,-15.07071,66.472088,49.563884,-81.110448,-12.817576
6.65,-14.248794,66.898029,49.888491,-81.302086,-11.395739
6.7,-13.441295,67.328724,50.218951,-81.491077,-10.00534
6.75,-12.647013,67.759996,50.552276,-81.676469,-8.645487
6.8,-11.864873,68.187852,50.885357,-81.857274,-7.315214
6.85,-11.093825,68.608114,51.214949,-82.0324,-6.013329
6.9,-10.332918,69.01673,51.537833,-82.200737,-4.738539
6.95,-9.58124,69.40965,51.850644,-82.361062,-3.489414
7.0,-8.837922,69.782869,52.14999,-82.512177,-2.264377
7.05,-8.102139,70.132393,52.432472,-82.652862,-1.061713
7.1,-7.373098,70.454317,52.694616,-82.781829,0.120398
7.15,-6.64999,70.744775,52.933309,-82.897143,1.283836
7.2,-5.932081,71.000026,53.145063,-82.997814,2.430784
7.25,-5.218675,71.216481,53.326367,-83.083249,3.563538
7.3,-4.509027,71.390641,53.473964,-83.152333,4.684485
7.35,-3.802403,71.519222,53.584905,-83.204068,5.796144
7.4,-3.098058,71.599013,53.656283,-83.237434,6.9012
7.45,-2.395245,71.62717,53.685572,-83.251579,8.002486
7.5,-1.69315,71.601881,53.671343,-83.245439,9.102958
7.55,-0.990845,71.524912,53.615068,-83.219467,10.205331
7.6,-0.28754,71.399004,53.518933,-83.175091,11.312441
7.65,0.417523,71.227184,53.385706,-83.113281,12.426995
7.7,1.12509,71.012552,53.218256,-83.035045,13.55154
7.75,1.835903,70.758435,53.019619,-82.941475,14.688474
7.8,2.550706,70.468278,52.793266,-82.833189,15.840043
7.85,3.270227,70.145661,52.542564,-82.711065,17.008399
7.9,3.995217,69.794265,52.270528,-82.577081,18.195541
7.95,4.726448,69.417911,51.980576,-82.432492,19.403334
8.0,5.46471,69.020381,51.675985,-82.278523,20.633506
8.05,6.210829,68.605573,51.360116,-82.116422,21.887663
8.1,6.965666,68.177388,51.036215,-81.947365,23.167287
8.15,7.73013,67.739761,50.707492,-81.772501,24.473732
8.2,8.505179,67.296649,50.377068,-81.592919,25.808199
8.25,9.291834,66.852028,50.048039,-81.409685,27.171779
8.3,10.09118,66.409886,49.723352,-81.223754,28.565403
8.35,10.904385,65.97414,49.405907,-81.035992,29.989847
8.4,11.7327,65.54878,49.098417,-80.847202,31.445762
8.45,12.582273,65.13668,48.804799,-80.653563,32.923634
8.5,13.450333,64.742609,48.526375,-80.460019,34.432482
8.55,14.337771,64.370559,48.265508,-80.267623,35.973754
8.6,15.245985,64.024504,48.024708,-80.076849,37.547749
8.65,16.176433,63.708228,47.806186,-79.887981,39.154742
8.7,17.130608,63.425575,47.612322,-79.701233,40.794793
8.75,18.110018,63.180255,47.445267,-79.516579,42.467947
8.8,19.123157,62.974365,47.306102,-79.334452,44.159327
8.85,20.231914,62.796401,47.186205,-79.161102,45.739485
8.9,21.37093,62.664647,47.097815,-78.992054,47.347369
8.95,22.555198,62.577767,47.043563,-78.818506,48.951596
9.0,23.778607,62.540269,47.024545,-78.644159,50.56501
9.05,25.034314,62.55688,47.042329,-78.471737,52.201882
9.1,26.35204,62.619742,47.095632,-78.294108,53.79306
9.15,27.755371,62.722642,47.174624,-78.132315,55.276932
9.2,29.171743,62.888411,47.297115,-77.968711,56.813759
9.25,30.64565,63.100997,47.456554,-77.800306,58.291368
9.3,32.123253,63.380297,47.661897,-77.630139,59.831323
9.35,33.638168,63.708638,47.91523,-77.424707,61.341795
9.4,35.154614,64.102457,48.215035,-77.214108,62.903812
9.45,36.683288,64.554246,48.560808,-76.988941,64.480093
9.5,38.237529,65.053233,48.947963,-76.748385,66.018952
9.55,39.827904,65.586079,49.371287,-76.489692,67.466897
9.6,41.459308,66.13927,49.825035,-76.2117,68.777802
9.65,43.068983,66.745921,50.319653,-75.932563,70.121996
9.7,44.653996,67.401677,50.855915,-75.641758,71.494919
