timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.726289,29.778705,24.952059,-26.373105,8.490663
0.05,-2.726398,29.784774,24.973185,-26.388746,8.490619
0.1,-2.726695,29.801404,25.030878,-26.431468,8.490498
0.15,-2.7271,29.824246,25.109748,-26.48989,8.490334
0.2,-2.727505,29.847229,25.188623,-26.548353,8.49017
0.25,-2.727802,29.864161,25.246407,-26.591217,8.490049
0.3,-2.727911,29.870384,25.267572,-26.606925,8.490005
0.35,-2.728573,29.795745,25.291852,-26.600921,8.489303
0.4,-2.730555,29.574295,25.364842,-26.583797,8.48719
0.45,-2.733845,29.213396,25.487002,-26.557986,8.483654
0.5,-2.738416,28.724909,25.658771,-26.527308,8.478671
0.55,-2.74422,28.124678,25.880411,-26.496601,8.472212
0.6,-2.75118,27.431825,26.151419,-26.471223,8.464251
0.65,-2.759176,26.667817,26.470255,-26.456504,8.454769
0.7,-2.768041,25.855518,26.833865,-26.457269,8.443771
0.75,-2.777552,25.018135,27.237446,-26.47721,8.431302
0.8,-2.787435,24.178222,27.674227,-26.518562,8.417469
0.85,-2.797371,23.35682,28.135468,-26.581794,8.402466
0.9,-2.807025,22.572616,28.610476,-26.665377,8.386582
0.95,-2.816069,21.84161,29.087176,-26.765998,8.370215
1.0,-2.824223,21.176777,29.552261,-26.878655,8.353857
1.05,-2.83128,20.588089,29.99193,-26.997093,8.338073
1.1,-2.83642,20.082283,30.391409,-27.115687,8.323236
1.15,-2.840505,19.664596,30.738592,-27.225695,8.310245
1.2,-2.843699,19.338037,31.022068,-27.319735,8.299626
1.25,-2.845976,19.104182,31.232023,-27.391711,8.291754
1.3,-2.847335,18.963698,31.361048,-27.436876,8.286914
1.35,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.4,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.45,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.5,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.55,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.6,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.65,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.7,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.75,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.8,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.85,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.9,-2.847786,18.91686,31.404579,-27.452284,8.28528
1.95,-2.847786,18.91686,31.404579,-27.452284,8.28528
2.0,-2.848066,19.060982,31.225549,-27.737735,8.283784
2.05,-2.848812,19.495669,30.699807,-28.590875,8.279234
2.1,-2.849897,20.227335,29.860436,-30.001604,8.271463
2.15,-2.849074,21.263862,28.758428,-31.953331,8.259324
2.2,-2.845803,22.613459,27.46267,-34.415497,8.2416
2.25,-2.840289,24.27925,26.051222,-37.346544,8.217047
2.3,-2.833007,26.255589,24.605973,-40.691398,8.184513
2.35,-2.824884,28.524521,23.207168,-44.379786,8.143463
2.4,-2.816931,31.052809,21.927213,-48.326288,8.094165
2.45,-2.809909,33.790342,20.825105,-52.432261,8.037627
2.5,-2.804172,36.670629,19.941944,-56.58985,7.975413
2.55,-2.806546,39.61318,19.300957,-60.679993,7.918765
2.6,-2.808837,42.526682,18.903561,-64.583016,7.860619
2.65,-2.812262,45.313135,18.725526,-68.19245,7.80533
2.7,-2.816856,47.874427,18.726188,-71.408567,7.755968
