timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.4,29.8,27.1,-25.584304,8.317151
0.05,-2.271753,30.330274,29.421606,-24.727645,8.351601
0.1,-2.143506,31.182516,31.931217,-24.009546,8.360702
0.15,-2.2077,31.522723,33.297245,-23.272405,8.38821
0.2,-2.349058,31.612346,33.612406,-22.50283,8.434466
0.25,-2.500598,31.861613,33.585346,-21.738568,8.488827
0.3,-2.634742,32.180419,33.542571,-21.077708,8.540129
0.35,-2.739771,32.400636,33.522256,-20.591177,8.580221
0.4,-2.827999,32.542391,33.484803,-20.18092,8.613531
0.45,-2.917744,32.672875,33.371172,-19.706636,8.64763
0.5,-3.020089,32.827235,33.096465,-19.072454,8.68717
0.55,-3.117158,32.912443,32.795004,-18.360206,8.725127
0.6,-3.18874,32.917658,32.663808,-17.669295,8.75341
0.65,-3.234234,32.918403,32.645066,-16.991687,8.771342
0.7,-3.258747,32.851055,32.728215,-16.299488,8.780513
0.75,-3.27061,32.704177,32.913325,-15.592769,8.78416
0.8,-3.280444,32.555999,33.10207,-14.872513,8.786808
0.85,-3.304816,32.466666,33.188855,-14.115339,8.79648
0.9,-3.354772,32.442534,33.125392,-13.321625,8.818702
0.95,-3.413321,32.439086,32.990788,-12.61113,8.845524
1.0,-3.463649,32.455901,32.843349,-12.082846,8.869067
1.05,-3.517695,32.51126,32.639943,-11.63334,8.895215
1.1,-3.594586,32.612531,32.312074,-11.108563,8.93329
1.15,-3.707712,32.763964,31.810997,-10.405243,8.989858
1.2,-3.847511,32.957321,31.166966,-9.623186,9.060452
1.25,-4.001889,33.182251,30.420649,-8.882069,9.139324
1.3,-4.171557,33.432431,29.575376,-8.17796,9.226624
1.35,-4.359724,33.70217,28.624893,-7.484009,9.323656
1.4,-4.566764,33.98428,27.561938,-6.805296,9.430439
1.45,-4.79217,34.26701,26.401895,-6.156848,9.546158
1.5,-5.034738,34.521846,25.25172,-5.561535,9.667946
1.55,-5.29272,34.724804,24.207687,-5.037333,9.79293
1.6,-5.562893,34.886779,23.23177,-4.574791,9.920273
1.65,-5.830858,35.021299,22.299802,-4.170579,10.044673
1.7,-6.038973,35.117517,21.577379,-3.873327,10.140924
1.75,-6.149283,35.168241,21.184081,-3.71532,10.192449
1.8,-6.245814,35.205257,20.865671,-3.611489,10.237097
1.85,-6.443089,35.270093,20.274464,-3.447457,10.326323
1.9,-6.776177,35.379944,19.321562,-3.263515,10.47461
1.95,-7.039148,35.482045,18.70858,-3.29839,10.584318
2.0,-7.232171,35.599643,18.426661,-3.531437,10.655743
2.05,-7.353118,35.747766,18.241591,-3.913561,10.692702
2.1,-7.399666,35.934718,17.922496,-4.400189,10.699086
2.15,-7.396615,36.16075,17.468758,-4.983417,10.68472
2.2,-7.368937,36.425228,16.880036,-5.660464,10.659152
2.25,-7.343104,36.726765,16.156194,-6.430235,10.631948
2.3,-7.346015,37.06318,15.297276,-7.288889,10.612043
2.35,-7.302989,37.42706,14.408856,-8.227199,10.570233
2.4,-7.13452,37.768144,13.638376,-9.165114,10.483162
2.45,-6.837986,38.077169,12.995048,-10.065709,10.354148
2.5,-6.411553,38.352651,12.48013,-10.907641,10.185538
2.55,-5.853726,38.591728,12.095377,-11.674302,9.979254
2.6,-5.163472,38.790181,11.843038,-12.352922,9.736695
2.65,-4.468065,38.944011,11.670158,-12.926228,9.50045
2.7,-3.896473,39.055648,11.522037,-13.379272,9.310867
2.75,-3.45028,39.128849,11.398478,-13.708186,9.165817
2.8,-3.130618,39.166536,11.299244,-13.914777,9.063595
2.85,-2.938205,39.170696,11.224058,-14.006989,9.003014
2.9,-2.873704,39.159938,11.154835,-14.023024,8.983286
2.95,-2.785217,39.142653,11.080327,-14.003773,8.956086
3.0,-2.520671,39.109763,11.023981,-13.964274,8.873174
3.05,-2.080429,39.059383,10.989811,-13.91248,8.734377
3.1,-1.465109,38.987918,10.979075,-13.852256,8.53954
3.15,-0.719526,38.894641,10.992004,-13.784555,8.302465
3.2,-0.107102,38.804034,11.020031,-13.706495,8.1066
3.25,0.329101,38.725165,11.059982,-13.616568,7.96583
3.3,0.589887,38.661695,11.109588,-13.513935,7.880207
3.35,0.675891,38.615723,11.167121,-13.398369,7.849906
3.4,0.693569,38.575159,11.236802,-13.271603,7.84112
3.45,0.749017,38.527151,11.323126,-13.135732,7.819785
3.5,0.842135,38.471633,11.426082,-12.99162,7.785797
3.55,0.972805,38.408432,11.545728,-12.840351,7.739042
3.6,1.140879,38.33731,11.682126,-12.683416,7.679398
3.65,1.346185,38.257972,11.835371,-12.522856,7.606738
3.7,1.58869,38.173624,11.998967,-12.366054,7.521251
