timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,-10.0,0.0,0.0,0.0
0.05,-0.163277,-8.296975,9.018367,-1.30507,0.33803
0.1,-0.226961,-7.556868,12.402472,-1.616801,0.478299
0.15,-0.281829,-6.840494,15.181996,-1.670769,0.608292
0.2,-0.32202,-6.20696,17.032841,-1.400017,0.716696
0.25,-0.347449,-5.669503,17.975451,-0.81692,0.802714
0.3,-0.361148,-5.216717,18.215218,0.020967,0.871113
0.35,-0.366727,-4.832193,17.989229,1.045092,0.927572
0.4,-0.367108,-4.503206,17.488693,2.19497,0.976474
0.45,-0.364547,-4.218995,16.857496,3.42126,1.021098
0.5,-0.360388,-3.972913,16.178558,4.689384,1.063192
0.55,-0.355431,-3.759694,15.496769,5.975249,1.103678
0.6,-0.350108,-3.574846,14.831372,7.262506,1.142962
0.65,-0.34464,-3.414211,14.186813,8.540023,1.181182
0.7,-0.339135,-3.273806,13.560146,9.800074,1.218367
0.75,-0.333647,-3.14987,12.945448,11.03719,1.254521
0.8,-0.328204,-3.038985,12.336203,12.247466,1.289648
0.85,-0.322825,-2.938205,11.726568,13.428132,1.323765
0.9,-0.317519,-2.845118,11.112018,14.577456,1.356901
0.95,-0.312296,-2.757871,10.489557,15.69453,1.389091
1.0,-0.307159,-2.675088,9.857752,16.77955,1.420385
1.05,-0.30211,-2.595803,9.216454,17.833622,1.450843
1.1,-0.297152,-2.5194,8.566267,18.857708,1.480513
1.15,-0.292293,-2.445608,7.907776,19.850849,1.509388
1.2,-0.28715,-2.365934,7.262004,20.922787,1.540226
1.25,-0.282629,-2.300536,6.585084,21.819326,1.566626
1.3,-0.278223,-2.236746,5.900472,22.681574,1.59221
1.35,-0.273914,-2.173562,5.205294,23.511816,1.617076
1.4,-0.26968,-2.110176,4.49711,24.312414,1.64131
1.45,-0.265505,-2.046028,3.774736,25.085309,1.664984
1.5,-0.261379,-1.9807,3.037676,25.832293,1.688152
1.55,-0.257291,-1.913902,2.286718,26.554638,1.710852
1.6,-0.253235,-1.845333,1.522918,27.253621,1.733122
1.65,-0.2492,-1.774488,0.746486,27.930742,1.755006
1.7,-0.245161,-1.700156,-0.045738,28.588361,1.7766
1.75,-0.241093,-1.621201,-0.85707,29.228913,1.798006
1.8,-0.236985,-1.537303,-1.688042,29.853821,1.819264
1.85,-0.232824,-1.448248,-2.538638,30.464286,1.840408
1.9,-0.228601,-1.35387,-3.40881,31.061484,1.861466
1.95,-0.224312,-1.254228,-4.297158,31.646025,1.882444
2.0,-0.219972,-1.150152,-5.197044,32.217002,1.903264
2.05,-0.215598,-1.042428,-6.100504,32.772942,1.923834
2.1,-0.211204,-0.931142,-7.001224,33.313087,1.944094
2.15,-0.206773,-0.815216,-7.899772,33.838509,1.96409
2.2,-0.202284,-0.693358,-8.798415,34.350838,1.983896
2.25,-0.197715,-0.564268,-9.699382,34.8516,2.00358
2.3,-0.193043,-0.42685,-10.604858,35.342213,2.023206
2.35,-0.18825,-0.280406,-11.516538,35.823854,2.042822
2.4,-0.183319,-0.124422,-12.436116,36.297674,2.062468
2.45,-0.178231,0.04161,-13.365238,36.76474,2.08219
2.5,-0.172969,0.218118,-14.304846,37.225791,2.102008
2.55,-0.167529,0.405364,-15.033574,37.576378,2.12192
2.6,-0.161906,0.60368,-15.766225,37.9233,2.14191
2.65,-0.156093,0.813347,-16.501609,38.266555,2.161964
2.7,-0.15009,1.03399,-17.238682,38.605903,2.18205
2.75,-0.143894,1.265194,-17.976406,38.94121,2.202134
2.8,-0.137039,1.509048,-18.713349,39.27325,2.224512
2.85,-0.129839,1.763059,-19.450333,39.597161,2.247548
2.9,-0.122424,2.025005,-20.186616,39.91207,2.27054
2.95,-0.114798,2.294032,-20.919117,40.221881,2.293436
3.0,-0.106964,2.569508,-21.645653,40.526572,2.316196
3.05,-0.098927,2.850812,-22.365364,40.825994,2.338784
3.1,-0.090693,3.137312,-23.077824,41.120123,2.361162
3.15,-0.082265,3.42838,-23.782599,41.40892,2.38332
3.2,-0.073653,3.723048,-24.479297,41.692308,2.405226
3.25,-0.064888,4.019306,-25.167558,41.97028,2.426772
3.3,-0.056012,4.314819,-25.840489,42.240116,2.44782
3.35,-0.047079,4.606925,-26.519412,42.510278,2.468216
3.4,-0.038149,4.892963,-27.256565,42.80122,2.487786
3.45,-0.029279,5.170712,-27.98189,43.085072,2.506394
3.5,-0.020508,5.439702,-28.684759,43.357891,2.523994
3.55,-0.011868,5.699842,-29.324898,43.604495,2.540574
3.6,-0.003381,5.951639,-29.940066,43.83989,2.556182
3.65,0.004996,6.197751,-30.536078,44.066516,2.571102
3.7,0.013296,6.440294,-31.110777,44.283726,2.585574
3.75,0.021436,6.678011,-31.663152,44.491234,2.599414
3.8,0.029311,6.908922,-32.192621,44.688972,2.61234
3.85,0.036814,7.131243,-32.698626,44.876873,2.624074
3.9,0.043837,7.343285,-33.182292,45.05521,2.63434
3.95,0.050101,7.555642,-33.64977,45.225749,2.642434
4.0,0.055258,7.777138,-34.107823,45.390388,2.647412
4.05,0.058827,8.001365,-34.556126,45.549019,2.647634
4.1,0.06021,8.22012,-34.987808,45.69985,2.64104
4.15,0.058734,8.421058,-35.395785,45.84102,2.62531
4.2,0.053529,8.58217,-35.773201,45.970578,2.597348
4.25,0.043196,8.660357,-36.112457,46.087443,2.55196
4.3,0.025929,8.579368,-36.407541,46.188089,2.482112
4.35,-4.8e-05,8.231068,-36.658803,46.250114,2.38018
4.4,-0.033614,7.54002,-36.867042,46.243919,2.24973
4.45,-0.06872,6.479127,-36.967258,46.178342,2.117012
4.5,-0.109081,5.043241,-36.970929,46.024827,1.962332
4.55,-0.153129,3.287575,-36.749225,45.774992,1.78988
4.6,-0.199132,1.31077,-37.082197,44.986761,1.60451
4.65,-0.245264,-0.754236,-35.859395,44.198786,1.411516
4.7,-0.28955,-2.753794,-30.226374,41.264458,1.217056
4.75,-0.329643,-4.53135,-19.035527,35.396328,1.029788
4.8,-0.362554,-5.945366,-7.056717,26.380183,0.864192
4.85,-0.384736,-6.875422,-1.403062,14.569068,0.7438
4.9,-0.392757,-7.21062,0.872176,2.733077,0.697958
4.95,0.0,-10.0,-0.023874,0.023874,0.0
