timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.458727,29.791063,27.079941,-26.330574,8.252494
0.05,-2.458727,29.791787,27.080348,-26.331053,8.252493
0.1,-2.45873,29.802454,27.086264,-26.338071,8.252481
0.15,-2.458741,29.848721,27.111922,-26.368507,8.252429
0.2,-2.458772,29.97325,27.181115,-26.450479,8.252287
0.25,-2.458836,30.235559,27.327475,-26.623476,8.251985
0.3,-2.458955,30.711695,27.595272,-26.938571,8.251421
0.35,-2.459153,31.493444,28.040793,-27.458884,8.250456
0.4,-2.459463,32.687204,28.735109,-28.260582,8.24889
0.45,-2.459924,34.412482,29.768267,-29.434589,8.246443
0.5,-2.460576,36.800745,31.255593,-31.089646,8.242722
0.55,-2.461441,39.996143,33.347734,-33.357893,8.237202
0.6,-2.462462,44.161613,36.246557,-36.404884,8.229196
0.65,-2.465755,49.527576,40.33202,-40.300534,8.22056
0.7,-2.467793,56.35644,45.976946,-45.447214,8.20784
0.75,-2.467392,64.715862,53.621462,-51.79015,8.191187
0.8,-2.462828,72.389491,61.268134,-57.720021,8.174871
0.85,-2.45512,79.177592,68.526921,-62.982795,8.16039
0.9,-2.445068,85.252861,75.45026,-67.58683,8.148014
0.95,-2.43346,90.744282,82.073727,-71.596852,8.138556
1.0,-2.420961,95.776219,88.498797,-75.020689,8.133127
1.05,-2.40798,100.509684,94.923867,-77.860623,8.133309
1.1,-2.394771,105.278918,101.95388,-79.939313,8.143941
1.15,-2.39507,109.799984,111.795698,-75.296413,8.215399
1.2,-2.395238,109.799984,111.679885,-75.293842,8.214949
1.25,-2.395329,109.799984,111.61685,-75.292441,8.214705
1.3,-2.395372,109.799984,111.587125,-75.291786,8.21459
1.35,-2.395388,109.799984,111.576108,-75.291536,8.214548
1.4,-2.395391,109.799991,111.573567,-75.291482,8.214538
1.45,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.5,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.55,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.6,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.65,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.7,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.75,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.8,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.85,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.9,-2.395392,109.799991,111.573389,-75.291472,8.214537
1.95,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.0,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.05,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.1,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.15,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.2,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.25,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.3,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.35,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.4,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.45,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.5,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.55,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.6,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.65,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.7,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.75,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.8,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.85,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.9,-2.395392,109.799991,111.573389,-75.291472,8.214537
2.95,-2.395392,109.799991,111.573389,-75.291472,8.214537
3.0,-2.39539,109.799991,111.574147,-75.291496,8.21454
3.05,-2.395374,109.799984,111.585383,-75.291735,8.214583
3.1,-2.395304,109.799984,111.634246,-75.292827,8.214772
3.15,-2.395112,109.799984,111.767189,-75.295788,8.215288
3.2,-2.398088,104.047476,100.067232,-79.518259,8.1397
3.25,-2.417089,97.217471,90.408054,-75.941979,8.132424
3.3,-2.435277,89.953169,81.098314,-71.028307,8.139765
3.35,-2.451336,81.686639,71.343394,-64.885234,8.155142
3.4,-2.463139,72.02828,60.894007,-57.441776,8.175651
3.45,-2.46816,60.477115,49.660429,-48.539487,8.199786
3.5,-2.465902,49.831338,40.572835,-40.524762,8.220037
3.55,-2.462045,42.367379,34.974418,-35.080172,8.232748
3.6,-2.460692,37.224883,31.526604,-31.387185,8.242023
3.65,-2.459767,33.831504,29.416463,-29.037226,8.24729
3.7,-2.459219,31.748814,28.187899,-27.629643,8.25013
3.75,-2.458926,30.595171,27.529478,-26.861333,8.251561
3.8,-2.458789,30.04584,27.221547,-26.498313,8.252204
3.85,-2.458739,29.841417,27.10787,-26.363697,8.252437
3.9,-2.458728,29.79421,27.08169,-26.332647,8.25249
3.95,-2.458727,29.791063,27.079941,-26.330574,8.252494
