timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.4,29.8,27.1,-26.3,8.2
0.05,-2.4,29.8,27.1,-26.3,8.2
0.1,-2.4,29.8,27.1,-26.3,8.2
0.15,-2.4,29.8,27.1,-26.3,8.2
0.2,-2.4,29.8,27.1,-26.3,8.2
0.25,-2.4,29.8,27.1,-26.3,8.2
0.3,-2.4,29.8,27.1,-26.3,8.2
0.35,-2.4,29.8,27.1,-26.3,8.2
0.4,-2.4,29.8,27.1,-26.3,8.2
0.45,-2.4,29.8,27.1,-26.3,8.2
0.5,-2.4,29.8,27.1,-26.3,8.2
0.55,-2.4,29.8,27.1,-26.3,8.2
0.6,-2.4,29.8,27.1,-26.3,8.2
0.65,-2.4,29.8,27.1,-26.3,8.2
0.7,-2.4,29.8,27.1,-26.3,8.2
0.75,-2.4,29.8,27.1,-26.3,8.2
0.8,-2.4,29.8,27.1,-26.3,8.2
0.85,-2.4,29.8,27.1,-26.3,8.2
0.9,-2.4,29.8,27.1,-26.3,8.2
0.95,-2.4,29.8,27.1,-26.3,8.2
1.0,-2.4,29.8,27.1,-26.3,8.2
1.05,-2.4,29.8,27.1,-26.3,8.2
1.1,-2.4,29.8,27.1,-26.3,8.2
1.15,-2.4,29.8,27.1,-26.3,8.2
1.2,-2.4,29.8,27.1,-26.3,8.2
1.25,-2.4,29.8,27.1,-26.3,8.2
1.3,-2.4,29.8,27.1,-26.3,8.2
1.35,-2.4,29.8,27.1,-26.3,8.2
1.4,-2.4,29.8,27.1,-26.3,8.2
1.45,-2.4,29.8,27.1,-26.3,8.2
1.5,-2.4,29.8,27.1,-26.3,8.2
1.55,-2.4,29.8,27.1,-26.3,8.2
1.6,-2.4,29.8,27.1,-26.3,8.2
1.65,-2.4,29.8,27.1,-26.3,8.2
1.7,-2.4,29.8,27.1,-26.3,8.2
1.75,-2.4,29.8,27.1,-26.3,8.2
1.8,-2.4,29.8,27.1,-26.3,8.2
1.85,-2.4,29.8,27.1,-26.3,8.2
1.9,-2.4,29.8,27.1,-26.3,8.2
1.95,-2.4,29.8,27.1,-26.3,8.2
2.0,-2.4,29.8,27.1,-26.3,8.2
2.05,-2.4,29.8,27.1,-26.3,8.2
2.1,-2.4,29.8,27.1,-26.3,8.2
2.15,-2.4,29.8,27.1,-26.3,8.2
2.2,-2.4,29.8,27.1,-26.3,8.2
2.25,-2.4,29.8,27.1,-26.3,8.2
2.3,-2.4,29.8,27.1,-26.3,8.2
2.35,-2.4,29.8,27.1,-26.3,8.2
2.4,-2.4,29.8,27.1,-26.3,8.2
2.45,-2.4,29.8,27.1,-26.3,8.2
2.5,-2.4,29.8,27.1,-26.3,8.2
2.55,-2.4,29.8,27.1,-26.3,8.2
2.6,-2.4,29.8,27.1,-26.3,8.2
2.65,-2.4,29.8,27.1,-26.3,8.2
2.7,-2.4,29.8,27.1,-26.3,8.2
2.75,-2.4,29.8,27.1,-26.3,8.2
2.8,-2.4,29.8,27.1,-26.3,8.2
2.85,-2.4,29.8,27.1,-26.3,8.2
2.9,-2.4,29.8,27.1,-26.3,8.2
2.95,-2.4,29.8,27.1,-26.3,8.2
3.0,-2.4,29.8,27.1,-26.3,8.2
3.05,-2.4,29.8,27.1,-26.3,8.2
3.1,-2.4,29.8,27.1,-26.3,8.2
3.15,-2.4,29.8,27.1,-26.3,8.2
3.2,-2.4,29.8,27.1,-26.3,8.2
3.25,-2.4,29.8,27.1,-26.3,8.2
3.3,-2.4,29.8,27.1,-26.3,8.2
3.35,-2.4,29.8,27.1,-26.3,8.2
3.4,-2.4,29.8,27.1,-26.3,8.2
3.45,-2.4,29.8,27.1,-26.3,8.2
3.5,-2.4,29.8,27.1,-26.3,8.2
3.55,-2.4,29.8,27.1,-26.3,8.2
3.6,-2.4,29.8,27.1,-26.3,8.2
3.65,-2.4,29.8,27.1,-26.3,8.2
3.7,-2.4,29.8,27.1,-26.3,8.2
3.75,-2.4,29.8,27.1,-26.3,8.2
3.8,-2.4,29.8,27.1,-26.3,8.2
3.85,-2.4,29.8,27.1,-26.3,8.2
3.9,-2.4,29.8,27.1,-26.3,8.2
3.95,-2.4,29.8,27.1,-26.3,8.2
4.0,-2.4,29.8,27.1,-26.3,8.2
4.05,-2.4,29.8,27.1,-26.3,8.2
4.1,-2.4,29.8,27.1,-26.3,8.2
4.15,-2.4,29.8,27.1,-26.3,8.2
4.2,-2.4,29.8,27.1,-26.3,8.2
4.25,-2.4,29.8,27.1,-26.3,8.2
4.3,-2.4,29.8,27.1,-26.3,8.2
4.35,-2.4,29.8,27.1,-26.3,8.2
4.4,-2.4,29.8,27.1,-26.3,8.2
4.45,-2.4,29.8,27.1,-26.3,8.2
4.5,-2.4,29.8,27.1,-26.3,8.2
4.55,-2.4,29.8,27.1,-26.3,8.2
4.6,-2.4,29.8,27.1,-26.3,8.2
4.65,-2.4,29.8,27.1,-26.3,8.2
4.7,-2.4,29.8,27.1,-26.3,8.2
4.75,-2.4,29.8,27.1,-26.3,8.2
4.8,-2.4,29.8,27.1,-26.3,8.2
4.85,-2.4,29.8,27.1,-26.3,8.2
4.9,-2.4,29.8,27.1,-26.3,8.2
4.95,-2.4,29.8,27.1,-26.3,8.2
5.0,-2.4,29.8,27.1,-26.3,8.2
5.05,-2.4,29.8,27.1,-26.3,8.2
5.1,-2.4,29.8,27.1,-26.3,8.2
5.15,-2.4,29.8,27.1,-26.3,8.2
5.2,-2.4,29.8,27.1,-26.3,8.2
5.25,-2.4,29.8,27.1,-26.3,8.2
5.3,-2.4,29.8,27.1,-26.3,8.2
5.35,-2.4,29.8,27.1,-26.3,8.2
5.4,-2.4,29.8,27.1,-26.3,8.2
5.45,-2.4,29.8,27.1,-26.3,8.2
5.5,-2.4,29.8,27.1,-26.3,8.2
5.55,-2.4,29.8,27.1,-26.3,8.2
5.6,-2.4,29.8,27.1,-26.3,8.2
5.65,-2.4,29.8,27.1,-26.3,8.2
5.7,-2.4,29.8,27.1,-26.3,8.2
5.75,-2.4,29.8,27.1,-26.3,8.2
5.8,-2.4,29.8,27.1,-26.3,8.2
5.85,-2.4,29.8,27.1,-26.3,8.2
5.9,-2.4,29.8,27.1,-26.3,8.2
5.95,-2.4,29.8,27.1,-26.3,8.2
6.0,-2.4,29.8,27.1,-26.3,8.2
6.05,-2.4,29.8,27.1,-26.3,8.2
6.1,-2.4,29.8,27.1,-26.3,8.2
6.15,-2.4,29.8,27.1,-26.3,8.2
6.2,-2.4,29.8,27.1,-26.3,8.2
6.25,-2.4,29.8,27.1,-26.3,8.2
6.3,-2.4,29.8,27.1,-26.3,8.2
6.35,-2.4,29.8,27.1,-26.3,8.2
6.4,-2.4,29.8,27.1,-26.3,8.2
6.45,-2.4,29.8,27.1,-26.3,8.2
6.5,-2.4,29.8,27.1,-26.3,8.2
6.55,-2.4,29.8,27.1,-26.3,8.2
6.6,-2.4,29.8,27.1,-26.3,8.2
6.65,-2.4,29.8,27.1,-26.3,8.2
6.7,-2.4,29.8,27.1,-26.3,8.2
6.75,-2.4,29.8,27.1,-26.3,8.2
6.8,-2.4,29.8,27.1,-26.3,8.2
6.85,-2.4,29.8,27.1,-26.3,8.2
6.9,-2.4,29.8,27.1,-26.3,8.2
6.95,-2.4,29.8,27.1,-26.3,8.2
7.0,-2.4,29.8,27.1,-26.3,8.2
7.05,-2.4,29.8,27.1,-26.3,8.2
7.1,-2.4,29.8,27.1,-26.3,8.2
7.15,-2.4,29.8,27.1,-26.3,8.2
7.2,-2.4,29.8,27.1,-26.3,8.2
7.25,-2.4,29.8,27.1,-26.3,8.2
7.3,-2.4,29.8,27.1,-26.3,8.2
7.35,-2.4,29.8,27.1,-26.3,8.2
7.4,-2.4,29.8,27.1,-26.3,8.2
7.45,-2.4,29.8,27.1,-26.3,8.2
7.5,-2.4,29.8,27.1,-26.3,8.2
7.55,-2.4,29.8,27.1,-26.3,8.2
7.6,-2.4,29.8,27.1,-26.3,8.2
7.65,-2.4,29.8,27.1,-26.3,8.2
7.7,-2.4,29.8,27.1,-26.3,8.2
