timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.0,7e-06,-2e-06,0.0,0.0
0.05,-0.0,7e-06,0.021399,-0.146807,0.0
0.1,-0.0,7e-06,0.083596,-0.573397,-0.0
0.15,-0.0,7e-06,0.183599,-1.259081,-0.0
0.2,-0.0,7e-06,0.318345,-2.183101,-0.0
0.25,-0.0,7e-06,0.484807,-3.324739,0.0
0.3,-0.0,7e-06,0.680002,-4.663283,0.0
0.35,-0.0,7e-06,0.900871,-6.177968,0.0
0.4,-0.0,7e-06,1.144428,-7.848114,0.0
0.45,-0.0,7e-06,1.407618,-9.652971,-0.0
0.5,-0.0,7e-06,1.687416,-11.571809,-0.0
0.55,-0.0,7e-06,1.980828,-13.583927,0.0
0.6,-0.0,7e-06,2.284827,-15.668587,0.0
0.65,-0.0,7e-06,2.59636,-17.805069,-0.0
0.7,-0.0,7e-06,2.91245,-19.972605,0.0
0.75,-0.0,7e-06,3.230031,-22.150544,-0.0
0.8,-0.0,7e-06,3.546117,-24.3181,-0.0
0.85,-0.0,7e-06,3.857641,-26.454562,-0.0
0.9,-0.0,7e-06,4.161639,-28.539232,0.0
0.95,-0.0,7e-06,4.455061,-30.551327,-0.0
1.0,-0.0,7e-06,4.734872,-32.470166,-0.0
1.05,-0.0,7e-06,4.998061,-34.275047,-0.0
1.1,-0.0,7e-06,5.241596,-35.945178,-0.0
1.15,-0.0,7e-06,5.462479,-37.459886,0.0
1.2,-0.0,7e-06,5.657667,-38.798422,-0.0
1.25,-0.0,7e-06,5.824138,-39.940064,-0.0
1.3,-0.0,7e-06,5.958875,-40.864066,-0.0
1.35,-0.0,7e-06,6.058869,-41.549752,-0.0
1.4,-0.0,7e-06,6.121081,-41.976355,-0.0
1.45,-0.0,7e-06,6.142486,-42.12316,-0.0
1.5,0.251926,7e-06,6.142488,-42.12316,0.29995
1.55,0.972956,-2e-06,6.142486,-42.12316,1.158426
1.6,2.110968,2e-06,6.142488,-42.123163,2.51337
1.65,3.613836,2e-06,6.142487,-42.12316,4.302725
1.7,5.42944,0.0,6.142489,-42.123167,6.464435
1.75,7.505664,0.0,6.142493,-42.12316,8.936436
1.8,9.790376,-2e-06,6.142492,-42.123167,11.656662
1.85,12.23145,5e-06,6.142489,-42.12316,14.563068
1.9,14.776774,0.0,6.142494,-42.12316,17.593594
1.95,17.374217,0.0,6.142488,-42.12316,20.686184
2.0,19.971673,-5e-06,6.142492,-42.123184,23.778778
2.05,22.516989,0.0,6.142483,-42.123153,26.809293
2.1,24.958064,2e-06,6.142497,-42.123167,29.715694
2.15,27.242773,0.0,6.142492,-42.123153,32.43593
2.2,29.318997,0.0,6.142492,-42.123173,34.907936
2.25,31.134591,9e-06,6.142483,-42.12316,37.069646
2.3,32.637461,1e-05,6.142485,-42.12316,38.858995
2.35,33.775477,0.0,6.142481,-42.12316,40.213937
2.4,34.496526,2e-06,6.142486,-42.123167,41.072431
2.45,34.74843,-1e-05,6.142486,-42.123167,41.372361
