timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-2.462233,3.018275,-12.899995,-25.53822,8.654581
0.05,-2.462233,3.018256,-12.899995,-25.538319,8.654581
0.1,-2.462229,3.018205,-12.899995,-25.541462,8.654596
0.15,-2.462205,3.017689,-12.899995,-25.562699,8.6547
0.2,-2.462113,3.015939,-12.899995,-25.641424,8.655082
0.25,-2.461871,3.011824,-12.899995,-25.853277,8.656106
0.3,-2.46134,3.005837,-12.900002,-26.322611,8.658339
0.35,-2.459626,3.005962,-12.899995,-27.235692,8.662165
0.4,-2.454396,3.04332,-12.899995,-28.856278,8.667247
0.45,-2.446021,3.200581,-12.899995,-31.543053,8.674234
0.5,-2.434813,3.65685,-12.899995,-35.781527,8.682338
0.55,-2.413957,4.745498,-12.899995,-42.242594,8.682771
0.6,-2.383355,7.028568,-12.900002,-51.916667,8.66151
0.65,-2.331322,11.44483,-12.899995,-66.48633,8.575238
0.7,-2.305236,19.172782,-6.224404,-74.348318,8.422345
0.75,-2.329057,28.523062,8.344029,-72.053538,8.291083
0.8,-2.353765,36.036319,20.346736,-71.313556,8.203898
0.85,-2.369893,41.738056,29.450432,-71.548962,8.148653
0.9,-2.378418,46.012521,36.212727,-72.204663,8.112598
0.95,-2.383704,49.125276,41.115683,-72.87616,8.090931
1.0,-2.387009,51.298002,44.528128,-73.428292,8.078353
1.05,-2.388911,52.735823,46.780329,-73.83159,8.071066
1.1,-2.389948,53.62788,48.174822,-74.097039,8.066923
1.15,-2.390487,54.13948,48.973543,-74.254536,8.064672
1.2,-2.39075,54.404986,49.387751,-74.337748,8.063538
1.25,-2.390865,54.525404,49.57554,-74.375827,8.063031
1.3,-2.390908,54.570231,49.645447,-74.390061,8.062844
1.35,-2.390919,54.582344,49.664332,-74.39392,8.062793
1.4,-2.390921,54.584112,49.667099,-74.394449,8.062786
1.45,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.5,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.55,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.6,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.65,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.7,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.75,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.8,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.85,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.9,-2.390921,54.584173,49.667186,-74.39449,8.062785
1.95,-2.390921,54.584173,49.667186,-74.39449,8.062785
2.0,-2.390921,54.584041,49.667012,-74.394278,8.062787
2.05,-2.390929,54.57987,49.661501,-74.387428,8.062829
2.1,-2.390979,54.551489,49.624115,-74.340836,8.063113
2.15,-2.391165,54.44682,49.486271,-74.168401,8.064165
2.2,-2.391661,54.168114,49.119799,-73.70447,8.066993
2.25,-2.392735,53.565705,48.330299,-72.677302,8.073236
2.3,-2.394751,52.450827,46.87745,-70.682962,8.085256
2.35,-2.398196,50.644974,44.539233,-67.162539,8.105991
2.4,-2.403909,48.085456,41.21779,-61.392733,8.138045
2.45,-2.414025,45.015836,37.044853,-52.495142,8.181216
2.5,-2.426625,42.98723,33.755822,-43.758273,8.214924
2.55,-2.435753,42.219285,31.960856,-38.298645,8.231057
2.6,-2.441627,41.959419,30.960257,-35.050211,8.238805
2.65,-2.445037,41.882829,30.418411,-33.237354,8.242524
2.7,-2.446813,41.863524,30.145367,-32.311309,8.244256
2.75,-2.447619,41.859343,30.023286,-31.894751,8.244998
2.8,-2.447919,41.858497,29.978058,-31.740171,8.245268
2.85,-2.448001,41.858338,29.965862,-31.698433,8.24534
2.9,-2.448012,41.858313,29.964075,-31.692312,8.245351
2.95,-2.448013,41.858321,29.964036,-31.692118,8.245351
