timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.009848,1.246194,0.346784,0.596692,0.0
0.05,0.017397,1.280548,0.36935,0.667786,0.0
0.1,0.050073,1.352646,0.447348,0.810339,0.0
0.15,0.137749,1.497536,0.64481,0.918281,0.0
0.2,0.321443,1.767188,1.052286,0.88556,0.0
0.25,0.651728,2.235322,1.788754,0.606106,0.0
0.3,1.185077,3.005464,3.00489,-0.026184,0.0
0.35,1.976209,4.22308,4.88891,-1.117484,0.0
0.4,2.963058,6.080327,7.672442,-2.774054,0.0
0.45,3.581105,8.786566,11.629616,-5.102279,0.0
0.5,3.794655,12.750278,17.154481,-8.208684,0.0
0.55,3.66642,18.600881,24.820561,-11.979185,0.0
0.6,3.270284,27.294071,35.543809,-15.835392,0.0
0.65,2.703748,40.344497,51.000527,-19.175092,0.0
0.7,2.29137,53.486699,67.994041,-21.661052,0.0
0.75,2.093227,62.49354,81.643833,-23.761021,0.0
0.8,1.987083,68.837064,92.380487,-25.937712,0.0
0.85,1.927434,73.35951,100.650781,-28.045289,0.0
0.9,1.893294,76.576003,106.856698,-29.896967,0.0
0.95,1.874976,78.827534,111.360231,-31.351914,0.0
1.0,1.868571,80.359327,114.493232,-32.537969,0.0
1.05,1.87352,81.359574,116.560061,-33.60812,0.0
1.1,1.891465,81.978403,117.834465,-34.537272,0.0
1.15,1.925648,82.336032,118.554011,-35.300935,0.0
1.2,1.980572,82.527181,118.915779,-35.876095,0.0
1.25,2.06182,82.623487,119.073748,-36.242135,0.0
1.3,2.175932,82.675642,119.138361,-36.381529,0.0
1.35,2.330331,82.715053,119.17702,-36.447074,0.0
1.4,2.534301,82.723727,119.186077,-36.589962,0.0
1.45,2.7965,82.710183,119.1472,-36.793618,0.0
1.5,3.109231,82.618665,118.93616,-37.041014,0.0
1.55,3.374679,82.341038,118.331634,-37.31233,2e-06
1.6,3.586419,81.744879,117.046875,-37.580456,0.0
1.65,3.756651,80.661727,114.725745,-37.799766,0.0
1.7,3.898938,78.88307,110.954067,-38.895752,0.0
1.75,4.029999,76.156022,105.279723,-41.211176,0.0
1.8,4.173375,72.164213,97.230229,-43.392735,0.0
1.85,4.367547,66.473436,86.315477,-44.856482,0.0
1.9,4.686877,58.402516,72.007071,-45.625158,0.0
1.95,5.308352,46.7388,53.715299,-45.838383,0.0
2.0,6.811176,29.099843,30.895282,-45.618099,0.0
2.05,9.454192,11.264734,10.46907,-46.086517,0.0
2.1,12.187281,-0.395054,-3.374642,-47.709073,-2e-06
2.15,14.624705,-8.010102,-13.083064,-49.971494,2e-06
2.2,16.530726,-12.947462,-19.925701,-52.567492,-2e-06
2.25,17.872643,-16.116074,-24.679982,-55.237236,0.0
2.3,18.736387,-18.122882,-27.887014,-57.637132,0.0
2.35,19.230157,-19.375409,-29.956165,-59.396937,0.0
2.4,19.433961,-20.150617,-31.210758,-60.563636,0.0
2.45,19.38664,-20.640948,-31.909947,-61.202723,0.0
2.5,19.089006,-20.982983,-32.259192,-61.379686,-2e-06
2.55,18.510055,-21.27566,-32.415992,-61.159945,0.0
2.6,17.591209,-21.59068,-32.492596,-60.608913,0.0
2.65,16.247241,-21.977713,-32.557029,-59.791961,0.0
2.7,14.349483,-22.447005,-32.631908,-58.774454,0.0
2.75,11.770912,-23.034154,-32.717641,-57.62175,0.0
2.8,8.321734,-23.731405,-32.795409,-56.399225,0.0
2.85,4.030284,-24.463446,-32.82537,-55.337376,0.0
2.9,0.284505,-24.954719,-32.728477,-54.525492,0.0
2.95,-2.698377,-25.194386,-32.454866,-53.817171,0.0
3.0,-4.985639,-25.197056,-31.946414,-53.065983,0.0
3.05,-6.661901,-24.95378,-31.12953,-52.125535,2e-06
3.1,-7.813315,-24.431035,-29.91491,-50.849382,0.0
3.15,-8.517329,-23.568558,-28.196725,-49.294257,0.0
3.2,-8.836547,-22.274323,-25.85041,-47.064648,0.0
3.25,-8.81629,-20.41681,-22.729092,-43.334063,0.0
3.3,-8.486659,-17.812858,-18.656655,-37.268777,0.0
3.35,-7.871283,-14.209923,-13.415644,-28.021343,0.0
3.4,-7.003638,-9.258786,-6.723068,-14.649053,0.0
3.45,-6.298689,-4.407614,0.100434,-0.825518,0.0
3.5,-5.921618,-0.956812,5.618204,9.266206,0.0
3.55,-5.655904,1.546626,10.009538,16.054734,0.0
3.6,-4.789642,3.416,13.452024,20.366188,0.0
3.65,-1.572338,4.9767,16.141877,23.010865,0.0
3.7,1.536539,6.224182,18.176137,24.790235,0.0
3.75,2.233217,6.961824,19.595008,25.523135,0.0
3.8,2.272549,7.414336,20.557737,25.495952,0.0
3.85,2.267741,7.705092,21.185515,25.146144,0.0
3.9,2.2638,7.88312,21.567623,24.601242,0.0
3.95,2.257751,7.983384,21.778548,23.919114,0.0
4.0,2.245332,8.033115,21.879147,23.131271,0.0
4.05,2.220895,8.052742,21.916691,22.256457,0.0
4.1,2.177338,8.056292,21.924917,21.306075,0.0
4.15,2.10607,8.051804,21.923912,20.286502,0.0
4.2,1.997122,8.038804,21.917672,19.199911,0.0
4.25,1.838569,8.006516,21.873583,18.04363,0.0
4.3,1.617149,7.917698,21.698266,16.807234,0.0
4.35,1.317948,7.711534,21.236631,15.461398,0.0
4.4,0.950019,7.308242,20.274564,13.929454,0.0
4.45,0.649824,6.62399,18.545866,12.210765,0.0
4.5,0.426992,5.554516,15.732147,10.35708,0.0
4.55,0.266957,4.007852,11.479635,8.424745,0.0
4.6,0.157212,2.529296,7.288336,6.476685,0.0
4.65,0.086008,1.582924,4.582392,4.585144,0.0
4.7,0.042844,1.015642,2.949158,3.193271,0.0
4.75,0.019122,0.706232,2.054146,2.210971,0.0
4.8,0.007875,0.560244,1.630496,1.416221,0.0
4.85,0.003698,0.506302,1.473302,0.744157,0.0
4.9,0.002734,0.49405,1.437076,0.170545,0.0
4.95,0.00267,0.493386,1.434708,-0.303838,0.0
5.0,0.009848,1.246194,0.346784,-0.596692,0.0
