timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,3e-06,2.358578,1.768452,-0.287166,-2.811871
0.05,3e-06,2.863656,2.153168,-0.407234,-2.835948
0.1,3e-06,5.041996,3.836686,-0.900844,-2.940273
0.15,3e-06,10.827268,8.501202,-2.018602,-3.221149
0.2,2e-06,22.692607,18.961626,-3.418994,-3.813398
0.25,3e-06,43.461949,40.210823,-2.937292,-4.890376
0.3,2e-06,63.906959,64.743602,1.141316,-5.967385
0.35,2e-06,75.386355,80.022749,4.929307,-6.559681
0.4,3e-06,80.978538,87.83891,7.145598,-6.840588
0.45,2e-06,83.089784,90.851399,8.043606,-6.944924
0.5,2e-06,83.580021,91.555694,8.256894,-6.969
0.55,2e-06,83.612737,91.602768,8.271194,-6.970607
0.6,2e-06,83.617129,91.609093,8.26972,-7.114619
0.65,2e-06,83.682986,91.703855,8.22633,-9.274968
0.7,2e-06,83.968659,92.115292,7.574857,-18.643017
0.75,2e-06,84.739835,93.229009,1.999927,-43.988727
0.8,1e-06,85.514085,94.351612,-9.316556,-69.6742
0.85,1e-06,85.802476,94.77089,-14.960587,-79.336916
0.9,1e-06,85.86909,94.867817,-16.366532,-81.577635
0.95,1e-06,85.873537,94.874285,-16.461596,-81.727161
1.0,1e-06,85.873537,94.874285,-16.459089,-81.723241
1.05,1e-06,85.873537,94.874285,-16.421354,-81.664556
1.1,1e-06,85.873537,94.874285,-16.258043,-81.410275
1.15,1e-06,85.873537,94.874285,-15.912565,-80.87015
1.2,1e-06,85.873537,94.874285,-15.750689,-80.61604
1.25,1e-06,85.873537,94.874285,-15.71341,-80.557416
1.3,1e-06,85.873537,94.874285,-15.71091,-80.553482
1.35,1e-06,85.873537,94.874285,-15.636149,-80.435818
1.4,1e-06,85.873537,94.874285,-14.52648,-78.672045
1.45,1e-06,85.873537,94.874285,-9.985559,-71.058153
1.5,1e-06,85.873537,94.874285,-0.08686,-50.770582
1.55,1e-06,85.873537,94.874285,9.228342,-8.671116
1.6,1e-06,85.873537,94.874285,3.211108,33.290769
1.65,1e-06,85.873537,94.874285,-5.041055,53.424421
1.7,1e-06,85.873537,94.874285,-8.98525,60.969001
1.75,1e-06,85.873537,94.874285,-9.960745,62.715924
1.8,1e-06,85.873537,94.874285,-10.026636,62.832495
1.85,1e-06,85.86405,94.857715,-10.038793,62.845342
1.9,1e-06,85.721715,94.609164,-10.22103,63.038398
1.95,1e-06,85.106998,93.536914,-11.006809,63.875205
2.0,1e-06,83.811312,91.28233,-12.655459,65.655228
2.05,1e-06,83.206375,90.232338,-13.421185,66.493749
2.1,1e-06,83.067183,89.990993,-13.596953,66.687344
2.15,1e-06,83.057908,89.974908,-13.60866,66.700246
2.2,1e-06,83.023702,89.915588,-13.614137,66.681662
2.25,1e-06,82.511608,89.028511,-13.696538,66.403147
2.3,1e-06,80.315901,85.238992,-14.061802,65.196895
2.35,1e-06,74.570421,75.435061,-15.110236,61.954863
2.4,0.0,63.044565,56.306174,-17.599676,55.144215
2.45,-2e-06,43.139041,25.304572,-22.705898,42.839483
2.5,-8e-06,13.743148,-14.286309,-29.101927,25.051616
2.55,-1.5e-05,-9.152772,-38.728983,-29.765237,12.920298
2.6,-2.4e-05,-23.909415,-51.302866,-27.319759,6.263818
2.65,-3.3e-05,-31.760936,-57.024734,-25.091313,3.109108
2.7,-3.5e-05,-34.854459,-59.105534,-24.045982,1.937583
2.75,-3.6e-05,-35.583431,-59.582056,-23.786359,1.667253
2.8,-3.6e-05,-35.632243,-59.613795,-23.768831,1.649228
2.85,-3.6e-05,-35.632257,-59.613795,-23.77095,1.72598
2.9,-3.6e-05,-35.632554,-59.613843,-23.805426,2.87732
2.95,-3.6e-05,-35.633783,-59.614103,-24.007307,7.867932
3.0,-3.6e-05,-35.63711,-59.614813,-24.969741,21.326921
3.05,-3.3e-05,-35.644124,-59.616288,-28.080151,45.185854
3.1,-3.3e-05,-35.65688,-59.618986,-30.571749,58.880056
3.15,-3.3e-05,-35.677889,-59.623419,-31.607957,64.000177
3.2,-3.3e-05,-35.710111,-59.630195,-31.84282,65.184539
