timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.045912,2.07627,1.010412,-0.753368,1.4e-05
0.05,-0.232495,2.048588,0.982388,-0.735814,1.4e-05
0.1,-0.735426,1.975542,0.90733,-0.70475,1.4e-05
0.15,-1.798417,1.828814,0.751108,-0.65549,1.2e-05
0.2,-3.738213,1.587744,0.474086,-0.591076,1.2e-05
0.25,-6.941751,1.264626,0.037678,-0.537766,8e-06
0.3,-11.837266,0.952182,-0.583504,-0.57333,0.0
0.35,-18.786439,0.901144,-1.381776,-1.812998,-3.2e-05
0.4,-27.824787,1.618138,-2.285328,-3.620785,-0.00011
0.45,-37.63398,3.676788,-3.176704,-5.444976,-0.000322
0.5,-44.145951,5.919602,-4.38344,-6.778083,-0.000892
0.55,-48.145539,7.64262,-6.19589,-6.701285,-0.002424
0.6,-50.60942,8.705643,-8.769492,-6.562816,-0.00656
0.65,-52.107585,9.158469,-12.198942,-6.702274,-0.017686
0.7,-52.986135,9.175583,-16.323455,-7.97147,-0.034188
0.75,-53.463562,9.0869,-19.889028,-10.329235,-0.046866
0.8,-53.693575,8.956701,-22.777767,-11.007015,-0.055562
0.85,-53.785407,8.817296,-25.079123,-10.94211,-0.06122
0.9,-53.813647,8.698124,-26.873092,-10.870973,-0.011808
0.95,-53.822529,8.615196,-28.235427,-11.60814,0.780038
1.0,-53.828222,8.565204,-29.24062,-14.457612,4.217702
1.05,-53.832372,8.536156,-29.958627,-22.777894,13.479492
1.1,-53.8355,8.519778,-30.451067,-39.660709,33.088332
1.15,-53.838194,8.51136,-30.77131,-55.720851,64.363407
1.2,-53.841155,8.508324,-30.965059,-61.071652,84.679005
1.25,-53.845141,8.50958,-31.070643,-63.284769,94.451483
1.3,-53.850987,8.514794,-31.119144,-64.584793,98.104596
1.35,-53.859624,8.52421,-31.134649,-65.366461,98.948869
1.4,-53.868097,8.541798,-31.133013,-65.774387,99.007601
1.45,-53.826156,8.611838,-31.109261,-65.817554,99.011993
1.5,-53.593988,8.856052,-31.020684,-65.171664,99.020073
1.55,-52.945803,9.479838,-30.741353,-63.52203,99.034758
1.6,-51.596332,10.779014,-30.012801,-60.505593,99.061553
1.65,-49.262326,13.148338,-28.424263,-55.756187,99.110696
1.7,-45.766154,17.084202,-25.382831,-48.90273,99.200479
1.75,-41.154506,23.161837,-20.066261,-39.567358,99.362928
1.8,-35.752403,31.9741,-11.356236,-26.481323,99.648382
1.85,-31.514418,40.683697,0.284836,-11.209456,100.080843
1.9,-29.116557,46.967782,14.145896,2.404599,100.507764
1.95,-27.735583,52.506803,31.90811,10.536001,100.434284
2.0,-26.960965,58.031999,50.151712,12.544633,100.190583
2.05,-26.558385,62.560305,64.054723,15.205536,100.002077
2.1,-26.376915,65.92097,74.077985,17.71406,99.870172
2.15,-26.315361,68.199828,80.830699,19.672724,99.58314
2.2,-26.306385,69.609224,85.017639,20.95175,98.593528
2.25,-26.310695,70.396704,87.353147,21.560887,96.01214
2.3,-26.314421,70.77791,88.472943,21.504314,90.615963
2.35,-26.316811,70.921481,88.891429,20.57262,80.869467
2.4,-26.318189,70.955154,88.988506,18.034698,64.96281
2.45,-26.318862,70.957722,88.99522,12.152013,40.848831
2.5,-26.319113,70.957872,88.995302,3.926164,16.979217
2.55,-26.319167,70.957941,88.995459,-2.691308,1.485536
2.6,-26.319174,70.95807,88.995883,-7.160758,-7.917546
2.65,-26.317141,70.957387,88.996252,-9.729734,-13.091585
2.7,-26.286656,70.941712,88.986314,-10.911144,-15.547708
2.75,-26.154394,70.871846,88.937034,-11.19014,-16.462004
2.8,-25.796911,70.684309,88.801455,-10.899644,-16.67582
2.85,-25.036547,70.297816,88.520447,-10.174928,-16.694726
2.9,-23.631367,69.630363,88.037471,-8.953946,-16.708176
2.95,-21.256119,68.635663,87.328251,-7.102032,-16.81358
3.0,-17.475437,67.372788,86.453249,-4.524678,-17.240921
3.05,-11.728149,66.130028,85.642478,-1.145568,-18.374571
3.1,-4.05961,65.610141,85.407083,2.962448,-20.756168
3.15,1.969982,66.067088,85.876474,7.094848,-25.088813
3.2,6.072304,66.822828,86.555825,11.998402,-32.238927
3.25,8.704822,67.515921,87.187522,18.243726,-43.220269
3.3,10.28206,68.027448,87.687382,25.830334,-59.117842
3.35,11.141617,68.358343,88.060051,34.188256,-74.666542
3.4,11.547208,68.54769,88.319407,39.528579,-85.041545
3.45,11.697517,68.642916,88.485982,42.700782,-91.671042
3.5,11.732182,68.690789,88.599165,44.774079,-95.612656
3.55,11.734499,68.72091,88.684556,46.293366,-97.701389
3.6,11.734501,68.744604,88.753035,47.486487,-98.610692
