timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.063885,0.095827,-0.063885,0.063885,0.095827
0.05,-2e-06,0.410655,0.379114,0.136567,6e-06
0.1,-1e-06,2.072885,1.928677,0.431936,-9e-06
0.15,0.0,6.510976,6.179519,1.524489,-4.8e-05
0.2,2e-06,15.808402,15.573492,4.469893,-0.000129
0.25,5e-06,30.846477,31.928081,10.500924,-0.000268
0.3,5e-06,41.219207,43.862751,15.177193,-0.00049
0.35,6e-06,46.552198,50.16499,17.53859,-0.000814
0.4,6e-06,48.629373,52.646661,18.210512,-0.001265
0.45,6e-06,49.117442,53.231831,18.008702,-0.001865
0.5,6e-06,49.150089,53.271012,17.530732,-0.002639
0.55,6e-06,49.149592,53.269994,17.00365,-0.003604
0.6,6e-06,49.142006,53.254667,16.438812,-0.004787
0.65,6e-06,49.109154,53.188295,15.814408,-0.006199
0.7,6e-06,49.021055,53.009962,15.092345,-0.00786
0.75,6e-06,48.877395,52.701972,14.257919,-0.00978
0.8,6e-06,48.874537,52.563702,13.482466,-0.01197
0.85,6e-06,48.945066,52.545502,12.764059,-0.014436
0.9,6e-06,48.99765,52.558101,12.077148,-0.017181
0.95,6e-06,49.026654,52.570764,11.397549,-0.020201
1.0,6e-06,48.974741,52.472532,10.655387,-0.023493
1.05,6e-06,48.049244,50.941945,9.060434,-0.027047
1.1,5e-06,44.342674,44.657119,4.56527,-0.030849
1.15,3e-06,36.25151,29.772716,-5.603585,-0.03488
1.2,1e-06,28.430811,16.178128,-14.657299,-0.03912
1.25,0.0,16.869396,8.705769,-15.08651,-0.043544
1.3,-1e-06,6.456509,5.347143,-12.156415,-0.048119
1.35,-1e-06,4.134124,4.844998,-11.749419,-0.052814
1.4,-1e-06,3.982456,4.818429,-12.29708,-0.05759
1.45,-1e-06,3.989361,4.832082,-12.890526,-0.062409
1.5,-1e-06,4.015434,4.890546,-13.42938,-0.067229
1.55,-1e-06,4.076953,5.046487,-13.869047,-0.072
1.6,0.0,4.194162,5.373419,-14.146666,-0.076679
1.65,0.0,4.348276,5.883114,-14.235135,-0.081211
1.7,0.0,4.400794,6.199907,-14.414964,-0.085551
1.75,0.0,4.426477,6.350498,-14.706485,-0.089643
1.8,0.0,4.436157,6.406489,-15.042476,-0.093435
1.85,0.0,4.4384,6.41942,-15.374324,-0.096876
1.9,0.0,4.438548,6.420275,-15.671756,-0.099915
1.95,2e-06,8.97936,11.799021,-13.570524,-0.1025
2.0,5e-06,18.96901,23.798336,-8.430535,-0.104584
2.05,6e-06,30.732611,37.657268,-2.560055,-0.106124
2.1,7e-06,41.42014,49.623821,2.191796,-0.107073
2.15,7e-06,47.937867,55.512134,3.704445,-0.107397
2.2,6e-06,46.929639,50.355532,2.444309,-0.075786
2.25,3e-06,36.220769,28.116076,-4.967301,-0.022344
2.3,0.0,29.230596,9.264253,-9.982495,8e-06
2.35,-1e-06,25.261502,1.744368,-7.168068,-0.016371
2.4,-1e-06,18.631239,-1.625078,-2.893279,-0.032719
2.45,-1e-06,9.843876,2.416815,4.302819,-0.018631
2.5,4e-06,7.272316,17.801208,14.953403,-0.000917
2.55,2.4e-05,14.429879,35.929093,20.613217,-0.009257
2.6,3.5e-05,18.297448,42.612048,18.269351,-0.040842
2.65,2.1e-05,15.57311,36.485853,11.255161,-0.060674
2.7,8e-06,10.291494,23.591805,4.77153,-0.039626
2.75,1e-06,6.563238,9.49788,0.386385,-0.006465
2.8,-2e-06,6.36159,-2.603524,-2.190543,-0.005486
2.85,-3e-06,9.690979,-11.717123,-4.133943,-0.052087
2.9,-4e-06,14.692259,-17.498007,-6.026276,-0.119577
2.95,-4e-06,17.683652,-19.929498,-7.562981,-0.15403
3.0,-4e-06,15.47576,-18.7736,-7.972993,-0.117915
3.05,-4e-06,9.167456,-12.518903,-5.107469,-0.048273
3.1,-1e-06,5.651131,2.147861,2.030147,-0.003308
3.15,9e-06,12.403209,26.180769,11.688014,-0.011004
3.2,2.2e-05,22.104937,44.145838,15.589972,-0.052669
3.25,2.3e-05,26.990106,50.28513,15.434291,-0.077887
3.3,1.5e-05,25.426317,44.615492,13.401296,-0.056055
3.35,8e-06,18.683219,29.098587,8.864905,-0.017019
3.4,1e-06,12.100451,10.471972,3.057292,-5.8e-05
3.45,-2e-06,10.364897,-2.793314,-0.620675,-0.021584
3.5,-3e-06,11.34531,-9.355241,-1.351515,-0.064068
3.55,-3e-06,11.475787,-11.344318,-0.833728,-0.087255
3.6,-3e-06,9.610656,-9.761954,-1.649979,-0.055695
3.65,-2e-06,7.55857,-2.457843,-1.662817,-0.008742
3.7,2e-06,9.353146,12.062777,1.295176,-0.005937
3.75,9e-06,14.36012,27.705027,4.913966,-0.04825
3.8,1.7e-05,15.035571,33.584703,6.700971,-0.07791
3.85,1.6e-05,11.145902,29.744357,7.238561,-0.062509
3.9,7e-06,7.964383,20.025614,4.102876,-0.031329
