timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.058727,-0.017875,-0.040117,-0.061147,0.104987
0.05,-0.058725,-0.013206,-0.038686,-0.063452,0.104986
0.1,-0.058714,0.019452,-0.028779,-0.079592,0.104976
0.15,-0.058684,0.108095,-0.001844,-0.123387,0.104949
0.2,-0.058626,0.280704,0.050728,-0.20872,0.104895
0.25,-0.058531,0.565204,0.137809,-0.349621,0.104802
0.3,-0.058389,0.989447,0.268526,-0.560201,0.104653
0.35,-0.058194,1.581205,0.452621,-0.854874,0.104427
0.4,-0.057937,2.368028,0.70059,-1.248443,0.104092
0.45,-0.057615,3.37728,1.023962,-1.756165,0.103609
0.5,-0.057223,4.636034,1.435692,-2.393984,0.102923
0.55,-0.058386,10.800675,5.283842,-6.693476,0.093454
0.6,-0.05551,11.130736,3.769058,-5.803286,0.097842
0.65,-0.052252,12.400806,2.48511,-5.335936,0.101543
0.7,-0.054003,20.386146,7.732993,-11.033002,0.086706
0.75,-0.054215,22.318039,8.919208,-12.352139,0.08322
0.8,-0.05301,23.002564,8.497198,-12.274401,0.084095
0.85,-0.052802,25.7624,9.854256,-13.934964,0.079792
0.9,-0.052676,29.446482,11.795437,-16.227968,0.073546
0.95,-0.052662,30.367503,12.301146,-16.815398,0.071902
1.0,-0.052998,34.833432,14.362243,-19.264665,0.067283
1.05,-0.055807,41.58437,19.531836,-24.207107,0.055391
1.1,-0.055007,42.273004,19.203172,-24.174437,0.055973
1.15,-0.054085,45.570206,20.013048,-25.503706,0.053446
1.2,-0.058486,54.734728,29.213928,-33.475648,0.031082
1.25,-0.058953,55.792083,30.35709,-34.42833,0.028365
1.3,-0.058247,57.323319,30.529211,-34.865291,0.027409
1.35,-0.06079,63.765936,37.695691,-40.583519,0.011157
1.4,-0.064996,67.504016,46.66834,-46.7551,-0.006409
1.45,-0.065382,68.428831,48.225196,-47.882782,-0.009535
1.5,-0.065645,69.292665,49.595851,-48.885317,-0.012302
1.55,-0.066337,71.493373,53.440261,-51.630991,-0.019744
1.6,-0.061745,74.213489,48.145491,-49.070333,-0.01304
1.65,-0.062053,75.650724,50.281974,-50.643571,-0.017519
1.7,-0.063374,78.122556,56.249217,-54.680346,-0.028589
1.75,-0.063287,79.061509,57.48893,-55.596541,-0.031197
1.8,-0.062727,81.207643,59.545125,-57.182385,-0.035938
1.85,-0.060696,88.528636,69.127539,-63.995977,-0.055139
1.9,-0.060084,89.899032,70.764605,-65.177306,-0.058491
1.95,-0.059744,90.397601,70.466925,-65.105971,-0.058653
2.0,-0.057092,95.58791,76.299811,-69.312568,-0.070525
2.05,-0.055595,97.94856,79.954789,-71.767939,-0.076934
2.1,-0.054528,99.507435,81.893558,-73.110714,-0.080617
2.15,-0.051785,103.67344,85.396981,-75.655389,-0.088558
2.2,-0.0511,104.676221,86.185499,-76.243298,-0.090499
2.25,-0.0498,106.620291,87.63492,-77.326846,-0.094076
2.3,-0.047136,110.557417,90.60972,-79.512104,-0.101213
2.35,-0.047028,111.004221,90.264051,-79.409801,-0.10156
2.4,-0.047183,111.049484,89.6184,-79.089137,-0.101192
2.45,-0.046195,112.10145,91.221343,-80.103352,-0.103909
2.5,-0.045554,112.62008,92.361711,-80.791193,-0.105594
2.55,-0.046046,111.920231,91.70197,-80.354594,-0.104424
2.6,-0.047518,109.920686,89.708572,-79.019476,-0.100651
2.65,-0.050319,105.991497,85.710282,-76.313342,-0.092828
2.7,-0.054369,99.675758,79.323092,-71.888356,-0.079847
2.75,-0.0591,90.71052,70.556257,-65.436935,-0.061202
2.8,-0.063542,78.908752,59.516035,-57.042076,-0.03654
2.85,-0.066494,64.093874,46.697604,-46.452526,-0.007306
2.9,-0.067181,34.467276,25.421595,-26.667664,0.041666
2.95,-0.069532,13.230579,13.889033,-13.603771,0.068779
3.0,-0.075634,-5.247937,7.271611,-4.033011,0.07272
3.05,-0.07795,-15.538243,4.423454,0.808766,0.063944
