timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.058727,-0.017806,-0.039916,-0.061298,0.104987
0.05,-0.058782,-0.054071,-0.027457,-0.058794,0.10492
0.1,-0.059614,-0.595797,0.161643,-0.023513,0.103898
0.15,-0.063264,-2.898397,1.018009,0.0916,0.098938
0.2,-0.073204,-8.7217,3.615272,0.095455,0.080876
0.25,-0.087913,-17.560544,9.168246,-0.976046,0.030382
0.3,-0.091312,-21.742208,12.835901,-2.196789,-0.008107
0.35,-0.09201,-23.13703,14.28874,-2.759704,-0.023138
0.4,-0.092127,-23.446646,14.630885,-2.897777,-0.026644
0.45,-0.092134,-23.467118,14.653816,-2.907101,-0.026878
0.5,-0.092054,-23.473113,14.639004,-2.929077,-0.026691
0.55,-0.090849,-23.56322,14.41725,-3.259273,-0.023899
0.6,-0.085635,-23.951614,13.455842,-4.694929,-0.011863
0.65,-0.071671,-24.981195,10.86307,-8.600898,0.020023
0.7,-0.042907,-27.048524,5.334775,-17.028075,0.084812
0.75,0.005522,-30.21271,-5.298334,-32.941504,0.193344
0.8,0.058451,-32.943765,-22.520614,-57.648941,0.316923
0.85,0.0812,-30.505735,-38.419452,-74.25865,0.372949
0.9,0.093551,-20.147508,-51.827189,-82.013073,0.37857
0.95,0.098154,-12.010127,-57.391484,-86.022387,0.359081
1.0,0.098576,-8.590071,-59.174525,-87.669385,0.349734
1.05,0.098576,-7.770775,-59.563013,-88.060891,0.347444
1.1,0.098575,-7.715754,-59.588613,-88.087126,0.347291
1.15,0.098457,-7.678844,-59.487423,-88.090111,0.346432
1.2,0.096681,-7.11898,-57.966893,-88.139486,0.333585
1.25,0.088702,-4.566284,-51.319299,-88.444133,0.278702
1.3,0.070939,1.563223,-36.251919,-88.37228,0.165908
1.35,0.061708,5.279129,-24.67497,-80.024866,0.111972
1.4,0.044906,7.928094,-13.246844,-61.927454,0.092974
1.45,0.000262,12.232077,1.370128,-37.322295,0.07198
1.5,-0.044623,16.288555,11.042605,-22.083234,0.066126
1.55,-0.067643,18.31234,12.868248,-11.849478,0.075571
1.6,-0.058199,17.483242,0.081771,2.451189,0.108821
1.65,-0.038183,19.52248,-13.501936,12.593332,0.13795
1.7,-0.033419,21.487517,-16.303863,14.092386,0.145367
1.75,-0.032988,22.387362,-16.259952,13.784697,0.145645
1.8,-0.0334,22.82438,-15.803123,13.326937,0.144808
1.85,-0.040067,22.226735,-11.184705,10.24411,0.13373
1.9,-0.067447,23.392619,9.184945,-5.377089,0.090841
1.95,-0.082089,30.745396,30.31266,-26.460018,0.037535
2.0,-0.059602,32.134196,31.288601,-38.623354,-0.001679
2.05,-0.017247,30.185075,22.744441,-53.610097,-0.045842
2.1,0.020931,27.952129,9.865825,-76.386513,-0.086284
2.15,0.034197,25.760648,-1.626606,-92.148835,-0.092189
2.2,0.047035,19.350296,-18.907284,-96.933587,-0.014969
2.25,0.077394,8.505898,-45.590007,-91.967582,0.179047
2.3,0.093196,4.161572,-57.229506,-89.559701,0.275284
2.35,0.098012,2.029007,-60.346989,-88.832423,0.306211
2.4,0.100038,-0.393239,-61.452817,-88.405194,0.325062
2.45,0.101816,-3.901559,-62.372939,-87.949218,0.348229
2.5,0.094502,-6.416062,-56.977848,-89.224414,0.321051
2.55,0.065209,0.12573,-34.084273,-94.672699,0.142153
2.6,0.057149,1.802674,-22.561361,-88.1125,0.096762
2.65,0.049104,1.374284,-12.842391,-68.798002,0.098499
2.7,0.003055,3.649372,2.187156,-41.06559,0.079468
2.75,-0.04275,5.105717,10.015107,-23.663383,0.070175
2.8,-0.059211,2.868088,6.977744,-10.474489,0.085237
2.85,-0.058861,0.465854,1.320448,-2.09206,0.101688
2.9,-0.058736,0.011065,0.044625,-0.187697,0.10479
2.95,-0.058727,-0.017875,-0.040097,-0.061161,0.104987
