timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.347975,-0.088862,-0.364098,-0.02109,-2.2e-05
0.05,1.464689,-0.356414,-1.511918,0.880156,-2.2e-05
0.1,3.681372,-0.797624,-3.667582,2.636344,-2.2e-05
0.15,10.620802,-0.85709,-7.543808,6.585598,-2.4e-05
0.2,17.094874,-2.63485,-20.174139,17.567066,-2e-05
0.25,18.986826,-2.843192,-23.989581,21.213365,-2.4e-05
0.3,19.911396,-2.894792,-25.964778,23.156435,-2.2e-05
0.35,20.195346,-2.980194,-27.01913,24.131425,-2.2e-05
0.4,19.803077,-3.196932,-27.405374,24.292603,-2.2e-05
0.45,18.57209,-3.037202,-24.236487,21.257615,-2e-05
0.5,16.295059,-0.685768,-11.6115,10.937194,-2e-05
0.55,12.439127,17.774411,42.383684,-24.674864,-2.4e-05
0.6,5.120324,23.645061,58.445806,-35.007141,-2.2e-05
0.65,-18.689109,24.811207,62.61261,-38.469381,-2.6e-05
0.7,-25.862243,24.083829,59.863637,-36.606269,-2e-05
0.75,-29.649168,20.005518,49.455825,-30.368278,-1.8e-05
0.8,-31.946789,5.83218,13.335969,-8.480662,-2e-05
0.85,-33.166074,2.908338,4.580716,-2.681716,-2e-05
0.9,-33.551966,2.205714,2.317712,-1.131802,-1.6e-05
0.95,-33.20141,2.583978,3.628802,-2.055132,-2.2e-05
1.0,-32.103979,3.913294,8.006886,-5.07458,-1.8e-05
1.05,-30.098366,7.28016,18.00005,-11.649109,-2.6e-05
1.1,-26.788603,22.034308,54.949244,-33.763179,-1.6e-05
1.15,-21.30404,26.918544,67.068694,-40.874027,-1.8e-05
1.2,-4.235541,29.39446,72.901655,-43.889863,-2e-05
1.25,12.58445,31.920121,75.340019,-43.482651,-2e-05
1.3,17.90447,32.158508,74.02725,-41.824315,-2.6e-05
1.35,21.043283,30.386388,68.602024,-38.105076,-2.8e-05
1.4,22.944253,22.414743,48.640106,-26.073405,-2.8e-05
1.45,23.975315,15.445788,30.257926,-14.637217,-2e-05
1.5,24.305334,13.80803,25.616799,-11.62644,-1.8e-05
1.55,24.12487,13.256178,24.257917,-10.823473,-1.8e-05
1.6,23.577202,14.062318,26.868074,-12.639723,-1.8e-05
1.65,22.619812,17.735479,37.145758,-19.265435,-2.4e-05
1.7,21.176134,35.980583,81.332465,-45.238477,-2.8e-05
1.75,19.008982,41.619997,94.788655,-53.101248,-2.4e-05
1.8,15.734889,42.721156,98.325341,-55.604164,-2.8e-05
1.85,9.990384,40.862744,95.848844,-55.099464,-2.4e-05
1.9,-8.605806,36.357124,88.499178,-52.608115,-2e-05
1.95,-14.908768,29.960956,74.411537,-45.040702,-2.2e-05
2.0,-18.645117,12.250272,33.236995,-21.653709,-2.4e-05
2.05,-21.165607,7.980506,22.294117,-15.034459,-1.8e-05
2.1,-22.899778,6.247568,17.518013,-12.029426,-2.8e-05
2.15,-24.041347,5.804856,16.101418,-11.081144,-2.6e-05
2.2,-24.690169,6.35498,17.371756,-11.816142,-2e-05
2.25,-24.895336,8.00301,21.564024,-14.365081,-2.4e-05
2.3,-24.320779,11.748897,31.077371,-20.119401,-2.2e-05
2.35,-22.481761,26.596142,66.175804,-40.329368,-2e-05
2.4,-18.973586,31.606857,77.778847,-46.845945,-1.8e-05
2.45,-12.023214,33.944859,83.268557,-49.856256,-2.6e-05
2.5,10.379973,36.248435,85.619146,-49.476535,-2.6e-05
2.55,16.776215,34.994587,80.866189,-45.850377,-3e-05
2.6,19.905968,22.59136,50.743367,-28.065676,-1.8e-05
2.65,21.478443,12.496715,24.188946,-11.572251,-2.4e-05
2.7,21.968882,11.220554,20.344391,-8.993212,-2e-05
2.75,21.854478,11.512298,21.234793,-9.594358,-2e-05
2.8,21.501249,12.478489,24.123591,-11.52465,-2e-05
2.85,20.875211,14.536673,30.013033,-15.369365,-2.2e-05
2.9,19.907181,22.359637,50.182578,-27.736575,-2.8e-05
2.95,18.404961,31.506594,72.338465,-40.777059,-3e-05
3.0,15.742782,34.256749,79.5735,-45.316526,-2.4e-05
3.05,7.128343,34.675006,82.905355,-48.398652,-2e-05
3.1,4.128247,34.895457,83.984457,-49.314198,-2.2e-05
3.15,2.341576,33.767902,81.79657,-48.287511,-2.2e-05
3.2,1.149002,30.58959,74.925529,-44.617224,-2.2e-05
3.25,0.369566,24.177014,60.567105,-36.686001,-2.2e-05
3.3,-0.074811,6.556226,18.036592,-11.784646,-2.2e-05
3.35,-0.219504,2.30049,6.61859,-4.625092,-2.2e-05
3.4,-0.217678,0.53339,1.61165,-1.385222,-2.2e-05
3.45,-0.211992,0.016952,0.111008,-0.400906,-2.2e-05
3.5,-0.201738,0.017572,0.10986,-0.39895,-2.2e-05
3.55,-0.185073,0.017796,0.105712,-0.39427,-2.2e-05
3.6,-0.155457,0.01802,0.097802,-0.385594,-2.2e-05
3.65,-0.064008,0.022294,0.083812,-0.365594,-2.2e-05
3.7,-0.034407,0.00712,0.030838,-0.327232,-2.2e-05
3.75,-0.017752,0.003184,0.014464,-0.314496,-2.2e-05
3.8,-0.007505,0.00129,0.005936,-0.307664,-2.2e-05
3.85,-0.001822,0.000328,0.001462,-0.304044,-2.2e-05
3.9,7e-06,2.8e-05,4.4e-05,-0.302894,-2.2e-05
3.95,0.0,0.0,0.0,0.0,0.0
