timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.000655,-3.4e-05,5.4e-05,-0.001267,0.001969
0.05,-0.005301,-0.000554,-0.000102,-0.00404,0.007809
0.1,-0.017912,-0.001952,-0.000502,-0.007844,0.01746
0.15,-0.042472,-0.00467,-0.001302,-0.012546,0.030915
0.2,-0.082965,-0.009146,-0.002586,-0.018109,0.048213
0.25,-0.137907,-0.0152,-0.004334,-0.024536,0.069447
0.3,-0.178416,-0.019652,-0.00563,-0.031861,0.094758
0.35,-0.20299,-0.02234,-0.006398,-0.04014,0.124351
0.4,-0.21561,-0.023728,-0.006794,-0.049453,0.158499
0.45,-0.220259,-0.024226,-0.006948,-0.059907,0.197564
0.5,-0.220923,-0.024306,-0.006972,-0.071643,0.242017
0.55,-0.521209,-0.056714,-0.01636,-0.08485,0.292478
0.6,-2.631232,-0.26245,-0.076698,-0.099778,0.349773
0.65,-7.255395,-0.580102,-0.175408,-0.116778,0.415026
0.7,-9.377772,-0.66475,-0.20566,-0.136353,0.489819
0.75,-9.680434,-0.673654,-0.209216,-0.159275,0.576483
0.8,-9.562842,-0.670288,-0.207866,-0.186838,0.67869
0.85,-8.739009,-0.643346,-0.197552,-0.221521,0.802839
0.9,-6.498929,-0.540618,-0.162352,-0.269523,0.962119
0.95,-2.141803,-0.218132,-0.06357,-0.36897,1.195209
1.0,4.915662,0.653316,0.186304,-0.513619,2.586411
1.05,11.654132,1.916206,0.544268,-0.991117,7.481907
1.1,15.525889,2.854284,0.813816,-2.71677,21.031633
1.15,17.442015,3.382166,0.96758,-7.259122,60.005848
1.2,18.135066,3.584128,1.026832,-19.34952,92.185998
1.25,18.233509,3.613302,1.035414,-30.572661,110.202862
1.3,18.131497,3.583088,1.026548,-34.602216,118.899113
1.35,17.413166,3.373882,0.965152,-35.320035,111.05695
1.4,15.42587,2.827932,0.806186,-33.101535,93.319597
1.45,11.405619,1.861552,0.528692,-25.809277,70.242854
1.5,4.400566,0.574674,0.164044,-13.694126,44.11223
1.55,-5.587953,-0.48658,-0.145038,-3.992062,16.373919
1.6,-13.014691,-0.718946,-0.235616,3.061825,-11.868512
1.65,-17.426652,-0.625174,-0.233708,6.44016,-39.606826
1.7,-19.643578,-0.508512,-0.21607,3.180894,-65.737443
1.75,-20.450244,-0.45394,-0.206714,-9.792134,-88.814179
1.8,-20.565006,-0.445656,-0.20524,-15.255496,-106.551579
1.85,-20.313647,-0.463656,-0.208408,-14.390003,-114.393702
1.9,-18.538628,-0.572692,-0.226318,-11.109926,-105.718733
1.95,-13.604929,-0.716726,-0.237836,-6.772304,-87.740487
2.0,-3.745427,-0.355676,-0.104644,-2.366124,-55.613019
2.05,5.965335,0.821222,0.233804,0.273898,2.178016
2.1,10.726436,1.715478,0.487108,-3.474577,60.005848
2.15,12.426968,2.090322,0.59399,-10.011736,92.185895
2.2,12.667332,2.145792,0.609848,-16.548894,110.2028
2.25,12.59887,2.129934,0.605312,-20.297367,118.899127
2.3,12.118165,2.019982,0.573874,-18.344585,112.569741
2.35,10.800551,1.731182,0.49158,-14.495647,99.160816
2.4,8.183662,1.21027,0.343836,-8.172986,74.415765
2.45,3.740568,0.477436,0.136486,-2.30529,36.9342
2.5,-2.472824,-0.24832,-0.072496,-0.418205,2.18189
2.55,-7.120036,-0.573396,-0.173154,-1.359452,-32.559908
2.6,-9.937989,-0.68061,-0.212086,-6.355544,-70.001256
2.65,-11.379182,-0.708914,-0.225598,-12.184467,-94.70088
2.7,-11.908633,-0.714744,-0.229452,-15.747561,-108.080026
2.75,-11.984192,-0.715384,-0.229964,-17.559832,-114.393661
2.8,-11.600158,-0.711656,-0.227286,-15.843182,-107.754294
2.85,-8.900492,-0.649076,-0.199682,-12.525258,-93.585374
2.9,-2.996446,-0.29418,-0.086162,-8.477918,-76.002636
2.95,-0.302648,-0.033196,-0.009534,-3.967082,-57.004677
3.0,0.080295,0.008988,0.002654,-0.177615,-38.006704
3.05,0.080291,0.008988,0.002654,2.106027,-20.42398
3.1,0.080248,0.00899,0.002648,3.257307,-6.255074
3.15,0.080137,0.008976,0.002644,3.570518,0.384304
3.2,0.079922,0.008952,0.002648,3.289653,0.384304
3.25,0.079564,0.008908,0.002632,2.627229,0.384304
3.3,0.079033,0.008848,0.002602,1.777742,0.384304
3.35,0.078289,0.008772,0.002594,0.928323,0.384304
3.4,0.0773,0.00866,0.002558,0.26844,0.384304
3.45,0.07603,0.008516,0.002528,0.0,0.384304
