timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,6e-05,-0.002226,-0.00058,-0.411491,-0.003374
0.05,0.000117,-0.00544,-0.001462,-1.607152,-0.008174
0.1,0.000179,-0.010084,-0.002756,-3.523954,-0.01502
0.15,0.000247,-0.016796,-0.004696,-6.09255,-0.02479
0.2,0.00032,-0.026498,-0.007598,-9.237494,-0.038728
0.25,0.000401,-0.040568,-0.012028,-12.877577,-0.058616
0.3,0.000489,-0.060952,-0.01876,-16.926291,-0.086994
0.35,0.000586,-0.090576,-0.029196,-21.292445,-0.127484
0.4,0.00069,-0.13369,-0.045564,-25.880857,-0.185258
0.45,0.000804,-0.196634,-0.071512,-30.593193,-0.26769
0.5,0.000931,-0.288822,-0.113278,-35.328877,-0.385306
0.55,0.001071,-0.42242,-0.175716,-39.986093,-0.553124
0.6,0.001226,-0.60597,-0.239522,-44.462756,-0.79257
0.65,0.0014,-0.86383,-0.312256,-48.657639,-1.13421
0.7,0.001598,-1.231552,-0.40582,-52.471313,-1.621656
0.75,0.001829,-1.758894,-0.533022,-55.807208,-2.317116
0.8,0.002107,-2.516592,-0.709012,-58.57239,-3.309304
0.85,0.002454,-3.605623,-0.952248,-60.678554,-4.724683
0.9,0.002914,-5.170117,-1.283832,-62.042604,-6.743387
0.95,0.003469,-6.729793,-1.59404,-62.58723,-9.366182
1.0,0.004048,-7.809667,-1.796902,-62.614905,-11.377184
1.05,0.004647,-8.5579,-1.931716,-62.557546,-12.782452
1.1,0.005275,-9.07661,-2.02238,-62.461998,-13.765082
1.15,0.005931,-9.435504,-2.08177,-62.345359,-14.452498
1.2,0.006622,-9.683718,-2.12046,-62.216159,-14.93355
1.25,0.007356,-9.854772,-2.14411,-62.079398,-15.270302
1.3,0.008141,-9.971636,-2.155852,-61.938327,-15.506099
1.35,0.008986,-10.049854,-2.156864,-61.795242,-15.671232
1.4,0.009897,-10.099636,-2.1465,-61.651828,-15.786895
1.45,0.01088,-10.12714,-2.121982,-61.509405,-15.867906
1.5,0.011943,-10.135202,-2.077921,-61.369058,-15.924661
1.55,0.0131,-10.123584,-2.00506,-61.231683,-15.964427
1.6,0.014355,-10.088594,-1.88835,-61.098071,-15.992277
1.65,0.015717,-10.022122,-1.703826,-60.968912,-16.011797
1.7,0.0172,-9.90993,-1.41375,-60.844869,-16.025465
1.75,0.018811,-9.728404,-0.958732,-60.726508,-16.035046
1.8,0.020566,-9.439522,-0.245288,-60.614466,-16.041765
1.85,0.022474,-8.982284,0.873808,-60.509261,-16.046462
1.9,0.024547,-8.335702,2.436042,-60.411466,-16.049753
1.95,0.026802,-7.864446,3.564828,-60.321663,-16.041963
2.0,0.029252,-7.55818,4.289072,-60.240424,-16.03015
2.05,0.031913,-7.356982,4.75378,-60.168345,-16.01224
2.1,0.034805,-7.221214,5.052368,-60.106047,-15.984973
2.15,0.037934,-7.124176,5.24513,-60.054186,-15.943456
2.2,0.041319,-7.047136,5.37092,-60.013478,-15.880231
2.25,0.044966,-6.97569,5.455076,-59.984647,-15.783981
2.3,0.048873,-6.897118,5.514406,-59.968514,-15.637459
2.35,0.053027,-6.79809,5.560575,-59.96594,-15.414391
2.4,0.057392,-6.662292,5.602355,-59.977892,-15.074817
2.45,0.061895,-6.467816,5.647504,-60.005404,-14.557928
2.5,0.066411,-6.183435,5.704204,-60.049637,-13.771123
2.55,0.070734,-5.763596,5.782772,-60.111887,-12.573542
2.6,0.074568,-5.140972,5.89805,-60.193597,-10.750774
2.65,0.077495,-4.215262,6.073212,-60.296398,-7.976582
2.7,0.079003,-2.838472,6.341628,-60.422148,-3.754434
2.75,0.079244,-0.987426,6.728508,-60.572966,1.999412
2.8,0.081504,0.398646,7.03449,-60.751302,6.221996
2.85,0.08557,1.331836,7.244424,-60.960067,8.997034
2.9,0.090997,1.95792,7.381446,-61.202627,10.821011
2.95,0.09756,2.375378,7.462855,-61.483047,12.020114
3.0,0.105154,2.650004,7.49956,-61.806279,12.808748
3.05,0.113734,2.825258,7.49682,-62.178402,13.327793
3.1,0.123295,2.928934,7.454108,-62.607064,13.669894
3.15,0.133865,2.977594,7.365152,-63.102192,13.895906
3.2,0.145486,2.979177,7.216687,-63.676904,14.045856
3.25,0.158223,2.934354,6.98657,-64.349384,14.146038
3.3,0.172151,2.836824,6.64046,-65.145853,14.213722
3.35,0.187357,2.672496,6.12692,-66.106983,14.260188
3.4,0.203945,2.417875,5.36989,-67.302123,14.292736
3.45,0.222028,2.037194,4.257906,-68.869515,14.315896
3.5,0.241732,1.478834,2.62886,-71.184628,14.332232
3.55,0.263197,0.671174,0.24823,-74.624946,14.342711
3.6,0.286574,-0.115424,-2.115164,-78.51743,14.336456
3.65,0.312051,-0.638682,-3.713623,-82.251815,14.321972
3.7,0.33979,-0.987648,-4.796502,-84.761405,14.300842
3.75,0.369989,-1.221236,-5.530956,-86.405704,14.275114
3.8,0.40287,-1.37789,-6.029429,-87.670273,14.245116
3.85,0.438676,-1.483132,-6.36793,-88.706788,14.210072
3.9,0.477672,-1.554156,-6.597886,-89.586428,14.168236
3.95,0.520152,-1.602824,-6.754308,-90.349414,14.116826
4.0,0.566451,-1.637742,-6.861089,-91.021088,14.05196
4.05,0.615881,-1.66584,-6.934698,-91.618641,13.968312
4.1,0.662461,-1.694152,-6.987024,-92.154367,13.8587
4.15,0.705593,-1.729714,-7.026606,-92.637398,13.713463
4.2,0.745811,-1.781664,-7.060394,-93.074735,13.519606
4.25,0.783779,-1.863448,-7.09481,-93.471904,13.259606
4.3,0.820417,-1.996092,-7.137176,-93.833296,12.909869
4.35,0.854656,-2.127966,-7.176097,-94.162518,12.438528
4.4,0.885151,-2.207292,-7.19994,-94.462554,11.802606
