timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,8e-06,-0.054084,0.003166,-4.41404,0.002016
0.05,8e-06,-1.720812,0.117596,-16.955601,0.032384
0.1,1.8e-05,-12.49297,1.754224,-28.418617,0.16247
0.15,0.00023,-22.123415,4.86147,-46.715273,0.470932
0.2,-0.000407,-23.432018,5.439034,-68.701854,0.802452
0.25,-0.000373,-23.473738,5.458176,-82.964375,1.034318
0.3,-0.000373,-23.473661,5.458002,-87.739019,1.116324
0.35,-0.000377,-23.470823,5.453104,-84.075401,1.05307
0.4,-0.000399,-23.451542,5.41971,-73.113924,0.871482
0.45,-0.000513,-23.379919,5.296244,-54.951737,0.599734
0.5,-0.002395,-23.185688,4.965346,-31.612216,0.313974
0.55,0.00032,-22.745925,4.239492,-14.420778,0.153192
0.6,0.000108,-21.856435,2.856312,-5.679386,0.083384
0.65,4.4e-05,-20.166779,0.497134,-6.056918,0.064714
0.7,4.4e-05,-20.168283,0.498164,-10.706286,0.088762
0.75,4.5e-05,-20.214961,0.52943,-24.584241,0.182962
0.8,4.9e-05,-20.53119,0.743686,-47.31409,0.410032
0.85,7.6e-05,-21.680977,1.555188,-68.613335,0.71632
0.9,-0.000242,-24.610927,3.881276,-77.313568,0.933016
0.95,-0.000243,-24.610927,3.881276,-81.965549,1.010048
1.0,-0.000242,-24.610927,3.881306,-79.897982,0.975534
1.05,-0.000242,-24.610975,3.88134,-73.6952,0.8747
1.1,-0.000242,-24.611077,3.881494,-63.357005,0.716324
1.15,-0.000242,-24.61142,3.88189,-48.883063,0.517048
1.2,-0.000243,-24.612172,3.882762,-31.306753,0.314364
1.25,-0.000242,-24.613594,3.884542,-16.830506,0.182962
1.3,-0.000241,-24.616149,3.887596,-6.487154,0.11003
1.35,-0.000239,-24.620332,3.892644,-0.275328,0.07494
1.4,-0.000236,-24.626853,3.900524,1.806568,0.06471
1.45,-0.000232,-24.636556,3.912302,-4.219986,0.096702
1.5,-0.000228,-24.650528,3.929194,-22.333469,0.229698
1.55,-0.000221,-24.669969,3.952816,-49.507605,0.526738
1.6,-0.000212,-24.696427,3.98493,-67.593861,0.782586
1.65,-0.000203,-24.731541,4.027669,-73.564156,0.87687
1.7,-0.00019,-24.777312,4.083574,-69.26238,0.810946
1.75,-0.000177,-24.835937,4.155416,-56.531399,0.625836
1.8,-0.000162,-24.909877,4.246502,-35.36536,0.364308
1.85,-0.000148,-25.001884,4.360466,-14.158653,0.168926
1.9,-0.000133,-25.114882,4.501564,-1.304392,0.08626
1.95,-0.000119,-25.252097,4.674506,3.205794,0.06471
2.0,-0.000105,-25.416939,4.884588,0.662676,0.07936
2.05,-9.3e-05,-25.612965,5.13786,-7.642226,0.132056
2.1,-8.2e-05,-25.843798,5.441072,-21.698683,0.248302
2.15,-7.2e-05,-26.113183,5.801822,-40.036605,0.449678
2.2,-6.3e-05,-26.424677,6.228694,-53.88912,0.640074
2.25,-5.6e-05,-26.781704,6.73133,-61.783958,0.767734
2.3,-4.9e-05,-27.18732,7.32071,-63.707155,0.812364
2.35,-4.9e-05,-27.187175,7.320452,-57.987937,0.725848
2.4,-4.9e-05,-27.182408,7.313253,-40.841044,0.491226
2.45,-5e-05,-27.150005,7.264086,-15.184436,0.218236
2.5,-5.1e-05,-27.029505,7.082572,1.6719,0.094798
2.55,-5.7e-05,-26.70119,6.597426,6.577836,0.064704
2.6,-7.8e-05,-25.952878,5.53989,1.42017,0.081656
2.65,-0.000391,-24.414568,3.551818,-12.161723,0.144032
2.7,5.6e-05,-21.418037,0.252902,-35.216633,0.285228
2.75,5.6e-05,-21.418765,0.25451,-51.973973,0.47028
2.8,5.7e-05,-21.441656,0.304534,-61.956933,0.600756
2.85,6.3e-05,-21.596087,0.645712,-64.81325,0.647272
2.9,9.7e-05,-22.147305,1.92205,-59.949841,0.605078
2.95,-0.000373,-23.473738,5.458176,-45.979703,0.485912
3.0,-0.000375,-23.473747,5.458144,-30.800335,0.313656
3.05,-0.000374,-23.473497,5.458022,-11.067774,0.143134
3.1,-0.000375,-23.471761,5.457264,4.108524,0.055964
3.15,-0.000379,-23.465368,5.4543,13.206328,0.022788
3.2,-0.000394,-23.44815,5.446426,16.216886,0.01497
3.25,-0.000427,-23.410052,5.428962,13.411257,0.021984
3.3,-0.000506,-23.335971,5.39513,5.053076,0.051006
3.35,-0.000768,-23.204818,5.335638,-8.888274,0.125616
3.4,-0.005361,-22.988667,5.238278,-22.952648,0.232054
3.45,0.000633,-22.649013,5.088306,-31.693054,0.31058
3.5,0.000234,-22.140031,4.86853,-35.172059,0.339112
3.55,0.000122,-21.400781,4.560558,-34.26656,0.318734
3.6,7.1e-05,-20.355098,4.146794,-29.867984,0.261144
3.65,4.5e-05,-18.906544,3.614,-22.086038,0.177292
3.7,3.4e-05,-16.932823,2.95878,-11.046598,0.086356
3.75,2.3e-05,-14.278448,2.19634,-0.795264,0.027428
3.8,1.5e-05,-10.74625,1.372972,4.61197,0.005414
3.85,1.1e-05,-6.08835,0.584318,5.023016,0.000324
3.9,7e-06,1e-05,1e-05,0.302874,-1.4e-05
3.95,0.0,0.0,0.0,0.0,0.0
