timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.157458,0.092043,0.0,0.000379
0.05,0.0,0.314916,0.102396,0.0,0.006061
0.1,0.0,0.325353,0.25768,0.0,0.030682
0.15,-0.008122,0.481901,0.930578,0.0,0.096969
0.2,-0.129947,1.160276,2.742227,0.0,0.163257
0.25,-0.657857,2.98667,6.562217,0.0,0.187878
0.3,-2.079151,6.837751,13.508597,-0.02339,0.193559
0.35,-5.076054,13.840669,24.947865,-0.374234,0.193938
0.4,-9.787646,24.04891,36.387136,-1.894558,0.214842
0.45,-12.784547,31.051823,43.333507,-5.98774,0.528398
0.5,-14.205842,34.902905,47.153502,-14.618502,1.88714
0.55,-14.733751,36.729298,48.965148,-30.312929,5.545291
0.6,-14.855578,37.407672,49.638048,-46.007352,13.258764
0.65,-14.863699,37.56422,49.793329,-54.638119,27.285165
0.7,-14.863699,37.574657,49.803684,-58.731301,41.311559
0.75,-14.863699,37.574677,49.803793,-60.251626,49.025039
0.8,-14.863699,37.574998,49.805439,-60.602465,52.683189
0.85,-14.863699,37.576378,49.81258,-60.625859,54.041929
0.9,-14.863699,37.5801,49.831797,-60.625784,54.355486
0.95,-14.863699,37.587948,49.87232,-60.624636,54.376389
1.0,-14.863699,37.60222,49.946004,-60.619671,54.376246
1.05,-14.863699,37.625719,50.067356,-60.606304,54.374166
1.1,-14.863699,37.661766,50.253489,-60.578116,54.365143
1.15,-14.863699,37.714191,50.524187,-60.526848,54.340845
1.2,-14.863699,37.787325,50.901838,-60.442427,54.289612
1.25,-14.863699,37.860463,51.279496,-60.312934,54.196445
1.3,-14.863699,37.912891,51.550194,-60.183426,54.043025
1.35,-14.863699,37.948937,51.73633,-60.099012,53.831125
1.4,-14.863699,37.972437,51.857679,-60.047752,53.677702
1.45,-14.863699,37.986705,51.931363,-60.019563,53.584535
1.5,-14.863699,37.994556,51.971886,-60.00619,53.533305
1.55,-14.863699,37.998279,51.991103,-60.001224,53.509007
1.6,-14.863699,37.999658,51.998244,-60.000077,53.49998
1.65,-14.862275,37.999979,51.99989,-60.000002,53.497897
1.7,-14.84092,38.0,51.999999,-59.990521,53.497757
1.75,-14.748378,37.993993,51.991782,-59.848296,53.486617
1.8,-14.49923,37.903916,51.868521,-59.232002,53.319506
1.85,-13.973881,37.513598,51.334401,-57.572744,52.595359
1.9,-13.018572,36.462736,49.896373,-54.074075,50.645726
1.95,-11.445374,34.246913,46.864196,-47.712,46.534806
2.0,-9.032188,30.2176,41.350399,-37.234964,39.059379
2.05,-5.831511,23.582143,32.270301,-22.765032,26.748879
2.1,-3.418324,14.417853,19.729693,-12.288,14.438374
2.15,-1.845126,7.782399,10.649597,-5.925927,6.962955
2.2,-0.889818,3.753086,5.135804,-2.427258,2.852024
2.25,-0.364469,1.537264,2.103626,-0.768,0.902401
2.3,-0.115319,0.486398,0.665599,-0.151705,0.178251
2.35,-0.022779,0.096077,0.131474,-0.00948,0.01114
2.4,-0.001424,0.006004,0.008217,0.0,0.0
2.45,0.0,0.0,0.0,0.0,0.0
