timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,-1.586977,4.171784,4.372455,-7.475099,-0.157917
0.1,-2.372743,6.123361,6.599625,-11.026426,-0.138177
0.15,-3.228542,8.125653,9.070815,-14.727006,-0.02588
0.2,-4.111843,10.016869,11.65837,-18.301791,0.202563
0.25,-5.009508,11.719916,14.292221,-21.619741,0.553371
0.3,-5.924321,13.209328,16.92609,-24.635032,1.020461
0.35,-6.862184,14.47959,19.509332,-27.331719,1.591372
0.4,-7.826237,15.531695,21.979358,-29.701385,2.25101
0.45,-8.81765,16.377089,24.272544,-31.751647,2.982693
0.5,-9.832687,17.02977,26.324565,-33.493803,3.769229
0.55,-10.86376,17.5082,28.079627,-34.94736,4.592553
0.6,-11.899527,17.833272,29.494878,-36.137213,5.433766
0.65,-12.925567,18.027017,30.544036,-37.091687,6.273421
0.7,-13.925376,18.111766,31.219763,-37.841017,7.092155
0.75,-14.881485,18.109553,31.534673,-38.41603,7.87151
0.8,-15.776542,18.041731,31.521046,-38.847189,8.594773
0.85,-16.594254,17.928683,31.229425,-39.163769,9.247672
0.9,-17.320074,17.789571,30.726217,-39.393331,9.818837
0.95,-17.941635,17.642085,30.090497,-39.561272,10.300041
1.0,-18.448875,17.502151,29.41005,-39.690451,10.686226
1.05,-18.833931,17.383612,28.77683,-39.80094,10.975337
1.1,-19.090792,17.297891,28.281949,-39.909693,11.168436
1.15,-19.214857,17.25371,28.010384,-40.030332,11.268975
1.2,-19.202416,17.256838,28.03578,-40.172905,11.283081
1.25,-19.050202,17.309984,28.415677,-40.343732,11.218307
1.3,-18.755081,17.412818,29.18699,-40.545345,11.079926
1.35,-18.313957,17.562158,30.364811,-40.776506,10.865122
1.4,-17.723943,17.752346,31.940232,-41.032406,10.869542
1.45,-16.982815,17.975738,33.883496,-41.304995,10.411984
1.5,-16.089667,18.223366,36.148681,-41.583476,9.859688
1.55,-15.045722,18.485649,38.671537,-41.854853,9.196583
1.6,-13.855102,18.753104,40.857027,-42.104698,8.396534
1.65,-12.52543,19.016954,44.459914,-42.317878,7.428538
1.7,-11.068078,19.270332,47.593629,-42.479368,6.267114
1.75,-9.498069,19.507823,50.029411,-42.57498,4.905172
1.8,-7.83243,19.726551,51.59962,-42.592076,3.365004
1.85,-6.090279,19.92414,51.832195,-42.520154,1.701462
1.9,-4.290177,20.092296,51.876127,-42.351291,-0.005728
1.95,-2.451546,20.207871,50.641888,-42.080471,-1.669142
2.0,-0.601927,20.704627,48.632552,-41.705709,-3.214204
2.05,1.212751,20.498755,45.994637,-41.228026,-4.59575
2.1,3.567183,20.167105,42.869983,-40.651841,-5.804812
2.15,4.96218,19.699155,39.372209,-39.983873,-6.863269
2.2,6.191998,19.081839,35.586904,-39.233635,-7.809756
2.25,7.29809,18.309483,31.592698,-38.411085,-8.675172
2.3,8.30974,17.387529,27.467995,-37.521402,-9.481116
2.35,9.223364,16.341916,23.293109,-36.55939,-10.224063
2.4,10.02444,15.203912,19.116018,-35.932741,-10.892109
2.45,10.686475,14.00636,14.965756,-34.558015,-11.448212
2.5,11.191134,12.77855,10.859216,-33.206467,-11.876945
2.55,11.529349,11.552028,6.842526,-31.857696,-12.189014
2.6,11.536722,10.437015,3.03147,-30.564021,-12.252412
2.65,11.51693,9.35002,-0.50198,-29.344504,-12.293953
2.7,11.442677,8.382236,-3.565996,-28.274726,-12.287856
2.75,11.286302,7.63428,-5.954964,-27.435289,-12.208292
2.8,11.01992,7.193656,-7.502722,-26.892215,-12.030427
2.85,10.613159,7.376168,-7.378894,-26.947207,-11.717022
2.9,10.042442,7.706153,-6.975538,-27.105872,-11.27423
2.95,9.277908,8.273327,-6.042498,-27.457915,-10.676164
3.0,8.235774,9.175262,-4.3292,-28.093697,-9.857018
3.05,6.995753,10.492678,-1.443292,-29.14747,-8.874708
3.1,5.58439,12.063848,2.286228,-30.495244,-7.758892
3.15,4.025199,13.611744,6.13923,-31.877712,-6.541722
3.2,2.330058,15.038499,9.876066,-33.209534,-5.238118
3.25,0.508548,16.246694,13.205546,-34.393489,-3.841956
3.3,-1.411259,17.161846,15.863871,-35.34097,-2.383242
3.35,-3.386942,17.775521,17.791914,-36.030549,-0.90244
3.4,-5.340928,18.087787,18.942201,-36.44551,0.545534
3.45,-7.188497,18.020243,18.890232,-36.443943,1.896872
3.5,-8.852209,17.848807,18.690299,-36.381566,3.109116
3.55,-10.282461,17.579145,18.242392,-36.22775,4.1466
3.6,-11.461636,17.08801,16.925993,-35.776678,4.991968
3.65,-12.393685,16.511496,15.257697,-35.203782,5.654242
3.7,-13.100281,15.888413,13.370844,-34.555092,6.150838
3.75,-13.617409,15.250639,11.390977,-33.8735,6.509168
3.8,-13.959983,14.636279,9.449594,-33.204326,6.74114
3.85,-14.136272,14.082203,7.660644,-32.583076,6.852242
3.9,-14.175632,13.632366,6.17275,-32.060652,6.865166
3.95,-14.077919,13.346159,5.160126,-31.705209,6.783496
4.0,-13.804452,13.293478,4.805366,-31.583136,6.580814
4.05,-13.398819,13.514037,5.2636,-31.749366,6.29018
4.1,-12.887665,13.998106,6.543608,-32.205933,5.930682
4.15,-12.299747,14.713928,8.612404,-32.936514,5.522302
4.2,-11.685916,15.608429,11.401788,-33.898488,5.101732
4.25,-11.08666,16.592855,14.728569,-35.036213,4.697694
4.3,-10.514237,17.594572,18.440304,-36.293061,4.31723
4.35,-9.964142,18.553189,22.408362,-37.620866,3.955182
4.4,-9.391213,19.423719,26.529619,-38.980351,3.576976
4.45,-8.738586,20.167148,30.703124,-40.333148,3.139564
4.5,-7.944168,20.746655,34.789681,-41.629204,2.595722
4.55,-6.95073,21.134776,38.603102,-42.805759,1.901424
4.6,-5.732051,21.32353,41.924937,-43.794845,1.035106
4.65,-4.295691,21.332072,44.552743,-44.539974,0.000418
4.7,-2.684912,21.199036,46.367637,-45.01525,-1.17174
4.75,-0.970396,20.996925,46.804175,-45.07456,-2.430622
4.8,0.76304,20.703265,46.947988,-45.032001,-3.710024
4.85,2.431872,20.333649,46.889344,-44.918493,-4.947968
4.9,3.968083,19.915047,46.723644,-44.767782,-6.093046
4.95,5.330674,19.532249,45.641394,-44.366235,-7.114506
5.0,6.504431,19.165832,44.192639,-43.868003,-7.999112
5.05,7.505344,18.807576,42.696103,-43.361821,-8.757377
5.1,8.359572,18.460828,40.994939,-42.802849,-9.408806
5.15,9.100866,18.111507,39.136017,-42.200973,-9.978588
5.2,9.754036,17.750169,37.200926,-41.577168,-10.485052
5.25,10.332743,17.372991,35.208204,-40.935625,-10.938354
5.3,10.842685,16.983388,33.214776,-40.293031,-11.342279
5.35,11.288238,16.588723,31.274347,-39.665842,-11.699404
5.4,11.678712,16.193887,29.415439,-39.062907,-12.01615
5.45,12.025444,15.795974,27.609389,-38.475357,-12.301121
5.5,12.342492,15.385542,25.810446,-37.888326,-12.565364
5.55,12.638229,14.951989,23.96754,-37.285323,-12.815888
5.6,12.895985,14.497427,22.048785,-36.657571,-13.040428
5.65,13.112753,14.029022,20.093814,-36.017596,-13.236199
5.7,13.267253,13.574794,18.198597,-35.422929,-13.373389
5.75,13.268661,13.219464,16.526536,-34.907451,-13.390286
5.8,13.24098,12.951024,15.257953,-34.512656,-13.382676
5.85,13.156564,12.798726,14.418639,-34.252688,-13.327877
5.9,12.987762,12.774224,13.975508,-34.121453,-13.204454
5.95,12.706571,12.884274,13.892586,-34.110426,-12.991352
6.0,12.247286,13.212676,14.40539,-34.298355,-12.636336
6.05,11.660382,13.766542,15.677827,-34.732355,-12.177864
6.1,10.971335,14.489599,17.589209,-35.372259,-11.637102
6.15,10.217277,15.311196,20.004354,-36.207813,-11.025088
6.2,9.425863,16.179509,22.839666,-37.175647,-10.383614
6.25,8.607471,17.061676,26.100762,-38.272388,-9.722172
6.3,7.748015,17.915999,29.732059,-39.475263,-9.032606
6.35,6.810035,18.699123,33.634365,-40.748099,-8.2896
6.4,5.750898,19.368174,37.688222,-42.048677,-7.463974
6.45,4.532059,19.883676,41.709308,-43.316144,-6.529572
6.5,3.134495,20.22313,45.492021,-44.486132,-5.473772
6.55,1.565763,20.389875,48.839548,-45.501518,-4.30226
6.6,-0.137374,20.413583,51.592981,-46.321561,-3.040972
6.65,-1.912129,20.343063,53.646536,-46.924875,-1.734208
6.7,-3.679855,20.22357,55.007062,-47.321729,-0.437872
6.75,-5.361678,20.143474,55.500157,-47.479736,0.792356
6.8,-6.89495,20.117836,55.275246,-47.442842,1.911372
6.85,-8.242478,20.13271,54.523232,-47.260381,2.89224
6.9,-9.392366,20.214935,53.146429,-46.907967,3.726652
6.95,-10.350382,20.320677,51.309184,-46.421644,4.418481
7.0,-11.129308,20.413311,49.132187,-45.82754,4.976984
7.05,-11.740868,20.464041,46.749469,-45.158509,5.411078
7.1,-12.194046,20.460091,44.296369,-44.451978,5.728086
7.15,-12.500114,20.404256,41.890944,-43.744015,5.937172
7.2,-12.505618,20.350875,39.632282,-43.071422,5.928764
7.25,-12.504533,20.243941,37.517621,-42.429927,5.915154
7.3,-12.490306,20.098518,35.53075,-41.81799,5.891883
7.35,-12.456486,19.923438,33.633672,-41.226356,5.854261
7.4,-12.396471,19.727769,31.827445,-40.657063,5.797702
7.45,-12.303448,19.528037,30.173706,-40.131292,5.717852
7.5,-12.170169,19.35983,28.841785,-39.705406,5.610965
7.55,-11.747441,19.325143,28.091253,-39.469075,5.298962
7.6,-11.15538,19.439866,28.138071,-39.491495,4.870602
