timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.00273,-0.340793,-1.137183,-0.005461,-0.005461
0.05,-1.590527,-0.882356,-3.310061,-0.74558,0.775814
0.1,-2.389546,-1.562943,-5.715493,-1.073121,1.158463
0.15,-3.269466,-2.437414,-8.08049,-1.388348,1.571932
0.2,-4.188724,-3.788358,-10.300076,-1.657977,1.993048
0.25,-5.133111,-5.042879,-12.333513,-1.867301,2.412869
0.3,-6.102908,-5.98909,-14.16751,-2.014219,2.830417
0.35,-7.101071,-6.848915,-15.801262,-2.103045,3.2468
0.4,-8.128306,-7.661033,-16.643701,-2.14141,3.662711
0.45,-9.184572,-8.441093,-16.437976,-2.140179,4.079123
0.5,-10.266472,-9.197263,-15.532878,-2.111121,4.495891
0.55,-11.368101,-9.934426,-14.151448,-2.06649,4.912104
0.6,-12.480478,-10.655754,-12.446374,-2.017992,5.325744
0.65,-13.591251,-11.363416,-10.527616,-1.976047,5.733497
0.7,-14.684744,-12.058958,-8.477516,-1.949217,6.130726
0.75,-15.742394,-12.743505,-6.359742,-1.943745,6.511628
0.8,-16.743671,-13.417881,-4.224832,-1.963137,6.869583
0.85,-17.667476,-14.082689,-2.113827,-2.007819,7.197687
0.9,-18.493777,-14.738365,-0.060693,-2.074937,7.489387
0.95,-19.205249,-15.385197,1.905935,-2.158423,7.739094
1.0,-19.788581,-16.023364,3.761563,-2.249403,7.942666
1.05,-20.235197,-16.652937,5.484927,-2.336984,8.097663
1.1,-20.541359,-17.273881,7.05732,-2.409326,8.203355
1.15,-20.708567,-17.886078,8.462099,-2.455324,8.260809
1.2,-20.742219,-18.489302,9.684269,-2.465447,8.272382
1.25,-20.652096,-19.083217,10.710208,-2.433445,8.241836
1.3,-20.44982,-19.667379,11.527372,-2.356032,8.173441
1.35,-20.141454,-20.24119,12.124152,-2.23002,8.069466
1.4,-19.716348,-20.803873,12.489677,-2.048244,7.926357
1.45,-19.70807,-21.35445,12.61371,-2.084182,7.922606
1.5,-18.864431,-21.891637,12.556452,-1.645458,7.641812
1.55,-17.851369,-22.413778,12.37116,-1.161476,7.302096
