timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,1.614817,4.255276,-0.657835,2.815035,-0.206057
0.1,2.240448,5.908597,-0.766906,4.039279,-0.289333
0.15,2.682595,7.055639,-0.649169,4.990542,-0.355071
0.2,3.204183,8.363113,-0.232675,6.031042,-0.439827
0.25,3.498609,9.005012,0.555903,6.446704,-0.507284
0.3,3.700812,9.343211,1.698609,6.279245,-0.57485
0.35,3.845936,9.500792,3.126558,5.409552,-0.644777
0.4,3.962916,9.599788,4.721878,3.764811,-0.716587
0.45,4.075328,9.752321,6.335002,1.346795,-0.788294
0.5,4.19483,10.040252,7.801965,-1.709402,-0.856969
0.55,4.329201,10.537119,8.966652,-5.193333,-0.919627
0.6,4.477595,11.301128,9.688057,-8.763886,-0.973339
0.65,4.634253,12.381343,9.859165,-12.039302,-1.015294
0.7,4.789919,13.809159,9.420428,-14.666054,-1.043116
0.75,4.934065,15.583566,8.370282,-16.387757,-1.055376
0.8,5.056883,17.658255,6.769175,-16.673554,-1.050693
0.85,5.150972,19.896227,4.75784,-16.714385,-1.034725
0.9,5.210962,22.117706,2.528824,-15.383814,-1.006371
0.95,5.233907,24.05429,0.347933,-13.24584,-0.970872
1.0,5.2185,25.416272,-1.490406,-10.546039,-0.932435
1.05,5.164767,25.944775,-2.700232,-7.597902,-0.895323
1.1,5.073026,25.447607,-2.6602,-4.760526,-0.863698
1.15,4.953128,24.003532,-2.379977,-2.377267,-0.842619
1.2,4.807514,21.636602,-0.63388,-0.776118,-0.835907
1.25,4.651223,18.645555,2.100193,-0.193787,-0.846405
1.3,4.504745,15.408651,5.552248,-0.784533,-0.873781
1.35,4.177068,9.758965,10.957344,0.383342,-0.91603
1.4,4.178444,8.002373,14.034983,-2.373821,-0.952736
1.45,4.188074,7.352288,16.484732,-8.457706,-1.002559
1.5,4.337313,5.288198,20.57365,-14.76397,-1.079252
1.55,4.568654,4.218264,23.10485,-19.509278,-1.143875
1.6,4.835957,5.152021,23.301646,-22.282577,-1.200741
1.65,5.10031,8.479896,20.789675,-22.412321,-1.258812
1.7,5.233782,10.695588,18.739056,-22.087858,-1.282557
1.75,5.353389,14.034921,15.380007,-19.816619,-1.285949
1.8,5.567125,20.750649,7.87716,-14.963594,-1.259996
1.85,5.704807,26.927141,-0.186455,-10.130766,-1.177976
1.9,5.726379,30.363235,-6.541149,-0.825638,-1.0786
1.95,5.625117,29.953509,-9.508522,8.773525,-1.04041
2.0,5.571225,29.060988,-9.411868,13.672471,-1.010806
2.05,5.529521,27.429652,-8.735289,14.784149,-0.99432
2.1,5.40232,24.797365,-4.441867,14.754414,-1.050574
2.15,5.289534,21.64101,2.619265,9.643707,-1.174645
2.2,5.251352,18.137281,10.058277,-0.675167,-1.322293
2.25,5.290062,13.971747,16.743343,-11.277173,-1.460258
2.3,5.335152,9.570852,22.860652,-17.64722,-1.596504
2.35,5.358193,7.674473,25.508554,-20.02341,-1.660542
2.4,5.405422,7.403562,25.886827,-20.987635,-1.671015
2.45,5.505257,8.535943,24.679102,-22.038109,-1.663563
2.5,5.589595,11.664494,21.019233,-20.180291,-1.627957
2.55,5.673112,17.058114,14.402854,-14.902867,-1.543221
2.6,5.752004,22.825691,6.697472,-6.247892,-1.439787
2.65,5.788923,25.586031,2.852535,-1.008273,-1.388657
2.7,5.815694,26.795144,-0.277564,5.300491,-1.345191
2.75,5.85454,27.919827,-5.663674,16.717185,-1.273289
2.8,5.860441,27.349954,-7.902253,23.024993,-1.25618
2.85,5.819503,26.769641,-7.273537,23.32283,-1.253574
2.9,5.767592,26.413323,-4.014945,17.877588,-1.282419
2.95,5.776055,26.716427,-2.338869,12.104752,-1.297254
3.0,5.814182,27.019533,-0.598925,4.763267,-1.328617
3.05,5.904367,25.384591,3.802534,-7.023213,-1.425949
3.1,6.054678,22.529238,8.693566,-15.517397,-1.565552
3.15,6.21587,19.783306,13.074366,-19.93047,-1.730434
3.2,6.426144,18.783123,15.119573,-22.472601,-1.871599
3.25,6.525751,18.901865,15.09083,-22.299864,-1.941645
3.3,6.600899,19.733067,14.889625,-21.090697,-2.007117
3.35,6.746696,22.846217,11.988799,-16.781172,-2.12149
3.4,6.827061,27.077627,7.455132,-8.245496,-2.200431
3.45,6.891602,31.108334,2.057139,3.61974,-2.234159
3.5,7.024012,34.285235,-4.010204,15.156682,-2.234452
3.55,7.077693,34.826245,-6.566722,22.254157,-2.252789
3.6,7.118246,35.367247,-9.292735,25.741052,-2.270686
3.65,7.192544,37.530139,-13.991306,27.090496,-2.198104
3.7,7.16514,38.244802,-14.431385,24.975224,-2.15307
3.75,7.128483,41.003029,-14.703171,15.07838,-2.094786
3.8,7.054574,41.253004,-11.723118,1.648365,-2.117233
3.85,7.057972,37.780972,-6.392198,-10.17313,-2.059524
3.9,7.060314,34.881408,-3.060267,-14.855807,-1.981399
3.95,7.064856,32.066737,0.611647,-17.117508,-1.946285
4.0,7.078489,27.241111,6.642923,-21.821695,-2.033081
4.05,7.094215,24.138921,10.404456,-24.454353,-2.088615
4.1,7.094573,23.362484,11.359335,-24.686266,-2.104895
4.15,7.039772,24.855607,9.674642,-21.693909,-2.102139
4.2,7.012297,26.275956,8.11884,-19.258084,-2.103827
4.25,7.008372,28.474861,5.619475,-14.896538,-2.11564
4.3,7.042454,32.810224,0.426189,-4.901272,-2.155925
4.35,7.090283,36.853292,-5.575784,6.156052,-2.241993
4.4,7.229824,38.634238,-10.074372,17.673077,-2.362752
4.45,7.39393,35.357796,-9.057755,30.648343,-2.60237
4.5,7.50486,35.561441,-8.913627,32.296416,-2.729177
4.55,7.590193,35.765087,-8.769499,32.531853,-2.858745
4.6,7.660773,34.706536,-3.502878,28.747515,-3.136883
4.65,7.666706,33.374378,2.749061,18.358179,-3.409067
4.7,7.936892,32.311064,6.922617,3.973984,-3.647097
4.75,8.233993,29.32945,11.414495,-6.224429,-3.880836
4.8,8.427866,27.613791,13.633099,-11.242492,-3.993886
4.85,8.568238,26.299969,15.113547,-14.218204,-4.06032
4.9,8.759193,24.701318,16.917436,-18.135564,-4.134073
4.95,9.092377,25.255454,15.801188,-22.576932,-4.085651
5.0,9.158741,25.573004,14.996618,-24.194014,-3.959968
5.05,8.979651,27.674015,12.296927,-22.336402,-3.775922
5.1,8.67908,31.333997,7.850008,-17.412652,-3.568581
5.15,8.490087,33.360145,5.477343,-14.247623,-3.465194
5.2,8.278953,34.956716,3.2193,-8.612559,-3.345351
5.25,7.933884,37.658876,-1.378339,3.390354,-3.108392
5.3,7.707666,39.173178,-6.26116,15.401527,-2.936262
5.35,7.621257,38.958288,-10.048345,24.774875,-2.787526
5.4,7.564344,38.685236,-11.829334,27.681285,-2.668497
5.45,7.523673,38.318191,-11.69461,27.473032,-2.623726
5.5,7.465048,38.111746,-10.751543,26.01527,-2.603459
5.55,7.398458,38.385974,-8.366873,18.195993,-2.572898
5.6,7.520171,39.517473,-6.293154,2.677376,-2.593776
5.65,7.840529,37.880164,-3.094758,-11.284188,-2.596815
5.7,7.96929,33.513962,2.23985,-18.462442,-2.626213
5.75,7.992114,31.106293,5.097469,-21.246722,-2.636035
5.8,8.067445,29.16192,7.125587,-24.402201,-2.637438
5.85,8.200521,25.763185,10.438007,-30.158933,-2.54756
5.9,8.112464,23.704411,12.222819,-32.222042,-2.426748
5.95,7.806595,22.597308,12.97548,-31.004448,-2.309104
6.0,7.336085,23.223379,11.697657,-26.055951,-2.178508
6.05,7.080502,23.971305,10.493395,-22.986327,-2.104983
6.1,6.83611,24.898201,9.014064,-17.106765,-2.0213
6.15,6.38968,25.997082,6.267877,-3.175129,-1.865176
6.2,6.142751,26.256687,2.663709,12.00169,-1.721817
6.25,6.134669,28.133247,-3.177893,19.210406,-1.572491
6.3,6.199726,30.25461,-8.12523,21.585536,-1.479809
6.35,6.227478,31.213228,-9.31524,20.606172,-1.48119
6.4,6.266925,33.720984,-10.563888,15.241306,-1.490854
6.45,6.395916,38.486129,-13.56011,4.67078,-1.572843
6.5,6.519184,39.36435,-12.028023,-4.059948,-1.704053
6.55,6.703606,37.964188,-8.498196,-12.383711,-1.799086
6.6,6.943792,34.916393,-3.81304,-17.363509,-1.747358
6.65,6.981661,30.90402,1.701291,-19.646194,-1.873352
6.7,6.978716,28.803368,4.519137,-20.169941,-1.953767
6.75,6.958101,27.155683,6.658459,-20.244761,-1.997696
6.8,6.841035,24.2096,10.519952,-18.184644,-2.104146
6.85,6.551214,21.700208,13.758433,-11.171796,-2.187228
6.9,6.257809,20.302246,15.050721,-2.55024,-2.18767
6.95,6.080067,20.714216,13.267185,5.498161,-2.077991
7.0,6.005417,21.110131,11.833264,9.710744,-1.998994
7.05,5.984424,22.064566,9.368556,13.231793,-1.913444
7.1,5.977105,24.272714,3.811641,18.699125,-1.727955
7.15,6.014726,26.686615,-1.864385,21.423027,-1.564532
7.2,6.063999,28.587717,-6.013723,22.11624,-1.465535
7.25,6.153117,32.217939,-9.289566,15.615906,-1.412308
7.3,6.180671,34.714699,-11.001574,9.759214,-1.435612
7.35,6.211933,36.405691,-11.425207,3.851322,-1.510919
7.4,6.338869,37.753143,-10.793832,-5.764138,-1.606827
7.45,6.534586,36.716533,-8.026999,-12.708088,-1.62338
7.5,6.734103,34.233806,-4.005764,-17.122477,-1.597146
7.55,6.854704,31.747665,-0.334511,-21.102621,-1.692187
7.6,6.907056,30.560972,1.331592,-22.4665,-1.749591
7.65,6.936826,29.644565,2.69741,-22.661342,-1.787761
7.7,6.964064,28.533402,4.471645,-21.638125,-1.877497
7.75,6.958127,28.775155,4.442224,-18.91353,-1.930245
7.8,6.838872,29.291999,3.92227,-12.170099,-1.973429
7.85,6.559102,28.25525,4.447222,-4.642339,-2.019769
7.9,6.494596,28.275948,3.552489,2.794157,-1.998743
7.95,6.478296,28.420814,1.584965,12.391534,-1.952586
8.0,6.444831,29.200501,-0.689685,16.498226,-1.896412
8.05,6.434068,30.727358,-3.401588,17.150899,-1.815954
8.1,6.426988,32.708824,-5.824259,14.47412,-1.729839
8.15,6.41673,35.278082,-7.748156,7.845985,-1.655842
8.2,6.425115,37.990042,-8.859865,-2.287786,-1.606461
8.25,6.41854,38.153004,-8.798779,-9.588998,-1.565387
8.3,6.402587,38.176284,-8.371179,-14.583012,-1.528407
8.35,6.383601,36.333941,-6.688027,-19.124953,-1.485144
8.4,6.361233,33.600561,-4.152432,-21.320154,-1.429887
8.45,6.306739,30.626421,-1.08103,-21.392183,-1.427161
8.5,6.215459,27.74574,2.190224,-18.794135,-1.462959
8.55,6.089326,25.201106,5.127531,-13.469434,-1.523451
8.6,5.946531,22.937623,7.512342,-6.28141,-1.588177
8.65,5.814205,21.023404,9.056405,2.345196,-1.645982
8.7,5.716389,19.704288,9.336301,11.420202,-1.680994
8.75,5.649333,18.490324,8.76636,21.255347,-1.706635
8.8,5.66451,18.917737,6.319387,27.018715,-1.676184
8.85,5.703432,19.811292,3.816922,29.635399,-1.635571
8.9,5.768032,21.239165,1.393243,30.332443,-1.590922
8.95,5.85793,23.339189,-1.128211,27.91463,-1.536069
9.0,5.955189,25.770467,-2.773073,22.46522,-1.490782
9.05,6.052249,27.965783,-3.376344,15.148098,-1.469075
9.1,6.129772,29.0029,-2.72421,8.364529,-1.483253
9.15,6.177372,28.822988,-1.431989,3.979663,-1.517471
9.2,6.206102,28.319486,0.089211,1.225071,-1.561818
9.25,6.223837,27.56084,1.625175,-0.897165,-1.608683
9.3,6.225693,26.671137,3.071562,-1.989037,-1.655862
9.35,6.209338,25.766691,4.329934,-2.214471,-1.69967
9.4,6.168917,24.878213,5.343896,-1.661089,-1.736619
9.45,6.09263,23.986363,6.077545,-0.430536,-1.761808
9.5,5.976605,23.080035,6.495616,1.277878,-1.771062
9.55,5.796974,22.076709,6.602678,3.243415,-1.75622
9.6,5.538566,20.905925,6.409565,5.178206,-1.710445
9.65,5.367825,20.049162,6.296176,7.763725,-1.698411
9.7,4.920684,18.412485,5.521973,9.125367,-1.577776
9.75,4.336938,16.29991,4.596154,9.577865,-1.404676
9.8,3.498973,13.214012,3.508227,8.750354,-1.141932
9.85,2.79236,10.614457,2.613281,7.600865,-0.915678
9.9,1.941456,7.417512,1.720275,5.604613,-0.638822
9.95,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0
10.05,0.0,0.0,0.0,0.0,0.0
10.1,0.0,0.0,0.0,0.0,0.0
10.15,0.0,0.0,0.0,0.0,0.0
10.2,0.0,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0,0.0
10.3,0.0,0.0,0.0,0.0,0.0
10.35,0.0,0.0,0.0,0.0,0.0
10.4,0.0,0.0,0.0,0.0,0.0
10.45,0.0,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0,0.0
10.55,0.0,0.0,0.0,0.0,0.0
10.6,0.0,0.0,0.0,0.0,0.0
10.65,0.0,0.0,0.0,0.0,0.0
10.7,0.0,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0,0.0
10.8,0.0,0.0,0.0,0.0,0.0
10.85,0.0,0.0,0.0,0.0,0.0
10.9,0.0,0.0,0.0,0.0,0.0
10.95,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0
11.05,0.0,0.0,0.0,0.0,0.0
11.1,0.0,0.0,0.0,0.0,0.0
11.15,0.0,0.0,0.0,0.0,0.0
11.2,0.0,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0,0.0
11.3,0.0,0.0,0.0,0.0,0.0
11.35,0.0,0.0,0.0,0.0,0.0
11.4,0.0,0.0,0.0,0.0,0.0
11.45,0.0,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0,0.0
11.55,0.0,0.0,0.0,0.0,0.0
11.6,0.0,0.0,0.0,0.0,0.0
11.65,0.0,0.0,0.0,0.0,0.0
11.7,0.0,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,0.0
11.8,0.0,0.0,0.0,0.0,0.0
11.85,0.0,0.0,0.0,0.0,0.0
11.9,0.0,0.0,0.0,0.0,0.0
11.95,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0
12.05,0.0,0.0,0.0,0.0,0.0
12.1,0.0,0.0,0.0,0.0,0.0
12.15,0.0,0.0,0.0,0.0,0.0
12.2,0.0,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0,0.0
12.3,0.0,0.0,0.0,0.0,0.0
12.35,0.0,0.0,0.0,0.0,0.0
12.4,0.0,0.0,0.0,0.0,0.0
12.45,0.0,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0,0.0
12.55,0.0,0.0,0.0,0.0,0.0
12.6,0.0,0.0,0.0,0.0,0.0
12.65,0.0,0.0,0.0,0.0,0.0
12.7,0.0,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0,0.0
12.8,0.0,0.0,0.0,0.0,0.0
12.85,0.0,0.0,0.0,0.0,0.0
12.9,0.0,0.0,0.0,0.0,0.0
12.95,0.0,0.0,0.0,0.0,0.0
