timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,17.896684,-22.074297,0.0,1.052525
0.05,0.134837,19.726414,-24.9917,-5.324442,1.031852
0.1,0.827593,21.227214,-28.414004,-10.60921,0.82258
0.15,2.101449,22.985079,-35.036681,-13.733242,0.146292
0.2,3.956439,24.331337,-44.640525,-16.435274,-1.535246
0.25,6.268339,23.635516,-49.85184,-18.600635,-3.88701
0.3,8.865845,22.531896,-49.100782,-19.508176,-5.743425
0.35,11.569239,18.954093,-42.205187,-21.084265,-10.982195
0.4,14.17341,14.463631,-29.559078,-22.875897,-16.220033
0.45,16.453765,9.967054,-12.321027,-25.154666,-18.118335
0.5,18.240121,6.790253,-0.791592,-29.333262,-17.531601
0.55,18.954364,5.405177,4.143016,-35.000283,-14.780019
0.6,19.667796,5.541258,3.183181,-42.476294,-6.883401
0.65,20.448019,5.068727,4.108015,-50.952491,-3.622239
0.7,20.003194,4.196461,6.884567,-57.007037,-1.78247
0.75,18.637918,4.502193,8.079203,-59.987168,-0.504072
0.8,17.50068,5.116391,7.366175,-59.776197,-0.246746
0.85,15.867492,6.424208,5.364012,-56.384117,-0.46918
0.9,13.307651,8.745135,1.610369,-49.826667,-1.045718
0.95,10.835009,11.315721,-3.797841,-40.343424,-3.119476
1.0,8.035861,14.193884,-12.054892,-28.716106,-5.973514
1.05,4.919799,15.995777,-20.551472,-16.34544,-8.57534
1.1,1.400459,18.056372,-38.286058,-5.016613,-7.829219
1.15,-2.125161,16.429982,-45.803146,3.554886,-6.215508
1.2,-5.323478,15.719199,-48.557113,8.114494,-5.370539
1.25,-8.263807,15.220351,-49.688933,8.047355,-3.637144
1.3,-10.855776,14.767081,-49.006812,3.436775,-1.352303
1.35,-12.979884,17.389742,-45.840647,-4.87447,1.622882
1.4,-14.632453,17.74475,-29.730359,-15.386447,4.251786
1.45,-15.748632,17.587022,-24.473558,-26.366982,5.766331
1.5,-16.45753,17.312882,-21.332662,-36.408986,6.835289
1.55,-16.838619,15.387778,-14.344079,-44.718174,7.431968
1.6,-16.960813,14.337996,-11.235419,-51.002611,8.123095
1.65,-16.878328,12.621571,-6.421063,-55.191402,8.323931
1.7,-16.633729,11.108767,-2.415474,-57.225903,8.485353
1.75,-16.229414,9.488588,2.504025,-56.998359,8.17054
1.8,-15.782363,8.589024,5.460687,-54.356274,7.654355
1.85,-15.304074,8.282035,6.792857,-49.181354,6.976526
1.9,-14.720533,8.143638,7.6233,-41.565874,6.001585
1.95,-13.919067,8.007993,8.148141,-32.005027,4.518043
2.0,-12.722177,10.897228,-0.478865,-21.511087,2.598127
2.05,-11.006391,12.314138,-7.671874,-11.538607,1.026647
2.1,-8.663839,13.238411,-14.905824,-3.746395,-0.660915
2.15,-5.452439,15.487526,-43.197122,0.385899,-5.714521
2.2,-2.092148,15.694892,-50.023663,0.017796,-7.332146
2.25,1.396675,17.903872,-54.468464,-4.712834,-6.868057
2.3,4.94168,19.569802,-54.859168,-12.759441,-6.94218
2.35,8.217077,19.871291,-45.70698,-22.650673,-7.203354
2.4,10.828643,16.83113,-26.371668,-33.018692,-6.352367
2.45,12.703831,15.176271,-18.990234,-42.86819,-4.237683
2.5,13.920417,14.311162,-15.637459,-51.555098,-1.810358
2.55,14.558395,12.413674,-10.288422,-58.657426,0.641279
2.6,14.707199,11.012256,-6.653318,-63.891529,2.124746
2.65,14.440575,9.784301,-3.514564,-67.05028,3.085191
2.7,13.776551,8.749518,-0.237401,-67.923124,3.565031
2.75,12.775359,8.034983,2.501572,-66.222714,3.642818
2.8,11.50884,8.732694,1.736655,-61.605636,2.959336
2.85,9.981498,10.649251,-1.934291,-53.855656,1.503067
2.9,8.20934,14.059945,-9.735094,-43.200878,-0.829385
2.95,6.284689,17.305975,-19.752914,-30.618348,-3.982058
3.0,4.143398,19.075007,-29.830346,-17.857806,-6.779922
3.05,1.897884,18.519515,-37.211376,-7.111213,-8.322115
3.1,-0.321,17.304619,-39.710856,-0.384151,-8.570053
