timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.009151,0.024033
0.05,0.0,0.0,-0.072245,-0.973566,0.077997
0.1,0.0,0.0,-0.281664,-1.992452,0.134579
0.15,0.0,0.0,-0.617284,-2.974495,0.166508
0.2,0.0,0.0,-1.06813,-3.913359,0.14652
0.25,0.0,0.0,-1.623228,-4.805902,0.047347
0.3,0.0,0.0,-2.271605,-5.649383,-0.158293
0.35,0.0,0.0,-3.002286,-6.440853,-0.49771
0.4,0.0,0.0,-3.804298,-7.176922,-0.998253
0.45,0.0,0.345134,-4.666667,-7.853608,-1.687322
0.5,0.0,1.316324,-5.578418,-8.4662,-2.592377
0.55,0.0,2.817254,-6.528578,-9.009083,-3.740955
0.6,0.0,4.751608,-7.506173,-9.475519,-5.160672
0.65,0.0,7.023067,-8.500228,-9.85734,-6.879248
0.7,0.0,9.53532,-9.499771,-10.144542,-8.924511
0.75,0.0,12.192046,-10.493828,-10.324669,-11.271034
0.8,0.0,14.896932,-11.471422,-10.381945,-13.830103
0.85,0.0,17.553656,-12.42158,-10.144085,-16.534953
0.9,0.0,20.065908,-13.333334,-9.432394,-19.319097
0.95,0.0,22.337367,-14.195703,-8.219168,-22.116256
1.0,0.0,24.271725,-14.997716,-6.480438,-24.860291
1.05,0.0,25.772652,-15.728392,-4.201141,-27.485138
1.1,0.0,26.743843,-16.376772,-1.384392,-29.924763
1.15,0.0,27.088973,-16.931872,1.932266,-32.11304
1.2,0.0,26.846903,-17.382717,5.649061,-33.983762
1.25,0.0,26.160195,-17.718337,9.559,-35.470494
1.3,0.0,25.088151,-17.927754,13.283322,-36.506587
1.35,0.0,23.690044,-18.000001,16.202923,-37.025042
1.4,0.0,22.025162,-17.619885,17.192925,-36.958493
1.45,0.0,20.152786,-16.568973,16.324306,-36.239093
1.5,0.0,18.132199,-14.981427,14.246652,-34.798496
1.55,0.0,16.022689,-12.991409,11.369022,-32.567728
1.6,0.0,13.883538,-10.733072,7.978387,-29.477157
1.65,0.0,11.774026,-8.340575,4.294995,-25.596123
1.7,0.0,9.753442,-5.94808,0.502268,-21.120715
1.75,0.0,7.881065,-3.68974,-3.234576,-16.172174
1.8,0.0,6.216185,-1.69972,-6.754961,-10.873157
1.85,0.0,4.818078,-0.112177,-9.890835,-5.347415
1.9,0.0,3.746029,0.938731,-12.453511,0.280586
1.95,0.0,3.059329,1.31885,-14.216199,5.886012
2.0,0.0,2.817254,0.460974,-14.887277,11.344051
2.05,0.0,3.553003,-1.838132,-14.4574,16.530245
2.1,0.0,5.524815,-5.166689,-13.255708,21.320902
2.15,0.0,8.379523,-9.112917,-11.416338,25.5934
2.2,0.0,11.763973,-13.265034,-9.064904,29.226598
2.25,0.0,15.325003,-17.211259,-6.322267,32.101107
2.3,0.0,18.709453,-20.539817,-3.30814,34.099688
2.35,0.0,21.564161,-22.838927,-0.144791,34.880235
2.4,0.0,23.535973,-23.6968,3.038711,34.318645
2.45,0.0,24.27172,-23.068539,6.101377,32.627556
2.5,0.0,23.251287,-21.38479,8.883482,30.020943
2.55,0.0,20.559462,-18.947124,11.197002,26.71385
2.6,0.0,16.750456,-16.057109,12.811341,22.92207
2.65,0.0,12.378479,-13.016311,13.430664,18.861872
2.7,0.0,7.997749,-10.126296,13.173537,14.749687
2.75,0.0,4.162469,-7.688635,12.379102,10.801828
2.8,0.0,1.426863,-6.004884,11.012523,7.234162
2.85,0.0,0.345138,-5.376621,9.040599,4.261864
2.9,0.0,0.281264,-5.457567,6.436231,2.09906
2.95,0.0,0.228968,-5.691534,3.186899,0.649731
3.0,0.0,0.187093,-6.065215,-0.689204,-0.373832
3.05,0.0,0.15448,-6.565305,-5.112796,-1.045771
3.1,0.0,0.129972,-7.178498,-9.887049,-1.440025
3.15,0.0,0.112412,-7.891488,-14.597463,-1.630373
3.2,0.0,0.10064,-8.690967,-18.456242,-1.690475
3.25,0.0,0.0935,-9.56363,-20.140577,-1.693917
3.3,0.0,0.089834,-10.496171,-19.446641,-1.71425
3.35,0.0,0.088483,-11.475285,-17.809059,-1.825026
3.4,0.0,0.08829,-12.487662,-15.626307,-2.09985
3.45,0.0,0.406733,-13.519999,-13.105157,-2.612415
3.5,0.0,1.302818,-14.558992,-10.373474,-3.436546
3.55,0.0,2.687676,-15.591329,-7.521014,-4.646231
3.6,0.0,4.472439,-16.603707,-4.617911,-6.293104
3.65,0.0,6.568241,-17.582821,-1.724691,-8.331714
3.7,0.0,8.886211,-18.51536,1.101177,-10.690575
3.75,0.0,11.337484,-19.388025,3.799878,-13.298168
3.8,0.0,13.833191,-20.187507,6.303484,-16.082949
3.85,0.0,16.284461,-20.900495,8.528133,-18.97335
3.9,0.0,18.602432,-21.513689,10.361356,-21.897791
3.95,0.0,20.698232,-22.013777,11.638121,-24.784655
4.0,0.0,22.482996,-22.387461,12.087982,-27.562336
4.05,0.0,23.867856,-22.621429,11.242625,-30.159193
4.1,0.0,24.763939,-22.702371,9.203806,-32.503596
4.15,0.0,25.082378,-22.348403,6.324333,-34.523899
4.2,0.0,24.644292,-21.357291,2.876965,-36.148445
4.25,0.0,23.43311,-19.835225,-0.916747,-37.305598
4.3,0.0,21.603454,-17.888397,-4.868533,-37.923717
4.35,0.0,19.309941,-15.622999,-8.811451,-37.931155
4.4,0.0,16.707188,-13.145222,-12.591329,-37.256298
4.45,0.0,13.949817,-10.561253,-16.060188,-35.827534
4.5,0.0,11.192447,-7.977284,-19.070571,-33.562182
4.55,0.0,8.589692,-5.499505,-21.47038,-30.499528
4.6,0.0,6.296179,-3.234107,-23.097391,-26.751425
4.65,0.0,4.466521,-1.287279,-23.773143,-22.430307
4.7,0.0,3.255342,0.234784,-23.313261,-17.649121
4.75,0.0,2.817254,1.225899,-21.800748,-12.521283
4.8,0.0,3.417978,1.579865,-19.47087,-7.160564
4.85,0.0,5.048517,1.376018,-16.582753,-1.681027
4.9,0.0,7.451417,0.808551,-13.398572,3.803029
4.95,0.0,10.369225,-0.056423,-10.164245,9.17718
5.0,0.0,13.544487,-1.152792,-7.095069,14.326925
5.05,0.0,16.719747,-2.414442,-4.367807,19.137793
5.1,0.0,19.637555,-3.775262,-2.118843,23.495389
5.15,0.0,22.040456,-5.169138,-0.446657,27.285516
5.2,0.0,23.670993,-6.529958,0.583035,30.394171
5.25,0.0,24.27172,-7.791607,0.93127,32.707756
5.3,0.0,23.794152,-8.887977,0.537864,34.112984
5.35,0.0,22.473811,-9.752952,-0.51365,34.497131
5.4,0.0,20.479264,-10.320414,-2.062669,33.747965
5.45,0.0,17.979053,-10.524265,-3.979092,31.753887
5.5,0.0,15.141733,-10.027791,-6.152202,28.62448
5.55,0.0,12.13586,-8.697241,-8.483032,24.747867
5.6,0.0,9.129988,-6.770921,-10.878603,20.434718
5.65,0.0,6.292666,-4.487141,-13.246936,15.999017
5.7,0.0,3.792456,-2.084207,-15.492215,11.75562
5.75,0.0,1.797904,0.199574,-17.50914,8.017843
5.8,0.0,0.477571,2.12589,-19.17571,5.000582
5.85,0.0,0.0,3.456441,-20.342629,2.655278
5.9,0.0,0.002761,3.952916,-20.816379,0.898026
5.95,0.0,0.022089,3.879202,-20.276354,-0.354378
6.0,0.0,0.074549,3.665249,-18.800244,-1.184527
6.05,0.0,0.176708,3.321845,-16.718742,-1.674516
6.1,0.0,0.345134,2.859779,-14.316189,-1.90602
6.15,0.0,1.038557,2.289837,-11.823184,-1.960401
6.2,0.0,2.588204,1.622808,-9.417922,-1.918802
6.25,0.0,4.819379,0.869478,-7.232415,-1.862231
6.3,0.0,7.557384,0.040636,-5.360587,-1.87166
6.35,0.0,10.627525,-0.852931,-3.866357,-2.028123
6.4,0.0,13.855106,-1.800437,-2.790757,-2.41279
6.45,0.0,17.065428,-2.791091,-2.157797,-3.107072
6.5,0.0,20.083799,-3.81411,-1.979055,-4.192736
6.55,0.0,22.735517,-4.858702,-2.158873,-5.733338
6.6,0.0,24.845902,-5.914082,-2.579395,-7.689695
6.65,0.0,26.240234,-6.969461,-3.208731,-9.98959
6.7,0.0,26.743838,-8.014053,-4.01176,-12.560642
6.75,0.0,26.315608,-9.03707,-4.951422,-15.330346
6.8,0.0,25.123513,-10.027727,-5.99008,-18.226096
6.85,0.0,23.306433,-10.975233,-7.09085,-21.175214
6.9,0.0,21.003258,-11.868801,-8.21874,-24.104968
6.95,0.0,18.352872,-12.697644,-9.341559,-26.942632
7.0,0.0,15.494159,-13.450972,-10.430533,-29.615478
