timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.836302,-11.537061,-19.316045,1.076399,0.933045
0.05,-0.698637,-14.827709,-24.264549,2.05982,0.910464
0.1,-0.117225,-17.318592,-29.4141,3.699374,0.644544
0.15,1.159296,-19.108364,-35.125269,6.227188,-0.106879
0.2,3.369978,-19.992638,-40.758683,9.84796,-1.759708
0.25,6.181036,-19.383298,-43.423764,14.594077,-4.107134
0.3,8.679434,-17.892036,-42.000978,19.970549,-6.313159
0.35,11.342792,-14.832065,-36.285564,24.702276,-10.9567
0.4,14.775487,-11.064651,-26.998093,26.937928,-15.44657
0.45,17.303289,-7.312214,-15.659909,23.658922,-17.188613
0.5,18.887068,-4.419068,-6.515775,16.81499,-16.613216
0.55,20.025809,-2.725444,-0.646066,9.519976,-13.986793
0.6,20.833614,-2.086122,2.01018,4.026167,-7.474292
0.65,20.909571,-1.562719,4.009311,-1.545666,-4.196751
0.7,20.352799,-1.143898,5.689831,-8.278602,-2.141019
0.75,19.019556,-1.431301,6.179336,-10.250705,-0.789808
0.8,17.773484,-2.164453,5.273658,-9.78488,-0.446321
0.85,16.127253,-3.523038,2.971165,-6.833366,-0.693062
0.9,13.848444,-5.581798,-1.016997,-1.602763,-1.402818
0.95,11.512473,-7.90827,-6.728588,5.423469,-3.301519
1.0,8.897241,-10.297435,-14.380994,13.50252,-5.759851
1.05,5.852398,-11.989953,-22.773731,21.708812,-7.904918
1.1,1.452,-13.328354,-33.696861,29.042808,-7.474413
1.15,-2.853308,-12.854094,-40.648959,34.580445,-6.179043
1.2,-6.024491,-12.494075,-44.489035,37.622413,-5.204307
1.25,-9.064153,-12.24446,-45.777437,37.81164,-3.454232
1.3,-11.888532,-12.198203,-44.476252,35.188561,-1.21858
1.35,-14.109223,-13.448512,-40.733602,30.169239,1.531567
1.4,-15.840583,-13.804957,-32.174316,23.453046,3.994616
1.45,-16.695557,-13.733674,-26.366637,15.886899,5.570888
1.5,-17.168215,-13.298486,-21.338083,8.324354,6.702502
1.55,-17.379744,-11.953034,-15.575666,1.515378,7.38336
1.6,-17.39544,-10.741077,-11.275407,-3.953484,8.031982
1.65,-17.248333,-9.194254,-6.765782,-7.670875,8.257481
1.7,-16.944422,-7.74434,-2.78884,-9.384576,8.378492
1.75,-16.287911,-6.373968,1.021555,-8.983966,8.089987
1.8,-15.763677,-5.481154,3.628718,-6.500202,7.581218
1.85,-15.440402,-5.094778,4.830824,-2.127581,6.874419
1.9,-15.152162,-5.111198,4.615873,3.74721,5.870596
1.95,-14.770914,-5.479919,2.696476,10.532095,4.416961
2.0,-13.969899,-7.272429,-3.709171,17.457122,2.557087
2.05,-12.666241,-8.681155,-11.489341,23.655281,0.840085
2.1,-10.537285,-9.957026,-20.471305,28.289511,-1.017177
2.15,-6.021337,-11.717557,-35.508931,30.697889,-5.183879
2.2,-2.357411,-12.653375,-42.87419,30.516568,-6.810325
2.25,1.291789,-14.176623,-46.808967,27.743101,-6.771847
2.3,5.576665,-15.163904,-46.359533,22.721651,-6.889085
2.35,9.772343,-15.170617,-40.409264,16.058748,-6.938534
2.4,12.626704,-13.471957,-29.934144,8.500889,-6.031428
2.45,14.271642,-12.000195,-22.590919,0.813545,-4.089246
2.5,15.204327,-10.718099,-16.970739,-6.307423,-1.838214
2.55,15.604359,-9.064505,-11.638622,-12.279716,0.425955
2.6,15.604826,-7.677106,-7.595485,-16.641411,1.925082
2.65,15.289694,-6.50806,-4.41842,-19.041046,2.914488
2.7,14.502592,-5.683451,-2.030345,-19.23432,3.396876
2.75,13.358725,-5.401761,-0.902563,-17.104312,3.409615
2.8,12.066523,-6.181583,-2.188467,-12.708102,2.686981
2.85,10.496673,-7.921865,-5.850134,-6.335272,1.22143
2.9,8.607577,-10.502604,-12.023607,1.45109,-1.016168
2.95,6.76367,-12.947661,-19.537982,9.824543,-3.886714
3.0,4.411565,-14.457881,-26.866044,17.778844,-6.430561
3.05,1.863232,-14.614469,-32.243738,24.281377,-7.879224
3.1,-0.568731,-14.14532,-34.259553,28.462788,-8.113889
3.15,-2.770977,-13.846301,-33.095101,29.788873,-7.196787
3.2,-5.256524,-13.556037,-28.054223,28.161797,-4.822979
3.25,-7.060455,-12.725623,-19.418084,23.921156,-1.963427
3.3,-7.917808,-11.167819,-11.575686,17.751336,-0.009592
3.35,-8.365042,-9.575619,-5.179535,10.53282,1.800437
3.4,-8.620556,-7.648935,0.428195,3.187959,3.460761
3.45,-8.517976,-6.398616,3.53432,-3.438581,4.769186
3.5,-8.406995,-5.923584,4.273012,-8.649554,5.861828
3.55,-8.197065,-6.183953,2.966483,-11.926205,6.600688
3.6,-7.742457,-7.281562,-0.52618,-12.945689,7.037718
3.65,-7.135245,-9.364418,-6.491993,-11.606158,7.145987
3.7,-5.960047,-12.794596,-15.520654,-8.063254,6.431446
3.75,-4.445057,-16.158737,-25.053163,-2.760683,4.831345
3.8,-1.979506,-18.761116,-34.573192,3.575258,1.842435
3.85,0.743835,-18.576477,-37.555771,10.004262,-2.258323
3.9,3.042694,-16.836777,-34.989867,15.511448,-6.464053
3.95,5.639816,-13.98311,-27.089796,19.196819,-11.130592
4.0,7.521512,-10.916175,-17.615143,20.468241,-13.727506
4.05,8.698365,-8.594157,-9.386203,19.180773,-13.859948
4.1,9.687472,-7.091579,-3.213849,15.676486,-11.814971
4.15,10.490269,-6.14944,0.648829,10.70972,-7.871932
4.2,10.952143,-5.648129,2.449358,5.280552,-4.425185
4.25,11.052825,-5.43739,2.899685,0.427212,-1.557383
4.3,10.990851,-5.670503,1.933228,-2.966282,-0.142861
4.35,10.67664,-6.487858,-0.639589,-4.308296,0.363371
4.4,10.037938,-7.996878,-5.145688,-3.372348,0.388889
4.45,9.106954,-10.911578,-13.23692,-0.314554,-0.213166
4.5,8.01089,-13.935439,-22.996714,4.350033,-1.332791
4.55,6.332793,-16.168767,-32.634528,9.808714,-2.974359
4.6,3.706333,-17.074985,-40.601984,15.05882,-3.924007
4.65,0.515149,-16.01408,-44.40918,19.069221,-4.684455
4.7,-2.423737,-14.13652,-41.71703,20.982619,-5.584573
4.75,-5.407962,-13.552217,-33.597284,20.315209,-3.943489
4.8,-7.586797,-12.058935,-22.480586,17.090397,-1.951609
4.85,-8.65445,-10.615681,-13.588001,11.852395,0.279644
4.9,-9.007536,-9.727958,-8.09979,5.545789,4.26008
4.95,-8.981626,-8.235116,-2.944937,-0.700689,5.709912
5.0,-8.49487,-7.59836,-0.584694,-5.812885,6.381816
5.05,-7.721971,-7.432104,-0.021779,-8.961644,6.598154
5.1,-6.528802,-7.977244,-1.482927,-9.669156,6.337656
5.15,-5.148586,-9.577542,-5.632763,-7.838389,5.688192
5.2,-3.774491,-12.069548,-12.302793,-3.736144,4.654952
5.25,-2.461741,-14.709874,-20.228978,2.045669,2.579024
5.3,-1.04941,-17.063546,-29.240176,8.649474,0.334448
5.35,0.34741,-17.566926,-35.632356,15.049243,-3.13346
5.4,1.902307,-16.470229,-38.780004,20.198912,-6.974551
5.45,3.673776,-15.017272,-38.148376,23.220254,-9.97592
5.5,5.842739,-13.913937,-35.216145,23.587785,-11.713121
5.55,8.122747,-12.800258,-29.416669,21.252759,-12.632071
5.6,10.228796,-11.908475,-22.192302,16.660658,-10.578875
5.65,11.658003,-10.402105,-14.852513,10.653131,-6.622357
5.7,12.542532,-8.669135,-8.658947,4.287726,-3.457886
5.75,12.98317,-7.081436,-3.719538,-1.365383,-1.691958
5.8,13.11859,-5.863622,-0.36457,-5.394316,-0.229276
5.85,12.974846,-5.509097,0.804271,-7.156473,0.525946
5.9,12.523525,-5.701978,0.584676,-6.334644,0.560493
5.95,11.715361,-6.471902,-1.098197,-2.959897,0.058711
6.0,10.482991,-7.945492,-4.613893,2.583653,-1.066677
6.05,9.034609,-9.962039,-10.006113,9.577456,-4.019368
6.1,7.310442,-11.686173,-16.281025,17.031493,-7.005903
6.15,5.292706,-12.745743,-22.97537,23.809403,-9.686327
6.2,3.091854,-13.155473,-29.183377,28.811172,-10.841678
6.25,0.547012,-13.601205,-33.265101,31.179349,-9.978107
6.3,-2.489023,-14.24144,-35.042265,30.47459,-7.404359
6.35,-4.846456,-15.206562,-34.545529,26.767774,-4.641826
6.4,-6.364133,-16.536653,-32.298978,20.619238,-1.175947
6.45,-7.479814,-16.694996,-28.010112,12.952655,2.161839
6.5,-8.271106,-15.523234,-22.167589,4.864989,4.528225
6.55,-8.906371,-13.068303,-14.628718,-2.569685,6.091358
6.6,-9.508551,-10.013757,-6.761724,-8.45311,6.974372
6.65,-9.785601,-6.758283,0.876747,-12.150526,7.457542
6.7,-9.896615,-4.998957,5.383961,-13.321393,7.536262
6.75,-9.832182,-3.989007,8.220389,-11.918433,7.255222
6.8,-9.573757,-3.589274,9.579752,-8.176868,6.589178
6.85,-9.012666,-3.790902,9.645463,-2.598281,4.556388
6.9,-8.204032,-4.759474,7.269116,4.0836,2.245726
6.95,-7.115673,-6.722845,1.482472,10.972685,-0.36139
7.0,-6.171648,-8.845612,-6.898503,17.122705,-2.816319
7.05,-5.037127,-11.322877,-18.37723,21.679072,-4.128881
7.1,-3.69842,-13.453631,-31.606427,24.020223,-4.817996
7.15,-1.797128,-14.386349,-44.727091,23.86185,-5.230699
7.2,1.193651,-15.170327,-53.736199,21.295618,-5.157332
7.25,4.539771,-16.651588,-57.477995,16.753821,-4.128994
7.3,8.668879,-17.637905,-56.427765,10.914854,-3.27036
7.35,12.454348,-17.548428,-50.203291,4.581582,-2.486267
7.4,15.41975,-16.294308,-42.701223,-1.432504,-1.376829
7.45,17.734409,-13.982896,-33.621733,-6.386974,-0.66109
7.5,19.131845,-10.921863,-23.504388,-9.666763,-0.046263
7.55,19.773387,-7.921039,-14.465478,-10.819481,-0.020112
7.6,19.964539,-4.500877,-5.534562,-9.597651,-0.097092
7.65,19.732027,-3.178736,-1.677031,-6.013031,-1.03657
7.7,19.049104,-2.885133,-0.648893,-0.388489,-4.065665
7.75,17.885137,-3.807641,-3.49821,6.623809,-7.800957
7.8,16.148053,-5.863467,-10.759235,14.089575,-12.157837
7.85,13.747658,-8.106553,-21.297903,20.917784,-14.955036
7.9,10.805093,-9.599541,-32.592239,26.047143,-15.691115
7.95,7.375523,-10.587148,-42.826379,28.649696,-14.056914
8.0,3.701275,-11.684403,-49.669689,28.296156,-11.276863
8.05,0.15573,-13.859052,-53.226172,25.036933,-7.096482
8.1,-3.120488,-16.539593,-52.673572,19.378379,-2.650796
8.15,-5.9501,-18.591968,-46.86868,12.165464,1.563522
8.2,-7.405057,-18.948482,-40.430745,4.408447,4.321378
8.25,-8.512048,-17.702431,-32.272774,-2.896901,6.463159
8.3,-8.983465,-15.951266,-24.978186,-8.911466,7.499678
8.35,-9.130207,-14.522673,-19.610694,-13.033365,7.905048
8.4,-9.033549,-13.40724,-15.634144,-14.918533,7.945803
8.45,-8.774881,-12.558107,-12.610095,-14.462953,7.658019
8.5,-8.429567,-11.921292,-10.241803,-11.774181,7.000874
8.55,-8.130906,-11.432816,-8.354775,-7.150881,5.91068
8.6,-7.883441,-10.995853,-6.854782,-1.071786,4.266836
8.65,-7.620755,-10.705694,-6.236169,5.819691,2.121461
8.7,-7.338725,-10.677275,-7.170682,12.754061,-0.003685
8.75,-7.021196,-10.949303,-10.018274,18.909319,-1.87903
8.8,-6.56489,-12.124371,-16.427725,23.516058,-3.294708
8.85,-5.823901,-13.647137,-25.143733,25.97475,-4.126835
8.9,-4.683281,-15.333481,-35.220478,25.956059,-4.1567
8.95,-2.805818,-17.053447,-45.504957,23.455797,-3.800985
9.0,-0.295144,-18.569713,-53.454467,18.787878,-3.088063
9.05,2.211537,-20.048586,-58.125661,12.517544,-1.414979
9.1,4.955204,-20.991181,-59.296806,5.355657,0.212327
9.15,8.087827,-21.066639,-56.410785,-1.954387,1.439163
9.2,10.233741,-20.352383,-50.492109,-8.72736,2.695141
9.25,11.697303,-18.6467,-42.249033,-14.387865,3.965349
9.3,12.454068,-16.553378,-34.179441,-18.488878,4.698553
9.35,12.79674,-14.615889,-27.464136,-20.698781,5.125654
9.4,12.85549,-13.254821,-22.846761,-20.804259,5.153798
9.45,12.677142,-12.722756,-20.700688,-18.711243,4.836122
9.5,12.200533,-12.799186,-20.470111,-12.991504,3.992491
9.55,11.307133,-13.420022,-22.083484,-5.698797,2.469689
9.6,9.906809,-14.424586,-25.345398,0.338447,-0.062816
9.65,7.980075,-15.55356,-30.125622,8.65035,-3.960577
9.7,5.868694,-16.167362,-35.906407,18.429099,-6.844732
9.75,4.068531,-16.163095,-40.573701,28.710587,-7.867656
9.8,2.899865,-16.440609,-42.544258,30.042929,-7.132954
9.85,2.05476,-16.490607,-41.317044,25.810021,-5.209509
9.9,1.182243,-15.38156,-35.910017,18.571272,-2.606521
9.95,0.143203,-11.711599,-25.966754,11.224899,-0.480456
10.0,0.121422,-3.667552,-15.4238,5.66557,-0.414029
