timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.230078,-1.009304,0.241278
0.05,6.430717,4.426085,1.536366,-3.854429,0.930971
0.1,9.564908,5.848657,2.543896,-8.246618,2.017507
0.15,12.91226,7.174168,3.04866,-13.880691,3.448876
0.2,16.257317,8.348185,2.971144,-20.43931,5.172682
0.25,19.496271,9.356646,2.319614,-27.597688,7.136203
0.3,22.586158,10.202044,1.149014,-35.028495,9.286449
0.35,25.498529,10.892705,-0.462765,-42.406852,11.570223
0.4,28.201878,11.444731,-2.41915,-49.415189,13.934171
0.45,30.670654,11.875337,-4.618074,-55.747577,16.324854
0.5,32.876976,12.203572,-6.952285,-61.11376,18.688801
0.55,34.796245,12.448372,-9.312105,-65.242315,20.972576
0.6,36.405998,12.62739,-11.587001,-67.883297,23.12282
0.65,37.684831,12.756355,-13.667246,-68.809976,25.086342
0.7,38.610947,12.848779,-15.44637,-68.464778,26.810145
0.75,39.160534,12.915941,-16.824825,-67.412417,28.241512
0.8,39.306239,12.967037,-17.715106,-65.63555,29.32805
0.85,39.016274,13.009449,-18.04844,-63.131302,30.017742
0.9,38.254493,13.049021,-17.782821,-59.916865,30.259022
0.95,36.981738,13.090344,-16.911571,-56.03547,29.799535
1.0,35.1586,13.136981,-15.471193,-51.561351,28.491009
1.05,32.749312,13.191641,-13.546613,-46.602364,26.437384
1.1,29.726407,13.256292,-11.27192,-41.298367,23.74184
1.15,26.078914,13.332195,-8.824933,-35.814486,20.507523
1.2,21.81113,13.41993,-6.414761,-30.329342,16.838274
1.25,16.952106,13.519364,-4.262803,-25.020545,12.839388
1.3,11.547206,13.629648,-2.579066,-20.050379,8.592819
1.35,5.641897,13.749205,-1.537009,-15.554844,4.170914
1.4,-0.717142,13.875766,-1.250922,-11.637782,-0.333943
1.45,-5.353772,14.006444,-1.759761,-8.370035,-4.82966
1.5,-15.023488,14.13785,-3.020419,-5.792458,-9.224663
1.55,-23.140438,14.266249,-4.911657,-3.920993,-13.428099
1.6,-29.306019,14.387732,-7.247912,-2.752566,-17.350052
1.65,-33.518604,14.498422,-9.80042,-2.270405,-20.901747
1.7,-36.063918,14.594661,-12.322045,-2.643146,-23.995744
1.75,-37.36746,14.673198,-14.572033,-3.959561,-26.546101
1.8,-37.878364,14.73133,-16.337532,-6.084392,-28.468592
1.85,-37.993125,14.767041,-17.449859,-8.892092,-29.680816
1.9,-37.993125,14.779088,-17.794828,-12.264904,-30.102406
1.95,-37.993132,14.767048,-17.315653,-16.091215,-29.680823
2.0,-37.878378,14.731347,-16.011526,-20.264109,-28.468599
2.05,-37.367442,14.673234,-13.931106,-24.680079,-26.546116
2.1,-36.063914,14.594731,-11.165978,-29.237834,-23.995757
2.15,-33.518631,14.498547,-7.857699,-33.837201,-20.901772
2.2,-29.306033,14.387949,-4.228898,-38.377993,-17.350081
2.25,-23.140425,14.266614,3.325394,-42.758944,-13.428133
2.3,-15.023488,14.138443,8.03017,-46.876606,-9.224699
2.35,-5.353772,14.007364,11.235478,-50.624058,-4.829699
2.4,5.091963,13.877137,12.39141,-53.889701,-0.333976
2.45,15.331468,13.75116,11.316461,-56.555664,4.170889
2.5,24.438714,13.632311,8.261738,-58.496199,8.59281
2.55,31.783698,13.522822,3.81367,-59.575663,12.839397
2.6,37.146035,13.424203,-1.313292,-59.64602,16.838298
2.65,40.66653,13.337241,-6.47453,-58.700415,20.507551
2.7,42.700912,13.261962,-11.192806,-56.941996,23.741864
2.75,43.677321,13.197824,-15.153606,-54.504189,26.437403
2.8,44.007664,13.143746,-18.153068,-51.497352,28.491017
2.85,44.039694,13.098459,-20.045,-48.01552,29.799535
2.9,44.018981,13.061225,-20.703678,-44.141327,30.259022
2.95,44.039721,13.032523,-20.044973,-39.949681,29.799531
3.0,44.00765,12.963409,-18.153,-35.51086,28.491
3.05,43.677321,12.985614,-15.153663,-30.893273,26.437369
3.1,42.700902,13.004299,-11.192748,-26.166243,23.74182
3.15,40.666543,13.014038,-6.474572,-21.403156,20.507503
3.2,37.146049,13.016582,-1.313292,-16.685403,16.838259
3.25,31.783681,13.026453,3.813696,-12.107975,12.839388
3.3,24.438704,13.073374,8.26172,-7.78785,8.592836
3.35,15.331452,13.195628,11.316438,-3.877949,4.170942
3.4,5.091963,13.422381,12.39141,-0.592519,-0.333909
3.45,-5.353772,13.752806,11.235478,1.74193,-4.829625
3.5,-15.023484,14.148056,8.030132,2.566921,-9.224627
3.55,-23.140415,14.544529,3.325392,1.999149,-13.428065
3.6,-29.306019,14.881116,-2.151566,0.741227,-17.350023
3.65,-33.51861,15.12186,-7.704798,-1.212193,-20.901728
3.7,-36.063914,15.262293,-12.797044,-3.857408,-23.995725
3.75,-37.36746,15.321567,-17.068344,-7.178618,-26.546094
3.8,-37.878371,15.330078,-20.291954,-11.144307,-28.468589
3.85,-37.993125,15.318991,-22.317259,-15.703138,-29.680819
3.9,-37.993125,15.312094,-23.020502,-20.779662,-30.102406
3.95,-37.993132,15.318998,-22.317283,-26.270202,-29.680819
4.0,-37.878364,15.330076,-20.291956,-32.039779,-28.468585
4.05,-37.367432,15.321561,-17.068322,-37.920985,-26.546094
4.1,-36.063921,15.262302,-12.797108,-43.715857,-23.995723
4.15,-33.518624,15.121856,-7.704782,-49.201708,-20.901724
4.2,-29.30603,14.881116,-2.151564,-54.141076,-17.350023
4.25,-23.140425,14.544538,3.325394,-58.295186,-13.428063
4.3,-15.023484,14.148049,8.030152,-61.439013,-9.224626
4.35,-5.353757,13.752808,11.235456,-63.375529,-4.829625
4.4,5.091963,13.422381,12.39141,-63.946731,-0.333909
4.45,15.331468,13.195624,11.316461,-62.916438,4.170942
4.5,24.438697,13.073364,8.261786,-60.700998,8.592842
4.55,31.783688,13.026453,3.813674,-57.769685,12.839388
4.6,37.146035,13.016582,-1.313292,-54.361684,16.838257
4.65,40.66653,13.014034,-6.47453,-50.620557,20.507505
4.7,42.700908,13.004304,-11.192762,-46.642576,23.741821
4.75,43.677321,12.985618,-15.153606,-42.497977,26.437371
4.8,44.007664,12.963409,-18.153004,-38.24199,28.491007
