timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,-0.128948,-0.032022,0.0,-0.68491,0.17121
0.05,-0.186137,0.404636,10.465469,-2.013954,0.241454
0.1,-0.241925,0.111435,15.136725,-3.307037,0.303799
0.15,-0.291089,-0.415009,19.819624,-3.37153,0.34986
0.2,-0.331701,-1.164013,24.066219,-3.528821,0.376515
0.25,-0.363929,-2.098433,28.699307,-3.676118,0.38427
0.3,-0.388792,-3.186072,31.652685,-3.63846,0.375464
0.35,-0.40748,-4.413918,33.977961,-3.213312,0.353216
0.4,-0.421302,-5.77796,35.732691,-2.269661,0.321185
0.45,-0.431316,-7.333461,36.978006,-0.800006,0.282884
0.5,-0.438371,-8.899248,37.755332,1.120382,0.241566
0.55,-0.443079,-10.680941,38.097197,3.39534,0.200029
0.6,-0.445856,-12.172568,38.030408,5.857132,0.160545
0.65,-0.446982,-13.571261,37.581439,8.353104,0.124865
0.7,-0.446651,-14.810499,36.780671,10.810523,0.094263
0.75,-0.445017,-16.034897,35.663884,13.149291,0.069621
0.8,-0.442213,-17.034963,34.270915,15.283182,0.05153
0.85,-0.438356,-18.139056,32.642225,17.121601,0.040388
0.9,-0.433545,-19.811737,30.814719,18.571826,0.0365
0.95,-0.427858,-20.115327,28.819184,19.541586,0.040137
1.0,-0.42135,-20.746059,26.679018,19.94184,0.05157
1.05,-0.414063,-21.285333,24.411774,19.689511,0.071045
1.1,-0.406043,-21.355867,22.029158,18.709968,0.098728
1.15,-0.397355,-21.512789,19.528725,16.939011,0.134606
1.2,-0.388111,-21.559933,16.869058,14.324285,0.178386
1.25,-0.378481,-20.956906,14.666998,10.825983,0.229391
1.3,-0.368704,-20.208136,12.08355,6.416901,0.286506
1.35,-0.359078,-19.106699,8.551771,1.081877,0.348166
1.4,-0.349938,-17.457187,3.287673,-5.810037,0.41243
1.45,-0.34163,-15.595439,-2.522929,-14.740472,0.477119
1.5,-0.334462,-13.39388,-8.027328,-25.323787,0.540014
1.55,-0.328669,-10.828516,-12.918737,-36.932858,0.599082
1.6,-0.324384,-8.50084,-17.200703,-48.73801,0.652691
1.65,-0.321613,-6.56911,-21.124006,-59.826535,0.699771
1.7,-0.32024,-5.02701,-25.006784,-69.364758,0.739894
1.75,-0.320041,-3.960342,-28.946437,-77.17441,0.773265
1.8,-0.320713,-3.176766,-32.168767,-83.573068,0.800633
1.85,-0.321907,-2.080848,-34.831407,-88.615769,0.823139
1.9,-0.323267,-1.152252,-36.871677,-92.35663,0.842143
1.95,-0.324457,-0.303481,-38.36938,-94.848829,0.859046
2.0,-0.325186,0.569338,-39.529993,-96.144775,0.875153
2.05,-0.325218,1.399213,-40.455644,-96.296132,0.89157
2.1,-0.324381,2.173826,-41.381241,-95.353867,0.909143
2.15,-0.322569,2.868316,-41.915768,-93.368379,0.928435
2.2,-0.319737,3.456034,-41.989339,-90.389467,0.949736
2.25,-0.315899,3.928839,-41.763076,-86.466561,0.973082
