timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,1.908523,0.234302
0.05,0.256494,2.765032,12.883246,6.107876,0.321404
0.1,0.050942,3.624692,17.366417,10.125788,0.468932
0.15,-0.234742,4.760838,17.18019,13.926111,0.680258
0.2,-0.517744,5.74575,16.723126,17.582304,0.89526
0.25,-0.717158,6.224886,15.186676,21.172784,1.050254
0.3,-0.834234,6.236806,14.786842,24.822168,1.142684
0.35,-0.87061,5.808354,15.5022,28.552615,1.16832
0.4,-0.904816,5.333332,16.236946,32.492432,1.19296
0.45,-1.013321,5.278172,15.708766,36.503656,1.291048
0.5,-1.194586,5.625062,13.898864,40.510497,1.46658
0.55,-1.447511,6.314642,10.845242,44.471505,1.720904
0.6,-1.771557,7.264862,6.601004,48.325439,2.053248
0.65,-2.166764,8.36856,1.231834,51.985878,2.460878
0.7,-2.634738,9.443692,-4.928746,55.302573,2.935892
0.75,-3.162893,10.173557,-10.31528,57.93389,3.440546
0.8,-3.638973,10.635034,-14.726989,59.80446,3.881848
0.85,-4.043089,10.940186,-18.20143,60.940116,4.252646
0.9,-4.376177,11.159888,-20.742502,61.430626,4.54922
0.95,-4.639148,11.364089,-22.37712,61.337626,4.768636
1.0,-4.832171,11.599285,-23.128904,60.716167,4.911486
1.05,-4.953118,11.895533,-23.622421,59.697172,4.985404
1.1,-4.999666,12.269436,-24.473345,58.399497,4.998172
1.15,-4.996615,12.7215,-25.683311,56.844222,4.96944
1.2,-4.968936,13.250456,-27.253239,55.038764,4.918304
1.25,-4.943104,13.85353,-29.183482,52.986039,4.863896
1.3,-4.946014,14.526359,-31.473932,50.696297,4.824086
1.35,-4.902988,15.254119,-33.843051,48.194136,4.740466
1.4,-4.73452,15.936288,-35.897668,45.69303,4.566324
1.45,-4.437986,16.554338,-37.613206,43.291443,4.308296
1.5,-4.011553,17.105302,-38.98632,41.046292,3.971076
1.55,-3.453726,17.583456,-40.012327,39.001862,3.558508
1.6,-2.763472,17.980362,-40.685231,37.192207,3.07339
1.65,-2.068065,18.288023,-41.146245,35.663392,2.6009
1.7,-1.496473,18.511297,-41.541234,34.455275,2.221734
1.75,-1.05028,18.657698,-41.870726,33.57817,1.931634
1.8,-0.730618,18.733069,-42.135348,33.02726,1.72719
1.85,-0.538205,18.74139,-42.335845,32.781363,1.606028
1.9,-0.473704,18.719877,-42.520441,32.738603,1.566572
1.95,-0.385217,18.685304,-42.719128,32.789938,1.512172
2.0,-0.120671,18.619526,-42.869389,32.89527,1.346348
2.05,0.319571,18.518764,-42.960503,33.033387,1.068754
2.1,0.934891,18.375837,-42.989132,33.193985,0.67908
2.15,1.680474,18.189279,-42.954657,33.374521,0.20493
