timestamp,base_yaw.pos,base_pitch.pos,elbow_pitch.pos,wrist_pitch.pos,wrist_roll.pos
0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.163277,1.703025,9.018367,-1.30507,0.33803
0.1,-0.226961,2.443132,12.402472,-1.616801,0.478299
0.15,-0.281829,3.159506,15.181996,-1.670769,0.608292
0.2,-0.32202,3.79304,17.032839,-1.400017,0.716696
0.25,-0.347449,4.330497,17.975449,-0.81692,0.802714
0.3,-0.361148,4.783283,18.215218,0.020967,0.871113
0.35,-0.366727,5.167807,17.989229,1.045092,0.927572
0.4,-0.367108,5.496794,17.488693,2.19497,0.976474
0.45,-0.364547,5.781004,16.857496,3.42126,1.021098
0.5,-0.360388,6.027087,16.178558,4.689384,1.063192
0.55,-0.355431,6.240306,15.496767,5.975249,1.103678
0.6,-0.350108,6.425154,14.831372,7.262506,1.142962
0.65,-0.34464,6.585789,14.186813,8.540023,1.181182
0.7,-0.339135,6.726194,13.560145,9.800074,1.218367
0.75,-0.333647,6.85013,12.945448,11.03719,1.254521
0.8,-0.328204,6.961015,12.336203,12.247466,1.289648
0.85,-0.322825,7.061795,11.726568,13.428132,1.323765
0.9,-0.317519,7.154882,11.112018,14.577454,1.356901
0.95,-0.312296,7.242129,10.489557,15.69453,1.389091
1.0,-0.307159,7.324912,9.857751,16.77955,1.420385
1.05,-0.30211,7.404197,9.216453,17.833622,1.450843
1.1,-0.297152,7.4806,8.566267,18.857708,1.480513
1.15,-0.292293,7.554392,7.907776,19.850849,1.509388
1.2,-0.28715,7.634066,7.262004,20.922785,1.540226
1.25,-0.282629,7.699464,6.585084,21.819326,1.566626
1.3,-0.278223,7.763254,5.900472,22.681574,1.59221
1.35,-0.273914,7.826438,5.205294,23.511816,1.617076
1.4,-0.26968,7.889824,4.49711,24.312414,1.64131
1.45,-0.265505,7.953972,3.774736,25.085309,1.664984
1.5,-0.261379,8.0193,3.037676,25.832293,1.688152
1.55,-0.257291,8.086098,2.286718,26.554638,1.710852
1.6,-0.253235,8.154667,1.522918,27.253621,1.733122
1.65,-0.2492,8.225512,0.746486,27.930744,1.755006
1.7,-0.245161,8.299844,-0.045738,28.588361,1.7766
1.75,-0.241093,8.378798,-0.85707,29.228913,1.798006
1.8,-0.236985,8.462697,-1.688042,29.853821,1.819264
1.85,-0.232824,8.551752,-2.538638,30.464286,1.840408
1.9,-0.228601,8.64613,-3.40881,31.061484,1.861466
1.95,-0.224312,8.745772,-4.297158,31.646025,1.882444
2.0,-0.219972,8.849848,-5.197044,32.217002,1.903264
2.05,-0.215598,8.957571,-6.100504,32.772942,1.923834
2.1,-0.211204,9.068858,-7.001224,33.313087,1.944094
2.15,-0.206773,9.184784,-7.899772,33.838509,1.96409
2.2,-0.202284,9.306642,-8.798415,34.350838,1.983896
2.25,-0.197715,9.435732,-9.699382,34.8516,2.00358
2.3,-0.193043,9.57315,-10.604857,35.342216,2.023206
2.35,-0.18825,9.719594,-11.516538,35.823854,2.042822
2.4,-0.183319,9.875578,-12.436115,36.297674,2.062468
2.45,-0.178231,10.041609,-13.365237,36.76474,2.08219
2.5,-0.172969,10.218118,-14.304846,37.225791,2.102008
2.55,-0.167529,10.405364,-15.033574,37.576381,2.12192
2.6,-0.161906,10.603679,-15.766225,37.9233,2.14191
2.65,-0.156093,10.813346,-16.501609,38.266555,2.161964
2.7,-0.15009,11.03399,-17.23868,38.605903,2.18205
2.75,-0.143894,11.265194,-17.976404,38.94121,2.202134
2.8,-0.137039,11.509048,-18.713349,39.27325,2.224512
2.85,-0.129839,11.763058,-19.450333,39.597161,2.247548
2.9,-0.122424,12.025005,-20.186616,39.91207,2.27054
2.95,-0.114798,12.294032,-20.919117,40.221881,2.293436
3.0,-0.106964,12.569508,-21.645653,40.526572,2.316196
3.05,-0.098927,12.850812,-22.365364,40.825994,2.338784
3.1,-0.090693,13.137312,-23.077824,41.120123,2.361162
3.15,-0.082265,13.42838,-23.782599,41.40892,2.38332
3.2,-0.073653,13.723048,-24.479297,41.692308,2.405226
3.25,-0.064888,14.019306,-25.167558,41.97028,2.426772
3.3,-0.056012,14.314818,-25.840489,42.240116,2.44782
3.35,-0.047079,14.606925,-26.519412,42.510281,2.468216
3.4,-0.038149,14.892963,-27.256565,42.80122,2.487786
3.45,-0.029279,15.170712,-27.98189,43.085072,2.506394
3.5,-0.020508,15.439701,-28.684759,43.357891,2.523994
3.55,-0.011868,15.699842,-29.324898,43.604495,2.540574
3.6,-0.003381,15.951639,-29.940066,43.83989,2.556182
3.65,0.004996,16.197749,-30.536078,44.066516,2.571102
3.7,0.013296,16.440293,-31.110781,44.283726,2.585574
3.75,0.021436,16.678009,-31.663152,44.491234,2.599414
3.8,0.029311,16.908922,-32.192621,44.688972,2.61234
3.85,0.036814,17.131243,-32.698626,44.876873,2.624074
3.9,0.043837,17.343285,-33.182292,45.05521,2.63434
3.95,0.050101,17.555642,-33.649774,45.225749,2.642434
4.0,0.055258,17.777138,-34.107823,45.390388,2.647412
4.05,0.058827,18.001365,-34.55613,45.549019,2.647634
4.1,0.06021,18.22012,-34.987811,45.69985,2.64104
4.15,0.058734,18.421058,-35.395785,45.84102,2.62531
4.2,0.053529,18.58217,-35.773201,45.970578,2.597348
4.25,0.043196,18.660357,-36.112457,46.087443,2.55196
4.3,0.025929,18.579366,-36.407541,46.188089,2.482112
4.35,-4.8e-05,18.231068,-36.658803,46.250114,2.38018
4.4,-0.033614,17.54002,-36.867042,46.243919,2.24973
4.45,-0.06872,16.479127,-36.967258,46.178342,2.117012
4.5,-0.109081,15.043241,-36.970929,46.024827,1.962332
4.55,-0.153129,13.287574,-36.749225,45.774992,1.78988
4.6,-0.199132,11.31077,-37.082197,44.986761,1.60451
4.65,-0.245264,9.245764,-35.859398,44.198786,1.411516
4.7,-0.28955,7.246206,-30.226374,41.264462,1.217056
4.75,-0.329643,5.46865,-19.035525,35.396328,1.029788
4.8,-0.362554,4.054634,-7.056717,26.380183,0.864192
4.85,-0.384736,3.124578,-1.403062,14.569068,0.7438
4.9,-0.392757,2.78938,0.872176,2.733077,0.697958
4.95,0.0,0.0,-0.023874,0.023874,0.0
